word,splitted_tokens,same_token_num,same_token_num2,freq,freq_quantile,word_len
linker,"['lin', 'k', 'er']",False,False,7,0,6
post,"['p', 'ost']",True,True,4,0,4
west,"['w', 'est']",True,True,8,0,4
statt,"['stat', 't']",True,True,8,0,5
Digital,"['D', 'ig', 'ita', 'l']",True,True,9,0,7
Braun,"['Bra', 'un']",False,False,9,0,5
Script,"['Sc', 'ri', 'pt']",True,True,6,0,6
Europa,"['E', 'urop', 'a']",False,False,9,0,6
über,"['ü', 'ber']",True,True,8,0,4
Parte,"['P', 'arte']",False,False,8,0,5
Half,"['H', 'alf']",True,True,6,0,4
Girl,"['Gi', 'rl']",True,True,4,0,4
Seine,"['Se', 'ine']",False,False,4,0,5
analog,"['a', 'na', 'log']",False,False,8,0,6
Labour,"['La', 'b', 'our']",True,True,4,0,6
Hass,"['H', 'ass']",False,True,6,0,4
Tower,"['To', 'wer']",True,True,4,0,5
kind,"['ki', 'nd']",True,True,8,0,4
Game,"['G', 'ame']",True,True,4,0,4
Department,"['De', 'pa', 'r', 't', 'ment']",True,True,5,0,10
Deutschland,"['De', 'utsch', 'land']",False,False,8,0,11
Rhein,"['R', 'hein']",False,False,5,0,5
Arts,"['Ar', 'ts']",False,False,5,0,4
wegen,"['we', 'gen']",False,False,6,0,5
National,"['N', 'at', 'iona', 'l']",True,True,6,0,8
Stop,"['St', 'op']",True,True,9,0,4
international,"['in', 'tern', 'at', 'iona', 'l']",True,True,4,0,13
Login,"['Lo', 'gin']",True,True,4,0,5
Email,"['Em', 'ail']",True,True,9,0,5
state,"['st', 'ate']",True,True,5,0,5
City,"['C', 'ity']",True,True,5,0,4
Award,"['A', 'ward']",True,True,7,0,5
Bass,"['Bas', 's']",False,False,5,0,4
Content,"['Cont', 'e', 'nt']",True,True,5,0,7
techn,"['tech', 'n']",True,True,5,0,5
Normal,"['N', 'orm', 'al']",True,True,4,0,6
Kate,"['K', 'ate']",True,True,7,0,4
chef,"['ch', 'ef']",True,True,7,0,4
engineering,"['e', 'n', 'gin', 'ee', 'ring']",True,True,7,0,11
inner,"['inn', 'er']",True,True,6,0,5
Gate,"['G', 'ate']",True,True,6,0,4
national,"['na', 'tion', 'al']",True,True,4,0,8
Chart,"['Ch', 'art']",True,True,5,0,5
anti,"['an', 'ti']",True,True,4,0,4
situ,"['s', 'itu']",False,False,4,0,4
Cast,"['C', 'ast']",True,True,6,0,4
Switch,"['Sw', 'itch']",True,True,6,0,6
Commission,"['Comm', 'ission']",True,True,6,0,10
Icon,"['I', 'con']",True,True,5,0,4
LCCN,"['L', 'CCN']",False,False,5,0,4
Papa,"['P', 'apa']",False,False,4,0,4
String,"['Str', 'i', 'ng']",True,True,8,0,6
Abstract,"['A', 'bst', 'ra', 'ct']",True,True,4,0,8
Bridge,"['Br', 'idge']",True,True,4,0,6
Private,"['Pr', 'iv', 'at', 'e']",True,True,8,0,7
Schön,"['Sch', 'ön']",False,True,4,0,5
Starting,"['St', 'ar', 't', 'i', 'ng']",True,True,4,0,8
Sach,"['Sa', 'ch']",False,False,6,0,4
color,"['colo', 'r']",True,True,4,0,5
nord,"['nor', 'd']",False,False,6,0,4
Memory,"['M', 'em', 'ory']",True,True,4,0,6
gleich,"['g', 'leich']",False,False,7,0,6
Location,"['L', 'oca', 't', 'io', 'n']",True,True,4,0,8
stern,"['st', 'ern']",False,False,4,0,5
Professional,"['Pro', 'f', 'ess', 'ion', 'al']",True,True,4,0,12
Line,"['Li', 'ne']",True,True,7,0,4
Town,"['T', 'own']",True,True,9,0,4
Print,"['Pr', 'int']",True,True,9,0,5
First,"['F', 'irst']",True,True,9,0,5
Input,"['In', 'put']",True,True,6,0,5
JavaScript,"['Java', 'Script']",True,True,9,0,10
Array,"['Arr', 'ay']",True,True,8,0,5
Store,"['Sto', 're']",True,True,9,0,5
After,"['A', 'fter']",True,True,4,0,5
online,"['o', 'n', 'line']",True,True,4,0,6
zwischen,"['z', 'w', 'i', 'sche', 'n']",False,False,7,0,8
Sund,"['Su', 'nd']",False,False,4,0,4
Point,"['Po', 'int']",True,True,4,0,5
para,"['par', 'a']",True,True,6,0,4
meer,"['mee', 'r']",True,True,4,0,4
Marina,"['Mar', 'i', 'na']",False,False,5,0,6
acres,"['ac', 'res']",False,False,6,0,5
Total,"['To', 'tal']",True,True,5,0,5
Effect,"['E', 'ff', 'ect']",True,True,5,0,6
Lang,"['L', 'ang']",True,True,7,0,4
District,"['Di', 's', 'tr', 'ict']",True,True,6,0,8
Pack,"['Pa', 'ck']",True,True,4,0,4
Channel,"['C', 'han', 'n', 'el']",True,True,6,0,7
kunst,"['k', 'unst']",False,False,6,0,5
Music,"['Mus', 'ic']",True,True,4,0,5
down,"['do', 'wn']",True,True,4,0,4
Latin,"['L', 'atin']",True,True,4,0,5
Twitter,"['T', 'wi', 'tt', 'er']",True,True,9,0,7
