word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
brewmaster,The leaders of the SBA named Herman Weiss of Galveston as the company's first brewmaster.,15,4,"['brew', 'master']",2,0
recension,"It stands as the only complete translation of the Macnaghten or Calcutta II edition (Egyptian recension) of the ""Arabian Nights"".",20,4,"['rec', 'ension']",2,0
understand,Interdisciplinary studies are essential to better understand of deep sea processes.,11,5,"['under', 'stand']",2,0
selv,A Guide and a Scout feel responsibility for themselves and others.En speider kjenner ansvar for seg selv og andre.,19,4,"['sel', 'v']",2,0
kapos,"In contrast, Tuerkheimer argued that ""even in the horrid environment of the camp, kapos could make choices.",17,5,"['k', 'apos']",2,0
lyases,"The enzyme phosphosulfolactate synthase (EC 4.4.1.19) catalyzes the reaction (2R)-2-O-phospho-3-sulfolactate phosphoenolpyruvate + sulfite This enzyme belongs to the family of lyases, specifically the class of carbon-sulfur lyases.",27,4,"['ly', 'ases']",2,0
tba,"Kartsakhi Lake (Georgian: კარწახის ტბა, karts'akhis tba), or Lake Khozapini (, khozap'inis tba; Turkish: Hazapin Gölü), or Lake Aktaş (), is a soda lake in the Caucasus Mountains.",28,4,"['t', 'ba']",2,0
newgrass,Skyline was a newgrass group active in the 1970s and 1980s headed by Tony Trischka.,15,5,"['new', 'grass']",2,0
highschool,He was auditioned by a band called Sky Harbor and left his home and highschool to pursue his musical career.,20,5,"['high', 'school']",2,0
winemaker,"- 2009) American winemaker, considered the father of the Oregon wine industry.",12,5,"['win', 'emaker']",2,0
cinerea,"Taxonomy Originally described by ornithologist John Gould in 1837, its specific epithet is Latin cinerea ""grey"".",16,4,"['cin', 'erea']",2,0
capstone,"Global cities form the capstone of the global hierarchy, exerting command and control through their economic and political influence.",19,4,"['cap', 'stone']",2,0
watermelon,"Herbaceous grafting Grafting is often done for non-woody and vegetable plants (tomato, cucumber, eggplant and watermelon).",16,5,"['water', 'melon']",2,0
subplots,The film adapted certain subplots of Malayalam film Mannar Mathai Speaking which itself was based on the 1958 movie Vertigo.,20,4,"['sub', 'plots']",2,0
earmark,"Support and opposition In 2006 Speaker of the United States House of Representatives, Dennis Hastert, championed a $207-million earmark inserted in the omnibus highway bill for the Prairie Parkway, a proposed expressway running through his district.",36,4,"['ear', 'mark']",2,0
bridging,It cost approximately NIS 7 billion (about US$2 billion in 2008 dollars) – due to the extensive bridging and tunneling required along the mountainous route.,25,5,"['brid', 'ging']",2,0
vilification,"the criminals, should not be heard, which fosters a culture of vilification of convicts and those around them.",18,4,"['vil', 'ification']",2,0
