word,tokens,token_num,freq,freq_quantile,label
Wohnlage,"['▁Wohn', 'lage']",2,4.0,0.0,realword
Mindest,"['▁Mind', 'est']",2,5.0,0.0,realword
Projektgebiet,"['▁Projekt', 'gebiet']",2,4.0,0.0,realword
Einricht,"['▁Ein', 'richt']",2,4.0,0.0,realword
Schulball,"['▁Schul', 'ball']",2,4.0,0.0,realword
Formsignal,"['▁Form', 'signal']",2,5.0,0.0,realword
Hauptwort,"['▁Haupt', 'wort']",2,5.0,0.0,realword
Wiesland,"['▁Wies', 'land']",2,5.0,0.0,realword
Stadtleben,"['▁Stadt', 'leben']",2,5.0,0.0,realword
Schriftgrad,"['▁Schrift', 'grad']",2,4.0,0.0,realword
Wellness,"['▁Well', 'ness']",2,4.0,0.0,realword
Bahnmeisterschaft,"['▁Bahn', 'meisterschaft']",2,4.0,0.0,realword
Weglassen,"['▁Weg', 'lassen']",2,4.0,0.0,realword
Surf,"['▁Sur', 'f']",2,4.0,0.0,realword
Grundproblem,"['▁Grund', 'problem']",2,5.0,0.0,realword
Rostrum,"['▁Rost', 'rum']",2,4.0,0.0,realword
Nebenamt,"['▁Neben', 'amt']",2,4.0,0.0,realword
Mango,"['▁M', 'ango']",2,5.0,0.0,realword
Pfau,"['▁Pf', 'au']",2,4.0,0.0,realword
Oberwelt,"['▁Ober', 'welt']",2,4.0,0.0,realword
Gaster,"['▁G', 'aster']",2,5.0,0.0,realword
Blind,"['▁Bl', 'ind']",2,4.0,0.0,realword
Graphem,"['▁Graph', 'em']",2,5.0,0.0,realword
Lehrfilm,"['▁Lehr', 'film']",2,4.0,0.0,realword
Formblatt,"['▁Form', 'blatt']",2,5.0,0.0,realword
Rahm,"['▁Rah', 'm']",2,5.0,0.0,realword
Vermesser,"['▁Verm', 'esser']",2,4.0,0.0,realword
Denkmalensemble,"['▁Denkmal', 'ensemble']",2,5.0,0.0,realword
Habe,"['▁H', 'abe']",2,5.0,0.0,realword
Dominium,"['▁Domin', 'ium']",2,4.0,0.0,realword
Werkbank,"['▁Werk', 'bank']",2,4.0,0.0,realword
Hauptbau,"['▁Haupt', 'bau']",2,4.0,0.0,realword
dbA,"['▁db', 'A']",2,4.0,0.0,realword
Jeside,"['▁Jes', 'ide']",2,5.0,0.0,realword
Schweizerdeutsch,"['▁Schweizer', 'deutsch']",2,4.0,0.0,realword
Shaker,"['▁Sh', 'aker']",2,4.0,0.0,realword
Netlabel,"['▁Net', 'label']",2,4.0,0.0,realword
Gogo,"['▁G', 'ogo']",2,4.0,0.0,realword
Mastergrad,"['▁Master', 'grad']",2,5.0,0.0,realword
Bassin,"['▁Bass', 'in']",2,4.0,0.0,realword
Zwischenwelt,"['▁Zwischen', 'welt']",2,4.0,0.0,realword
