word,splitted_tokens,same_token_num,same_token_num2,freq,freq_quantile,word_len
fang,"['fa', 'ng']",False,True,6,0,4
stub,"['st', 'ub']",True,True,9,0,4
collect,"['c', 'ol', 'lec', 't']",True,True,9,0,7
smart,"['sm', 'art']",True,True,4,0,5
open,"['o', 'pen']",True,True,12,0,4
visor,"['v', 'isor']",False,True,5,0,5
flush,"['f', 'lush']",True,True,11,0,5
voor,"['v', 'oor']",True,True,11,0,4
finite,"['fi', 'nite']",True,True,6,0,6
micro,"['mi', 'cro']",True,True,13,0,5
shima,"['shi', 'ma']",False,True,5,0,5
modal,"['m', 'odal']",True,True,5,0,5
electric,"['e', 'l', 'ec', 'tri', 'c']",True,True,4,0,8
lander,"['la', 'nder']",False,True,11,0,6
converter,"['con', 'verte', 'r']",True,True,13,0,9
mandatory,"['ma', 'nda', 'tor', 'y']",False,True,6,0,9
eligible,"['eli', 'g', 'i', 'ble']",False,True,10,0,8
locator,"['lo', 'cat', 'o', 'r']",False,True,7,0,7
stile,"['st', 'ile']",False,True,5,0,5
unicorn,"['u', 'ni', 'corn']",False,True,4,0,7
away,"['awa', 'y']",True,True,8,0,4
otherwise,"['oth', 'er', 'wi', 'se']",True,True,10,0,9
better,"['b', 'etter']",True,True,7,0,6
grad,"['gr', 'ad']",True,True,4,0,4
viol,"['vi', 'ol']",True,True,4,0,4
submit,"['sub', 'mi', 't']",True,True,13,0,6
porn,"['po', 'rn']",False,True,6,0,4
modern,"['mod', 'ern']",True,True,6,0,6
former,"['form', 'e', 'r']",True,True,4,0,6
overlay,"['over', 'la', 'y']",True,True,13,0,7
cession,"['cess', 'i', 'on']",False,True,8,0,7
structuring,"['struct', 'uring']",False,False,4,0,11
arming,"['ar', 'ming']",False,True,4,0,6
spar,"['s', 'par']",False,True,12,0,4
ammo,"['a', 'mmo']",False,True,4,0,4
annual,"['ann', 'ual']",True,True,8,0,6
argent,"['a', 'r', 'gent']",True,True,11,0,6
namespace,"['na', 'm', 'esp', 'a', 'ce']",True,True,4,0,9
snapshot,"['s', 'na', 'ps', 'h', 'ot']",True,True,13,0,8
invalid,"['in', 'valid']",True,True,4,0,7
python,"['p', 'ython']",True,True,14,0,6
lush,"['l', 'ush']",False,True,8,0,4
fresh,"['fre', 'sh']",True,True,4,0,5
slack,"['sla', 'ck']",False,True,5,0,5
storybook,"['st', 'ory', 'book']",False,True,5,0,9
opus,"['o', 'pus']",False,True,12,0,4
give,"['gi', 've']",True,True,4,0,4
keyword,"['key', 'wo', 'rd']",True,True,5,0,7
different,"['d', 'if', 'fe', 'rent']",True,True,6,0,9
slow,"['sl', 'ow']",True,True,6,0,4
orch,"['orc', 'h']",True,True,6,0,4
semi,"['se', 'mi']",True,True,6,0,4
ligne,"['lig', 'ne']",True,True,5,0,5
daemon,"['da', 'emon']",False,True,4,0,6
agree,"['ag', 'ree']",True,True,8,0,5
lost,"['los', 't']",True,True,11,0,4
alive,"['a', 'live']",True,True,6,0,5
identify,"['id', 'en', 'tif', 'y']",True,True,8,0,8
hawk,"['h', 'awk']",False,True,14,0,4
tester,"['tes', 't', 'er']",False,True,10,0,6
inform,"['inf', 'orm']",True,True,5,0,6
forcing,"['forc', 'ing']",True,True,8,0,7
anus,"['an', 'us']",False,True,4,0,4
whatever,"['what', 'eve', 'r']",True,True,4,0,8
implicit,"['impl', 'icit']",True,True,4,0,8
terra,"['ter', 'ra']",True,True,14,0,5
manifest,"['m', 'a', 'ni', 'fe', 'st']",True,True,5,0,8
toggle,"['to', 'gg', 'le']",True,True,7,0,6
embedding,"['e', 'mb', 'edd', 'in', 'g']",True,True,6,0,9
decimal,"['de', 'cimal']",True,True,4,0,7
sorting,"['s', 'or', 'ti', 'ng']",True,True,13,0,7
rewrite,"['r', 'ew', 'ri', 'te']",True,True,7,0,7
hashtags,"['ha', 'sh', 'ta', 'g', 's']",False,False,10,0,8
connecting,"['c', 'on', 'ne', 'c', 'ting']",True,True,13,0,10
benchmark,"['be', 'nc', 'hma', 'r', 'k']",True,True,14,0,9
spam,"['spa', 'm']",False,True,4,0,4
