word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
nomen,"['n', 'omen']",2,"['n', 'omen']",2,"['▁nom', 'en']",2,2.0,True,2,2.0,True,2,False,5,5,0
cantillation,"['cant', 'illation']",2,"['cant', 'illation']",2,"['▁cant', 'ill', 'ation']",3,2.333333333333333,False,2,2.0,True,2,False,5,12,0
phenomenologist,"['phen', 'omen', 'ologist']",3,"['phen', 'omen', 'ologist']",3,"['▁phenomen', 'ologist']",2,2.6666666666666665,False,3,3.0,True,3,False,4,15,0
peaceful,"['peace', 'ful']",2,"['peace', 'ful']",2,"['▁peace', 'ful']",2,2.0,True,2,2.0,True,2,False,5,8,0
anus,['anus'],1,['anus'],1,"['▁an', 'us']",2,1.3333333333333333,False,1,1.0,True,1,True,4,4,0
sassafras,"['s', 'assa', 'fr', 'as']",4,"['s', 'assa', 'fr', 'as']",4,"['▁s', 'assa', 'fr', 'as']",4,4.0,True,4,4.0,True,4,False,5,9,0
yearling,"['year', 'ling']",2,"['year', 'ling']",2,"['▁year', 'ling']",2,2.0,True,2,2.0,True,2,False,5,8,0
homophone,"['hom', 'ophone']",2,"['hom', 'ophone']",2,"['▁hom', 'oph', 'one']",3,2.333333333333333,False,2,2.0,True,2,False,5,9,0
stonefly,"['stone', 'fly']",2,"['stone', 'fly']",2,"['▁stone', 'fly']",2,2.0,True,2,2.0,True,2,False,5,8,0
computerization,"['computer', 'ization']",2,"['computer', 'ization']",2,"['▁computer', 'ization']",2,2.0,True,2,2.0,True,2,False,4,15,0
shawl,"['shaw', 'l']",2,"['shaw', 'l']",2,"['▁sh', 'aw', 'l']",3,2.333333333333333,False,2,2.0,True,2,False,5,5,0
dramatique,"['d', 'ram', 'at', 'ique']",4,"['d', 'ram', 'atique']",3,"['▁dram', 'atique']",2,3.0,False,3,3.5,False,4,False,4,10,0
picaresque,"['p', 'ica', 'res', 'que']",4,"['p', 'ica', 'res', 'que']",4,"['▁pic', 'ares', 'que']",3,3.6666666666666665,False,4,4.0,True,4,False,4,10,0
mane,"['man', 'e']",2,['mane'],1,"['▁man', 'e']",2,1.6666666666666667,False,2,1.5,False,2,True,4,4,0
coxless,"['cox', 'less']",2,"['cox', 'less']",2,"['▁co', 'x', 'less']",3,2.333333333333333,False,2,2.0,True,2,False,5,7,0
beehive,"['be', 'eh', 'ive']",3,"['be', 'eh', 'ive']",3,"['▁be', 'eh', 'ive']",3,3.0,True,3,3.0,True,3,False,4,7,0
trichomes,"['tr', 'ich', 'omes']",3,"['tr', 'ich', 'omes']",3,"['▁tr', 'ich', 'om', 'es']",4,3.333333333333333,False,3,3.0,True,3,False,5,9,0
italian,"['ital', 'ian']",2,['italian'],1,"['▁ital', 'ian']",2,1.6666666666666667,False,2,1.5,False,2,True,4,7,0
godson,"['god', 'son']",2,"['god', 'son']",2,"['▁god', 'son']",2,2.0,True,2,2.0,True,2,False,5,6,0
settle,"['set', 'tle']",2,"['sett', 'le']",2,"['▁sett', 'le']",2,2.0,True,2,2.0,True,2,False,4,6,0
mindful,"['mind', 'ful']",2,"['mind', 'ful']",2,"['▁mind', 'ful']",2,2.0,True,2,2.0,True,2,False,5,7,0
evaluator,"['eval', 'uator']",2,"['eval', 'uator']",2,"['▁evalu', 'ator']",2,2.0,True,2,2.0,True,2,False,5,9,0
frock,"['f', 'rock']",2,"['f', 'rock']",2,"['▁fro', 'ck']",2,2.0,True,2,2.0,True,2,False,4,5,0
