word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
rapamycin,Effect of rapamycin on aging and age-related diseases—past and future.,10,4,"['rap', 'amycin']",2,0
keg,"December 17, 2022: The Keg was revived in the postseason for the 2022 Fenway Bowl.",15,5,"['k', 'eg']",2,0
lipoprotein,Function Apolipoprotein AI is the major protein component of high density lipoprotein (HDL) particles in plasma.,16,5,"['lip', 'oprotein']",2,0
celesta,"The instrumental arrangement comprised a wide assortment of instruments: acoustic guitar, flute, drum kit, , jaw harp, idiophones (all played by Florian himself), alongside electric guitar, tabla, conga, electric piano, celesta, synthesizer and electronic organ.",35,4,"['cel', 'esta']",2,0
ecx,"je .return_from_fib ; yes - %eax contains the result movl %edx, %esi ; make the previous number the number before the previous one decl %ecx ; decrement the counter movl %eax, %edx ; make the current number the previous number jmp .fib_loop ; keep going .return_1_from_fib: movl $1, %eax ; set the return value to 1 .return_from_fib: ret ; return In this code example, the registers of the x86-64 processor are named and manipulated directly.",75,4,"['ec', 'x']",2,0
socage,"While socage usually implied rent to be payable to the monarch, no rent was paid in the form of free and common socage as interpreted by the courts.",28,4,"['soc', 'age']",2,0
discarding,Larvae present in corn kernels often go undiscovered and this can lead to their rejection and subsequent discarding.,18,4,"['discard', 'ing']",2,0
aikido,"1909) December 25: Kenji Tomiki, aikido and judo teacher (b.",10,4,"['aik', 'ido']",2,0
putsch,"After the putsch, Hitler and other Nazi leaders were incarcerated at Landsberg Prison for high treason.",16,4,"['put', 'sch']",2,0
quirky,"Reception Kirkus Reviews praises the novel: ""this literate intrigue is full of quirky, quixotic surprises and it will catch your curiosity and convert it into admiration.",26,4,"['quir', 'ky']",2,0
strewn,"It subsequently flows southeast through a comparatively open valley, its course strewn with large boulders against which the water foams violently.",21,4,"['stre', 'wn']",2,0
skeletal,"Fossilization, the natural preservation of the skeletal remains formed over a very long period.",14,4,"['ske', 'letal']",2,0
eager,"Buckwell, eager to possess the land of Don Hernandez Vasquez, sends Michael Brandon, an unscrupulous attorney, to make an offer.",20,5,"['e', 'ager']",2,0
goblet,"Literary works Poetry Krople czary (The Drops of goblet) 1865 Szkice helweckie i Talia (Helvetian drafts and Waist) 1868 (Leipzig, publ.",21,4,"['gob', 'let']",2,0
ulna,The proximal end of the ulna has a stronger cranial curvature to it and the olecranon is again shortened.,19,4,"['ul', 'na']",2,0
masse,They have also been observed swarming a prey item and feeding en masse.,13,4,"['mas', 'se']",2,0
geoists,Some geoists believe that partially compensating landowners is a politically expedient compromise necessary for achieving reform.,16,5,"['geo', 'ists']",2,0
humilis,Dioscorea humilis Bertero ex Colla Dioscorea humilis subsp.,8,5,"['hum', 'ilis']",2,0
fenestra,"This “line of weakness” has been proposed to be a precursor to the synapsid temporal fenestra, although this hypothesis has been challenged.",22,4,"['fen', 'estra']",2,0
curacy,"After a curacy in Leeds he became Rector of Wincanton in 1889; then Vicar of Chard, Somerset in 1897.",19,4,"['cur', 'acy']",2,0
debater,"In Amritsar Clark gained a reputation as a Christian debater and pamphlet writer, on Islam and Hinduism.",17,4,"['deb', 'ater']",2,0
incontrol,"In addition to participating in the tournament itself, IdrA would also commentate many games alongside his teammate iNcontroL.",18,4,"['in', 'control']",2,0
duopoly,"The station is owned by INNOVATE Corp., as part of a duopoly with WHEH-LD (channel 41).",16,4,"['du', 'opoly']",2,0
formalists,"Moreover, by presenting Lenin as an ironic, flexible thinker, the Formalists subtly appropriated the Soviet leader for themselves.",18,4,"['formal', 'ists']",2,0
fedora,Occasionally they would have a long feather on the fedora or pork pie hat as decoration.,16,4,"['fed', 'ora']",2,0
treba,"It became popular after release of their first singles: ""Meni tak treba"" (I Need So) and ""Moje sertse"" (My Heart).",20,4,"['tre', 'ba']",2,0
resorption,"Congruently, an anode is associated with tissue resorption or degeneration, as occurs in impaired regeneration and osteoclastic resorption in bone.",20,4,"['res', 'orption']",2,0
sandal,"When Jason entered Iolcus, he was announced as a man wearing one sandal.",13,4,"['s', 'andal']",2,0
syster,"Reception Critical response Anna Zamolska from KinderundJugendmedien.de believes, that Allrakäraste syster is ""a wistful, serious fairy tale"".",17,4,"['s', 'yster']",2,0
cerrado,Home ranges consist of almost equal parts of the cerrado biome and pasture.,13,4,"['cerr', 'ado']",2,0
xiqu,"2019 MIPIM Asia Awards – Gold Winner, Best Infrastructure Development - Xiqu Centre, Hong Kong China.",16,5,"['x', 'iqu']",2,0
exploit,"ionCube24 uses the ionCube Loader to monitor and block any unexpected PHP code, as might be introduced by a software vulnerability exploit, before it executes.",25,5,"['expl', 'oit']",2,0
dissipation,The dissipation of the gas in the liquid during expansion was a consequence of the shear viscosity of the liquid.,20,5,"['diss', 'ipation']",2,0
bandhas,"The Gorakṣaśataka, a Nāth text of the same period (13th century), teaches śakticālanīmudrā (""stimulating Sarasvatī"") along with the three bandhas.",20,4,"['band', 'has']",2,0
aimer,"NATO defines indirect fire as ""Fire delivered at a target which cannot be seen by the aimer.""",17,5,"['aim', 'er']",2,0
godson,"He was baptized on January 13, 1758, in the Simenov Church, godson of Count Sergei Yaguzhinsky.",16,5,"['god', 'son']",2,0
earner,It's been a huge earner for me.,7,5,"['ear', 'ner']",2,0
phing,"Evolution The original Khamon phing had a sweet taste, fragrant, brown color, and immediately melted in the mouth.",18,4,"['ph', 'ing']",2,0
waitii,"Etymology The specific name, waitii, is in honor of English-born Australian zoologist Edgar Ravenswood Waite.",15,5,"['wait', 'ii']",2,0
abutment,"According to eyewitness reports, the growing heap of ice came to within only a few centimetres of the bridge's abutment.",20,4,"['abut', 'ment']",2,0
cognomen,"The consular family of imperial times bore the cognomen Hasta, or the derived Hastianus.",14,4,"['cogn', 'omen']",2,0
buggy,Performance and stability issues Valdocs on the QX-10 was very slow and buggy.,13,4,"['bug', 'gy']",2,0
skydives,"She has gone on four skydives while completely naked, and on five occasions her parachute did not open in mid-jump.",20,4,"['sky', 'dives']",2,0
