word,selected_sentence,sentence_length,original_frequency,tokens,token_num
역,등장 인물 주요 인물 태민영 : 박가 (새 남편) 역 양미경 : 김씨부인 역 문창길 : 안생 (전 남편) 역,20,15296,['역'],1
선수,"카를 마이(, 1928년 7월 27일~1993년 3월 15일)는 독일의 축구 선수, 지도자로, 현역 시절 미드필더로 활약했다.",15,13757,"['선', '수']",2
영화,프리모니션(premonition): 예지를 뜻하는 영어 낱말 프리모니션 (1972년 영화) 프리모니션 (2007년 영화) Premonition (서바이버의 음반),14,12373,['영화'],1
축구,"조수혁(趙秀赫, 1987년 3월 18일 ~)은 대한민국의 축구 선수로서 현재 울산 현대에서 골키퍼로 활약 중이며 한국프로축구선수협회의 이사직도 수행하고 있다.",18,9548,"['축', '구']",2
외부,외부 링크 KBS 웹드라마 공식 홈페이지 네이버 TV 어바웃 러브,10,8599,['외부'],1
링크,외부 링크 KBS 웹드라마 공식 홈페이지 네이버 TV 어바웃 러브,10,8516,['링크'],1
사람,1981년 출생 캐나다의 남자 영화 배우 캐나다의 남자 텔레비전 배우 캐나다의 남자 성우 살아있는 사람,15,7825,['사람'],1
각주,각주 평소 인품이 훌륭하여 특히 법대 동기의 자녀를 친자식같이 살펴주었다,10,6590,"['각', '주']",2
배우,"성은채(본명: 김은채, 1987년 11월 6일 ~ )는 대한민국의 희극 배우 및 리포터이다.",12,6118,"['배', '우']",2
때,"토모에 요우/Henri Samuel Jean Aimée 성우:미도리카와 히카루, 카이다 유키(어린시절) 천문과 2학년 프랑스인과 일본인의 혼혈 주인공과 어렸을 때 만난적이 있다.",19,6039,['때'],1
이후,양국은 이후 20년 가까이 여러 분야에서 실질 우호 협력 관계를 이어 왔다.,12,5759,"['이', '후']",2
후,"올림픽 금메달로 유종의 미를 거두고 현역에서 은퇴한 후, 남자 유도 국가대표팀 코치로 선임되었다.",13,5543,['후'],1
남자,"올림픽 금메달로 유종의 미를 거두고 현역에서 은퇴한 후, 남자 유도 국가대표팀 코치로 선임되었다.",13,5348,['남자'],1
출생,1883년 출생 1955년 사망 일제강점기의 기업인 일제강점기의 교육인 대한민국의 기업인 대한민국의 교육인 신안군 출신 문태고등학교,15,4566,"['출', '생']",2
게임,아시안 게임 태권도는 아시안 게임에서 태권도로 경기를 겨루는 아시안 게임 경기 종목이다.,12,4456,['게임'],1
작품,"1998년에 16개의 조각 작품 설치와 함께 문을 열었고, 2001년에 추가로 14개의 조각 작품이 설치되었다.",14,4146,"['작', '품']",2
출신,1883년 출생 1955년 사망 일제강점기의 기업인 일제강점기의 교육인 대한민국의 기업인 대한민국의 교육인 신안군 출신 문태고등학교,15,3913,"['출', '신']",2
경우,"이 경우, 위의 측도 를 위와 같이 분해할 수 있다.",10,3745,"['경', '우']",2
음반,2018년 음반 2018년 오리콘 앨범 차트 1위 작품 동방신기의 음반 SM 엔터테인먼트 음반 일본어 음반,15,3610,"['음', '반']",2
여자,2018년 FIFA U-20 여자 월드컵 참가 팀 다음 3개 팀은 프랑스에서 열린 2018년 FIFA U-20 여자 월드컵 참가 자격을 획득했다.,20,3587,['여자'],1
리그,지도자 경력 2006년 3월 프라이스는 오스트레일리아 프로 농구 리그(NBL) 팀인 사우스 드래곤스의 감독직을 맡게 된다.,15,3521,['리그'],1
역사,역사 1820년 8월 27일 독일의 측량장교 J. 나우스()가 처음 등정하였다.,10,3508,"['역', '사']",2
동문,일본의 배우 일본의 뮤지컬 배우 다카라즈카 가극단 동문 다카라즈카 가극단 74기생 도쿄도 구부 출신 오사카시 출신 1968년 출생,18,3435,"['동', '문']",2
세계,이는 정통적인 삼위일체에 의거한 성령론을 거부하는 것으로 그 결과 지금까지 세계 교회와 신학교로부터 WCC에 대한 비판의 단초가 되었다.,18,3373,['세계'],1
