word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
모사,"또한 조조(曹操)의 모사 곽가(郭嘉)와는 같은 현, 동료 곽도(郭圖) · 순심(荀諶) 및 조조의 모사 순욱(荀彧)과는 같은 군 출신이다.",17,4,"['▁', '모', '사']",3,0
구비,"두엄 또는 구비(廐肥)는 가축의 배설물에서 비롯된 유기물로서, 농업에서 유기 비료로 사용된다.",11,5,"['▁', '구', '비']",3,0
전단,금전이나 쌀·보리쌀을 맡기는 관계가 그 예로서 소비대차와 유사하기 때문에 법률상 소비대차와 같이 취급된다(702조 전단).,14,6,"['▁', '전', '단']",3,0
백기,"백기(苩奇)는 달솔(達率)을 지낸, 백제 무왕(武王, 재위 : 600년 ~ 641년) 때의 장군이다.",12,6,"['▁', '백', '기']",3,0
사나,유네스코는 2003년 11월 7일에 al-Ghina al-San'ani이라 불리는 사나 지역의 시적인 노래 전통에 대해 인류 구전 및 무형유산 걸작으로 공표하였다.,19,4,"['▁', '사', '나']",3,0
니트,"비 SI 단위, 니트(nit, 약자 nt, 1 nt = 1 cd/m2)라는 이름으로도 불리며 컴퓨터 디스플레이의 휘도를 나타내는 데 종종 쓰인다.",20,4,"['▁', '니', '트']",3,0
화차,1901년 : 객차 및 화차 제작 업체인 히라오카 공장(平岡工場)과 합병.,10,5,"['▁', '화', '차']",3,0
교유,"멸망 같은 해 9월, 원술은 교유·장훈과 함께 진국을 점령하고 진왕 유총을 죽여 세력을 넓혔다.",14,6,"['▁', '교', '유']",3,0
들소,그 결과 모델은 들소 작전으로 명명된 르제프에서의 철수 작전을 개시한다.,10,4,"['▁', '들', '소']",3,0
소경,"《잡아함경》 제12권 제298경 〈법설의설경(法說義說經)〉에서는 6입(六入)을 6입처(六入處)라고 부르고 있는데 이 소경(小經)에 나타난 고타마 붓다의 설명에 따르면, 6입처는 안입처(眼入處)이입처(耳入處)비입처(鼻入處)설입처(舌入處)신입처(身入處)의입처(意入處)의 6내입처(六內入處)를 말한다.",19,4,"['▁', '소', '경']",3,0
영세,백제의 음악 백제 음악의 자료는 고구려에서 보이는 고분의 고구려악벽화(高句麗樂壁畵) 같은 것이 없고 기록이 영세(零細)하다.,14,4,"['▁', '영', '세']",3,0
아교,"피질추상세포(cortical pyramidal cell, CPN)과 별 아교 세포를 감염시켜 뇌증을 일으키는 것이 관찰되었다.",12,5,"['▁', '아', '교']",3,0
