word,splitted_tokens,same_token_num,same_token_num2,freq,freq_quantile,word_len
subplot,"['sub', 'plot']",False,True,10,0,7
carbonyl,"['ca', 'r', 'bon', 'yl']",False,False,10,0,8
besides,"['b', 'esi', 'des']",False,False,9,0,7
quick,"['qui', 'ck']",True,True,9,0,5
plier,"['pl', 'ier']",False,True,5,0,5
lysis,"['ly', 'sis']",False,False,6,0,5
oeuvre,"['oe', 'uvre']",False,False,11,0,6
swagger,"['swa', 'gg', 'e', 'r']",False,True,6,0,7
trone,"['tron', 'e']",False,False,9,0,5
voucher,"['vou', 'cher']",False,True,6,0,7
porte,"['p', 'orte']",True,True,6,0,5
benzyl,"['benz', 'yl']",False,False,5,0,6
homme,"['hom', 'me']",True,True,11,0,5
packing,"['p', 'acki', 'n', 'g']",False,True,9,0,7
potent,"['po', 'tent']",False,False,6,0,6
generate,"['g', 'ene', 'r', 'ate']",True,True,7,0,8
minus,"['mi', 'nus']",True,True,10,0,5
unicorn,"['unico', 'rn']",False,True,4,0,7
followed,"['fol', 'lo', 'w', 'ed']",False,False,6,0,8
duct,"['d', 'uct']",False,True,10,0,4
posta,"['p', 'osta']",False,True,5,0,5
bile,"['bil', 'e']",False,False,7,0,4
restart,"['r', 'e', 'start']",True,True,10,0,7
sunrise,"['sun', 'rise']",False,False,11,0,7
swarm,"['swa', 'rm']",False,False,5,0,5
sweater,"['sw', 'eat', 'e', 'r']",False,False,11,0,7
dare,"['dar', 'e']",False,False,6,0,4
sanity,"['sa', 'n', 'ity']",False,False,9,0,6
pointe,"['p', 'o', 'inte']",False,False,5,0,6
decreasing,"['d', 'ec', 'reas', 'in', 'g']",False,False,5,0,10
relaxed,"['relax', 'ed']",False,False,5,0,7
complete,"['compl', 'ete']",True,True,8,0,8
sans,"['san', 's']",True,True,8,0,4
enumeration,"['en', 'um', 'e', 'r', 'ation']",False,False,4,0,11
kart,"['k', 'art']",False,True,7,0,4
inter,"['int', 'er']",True,True,9,0,5
smart,"['s', 'mart']",True,True,4,0,5
calf,"['c', 'alf']",False,False,6,0,4
sett,"['set', 't']",True,True,4,0,4
storybook,"['story', 'bo', 'ok']",False,True,5,0,9
intersects,"['int', 'er', 's', 'e', 'cts']",False,False,6,0,10
orifice,"['o', 'rif', 'ice']",False,False,4,0,7
tracing,"['tr', 'acing']",False,False,10,0,7
react,"['re', 'act']",True,True,5,0,5
transforms,"['tran', 's', 'f', 'orms']",False,True,8,0,10
adder,"['add', 'er']",False,True,6,0,5
methanol,"['m', 'eth', 'an', 'ol']",False,False,7,0,8
enfant,"['en', 'fant']",False,False,4,0,6
blocking,"['bl', 'o', 'cki', 'ng']",True,True,9,0,8
vegetarian,"['veget', 'ari', 'an']",False,False,11,0,10
vanishing,"['va', 'n', 'ishi', 'ng']",False,False,4,0,9
ecommerce,"['e', 'commerce']",False,False,6,0,9
divider,"['d', 'ivi', 'der']",False,True,5,0,7
driven,"['d', 'riven']",False,False,6,0,6
decorator,"['de', 'cor', 'a', 'tor']",False,False,9,0,9
active,"['acti', 've']",True,True,4,0,6
