word,tokens,token_num,freq,freq_quantile,label
demotion,"['dem', 'otion']",2,5.0,0.0,realword
looter,"['lo', 'oter']",2,4.0,0.0,realword
rudis,"['rud', 'is']",2,5.0,0.0,realword
sparrow,"['spar', 'row']",2,5.0,0.0,realword
lingerie,"['ling', 'erie']",2,5.0,0.0,realword
occurring,"['oc', 'curring']",2,5.0,0.0,realword
peal,"['pe', 'al']",2,4.0,0.0,realword
brim,"['br', 'im']",2,5.0,0.0,realword
estudiantes,"['est', 'udiantes']",2,4.0,0.0,realword
viridis,"['vir', 'idis']",2,4.0,0.0,realword
nahiya,"['nah', 'iya']",2,4.0,0.0,realword
fatwa,"['fat', 'wa']",2,5.0,0.0,realword
entail,"['ent', 'ail']",2,4.0,0.0,realword
libido,"['lib', 'ido']",2,4.0,0.0,realword
modus,"['mod', 'us']",2,5.0,0.0,realword
slayer,"['sl', 'ayer']",2,4.0,0.0,realword
tourer,"['tour', 'er']",2,4.0,0.0,realword
boone,"['bo', 'one']",2,4.0,0.0,realword
macht,"['m', 'acht']",2,5.0,0.0,realword
lifter,"['l', 'ifter']",2,4.0,0.0,realword
priori,"['prior', 'i']",2,4.0,0.0,realword
adrift,"['adr', 'ift']",2,4.0,0.0,realword
prescribing,"['pres', 'cribing']",2,4.0,0.0,realword
tracy,"['tr', 'acy']",2,5.0,0.0,realword
weave,"['we', 'ave']",2,4.0,0.0,realword
slaver,"['sl', 'aver']",2,4.0,0.0,realword
externus,"['extern', 'us']",2,4.0,0.0,realword
publique,"['pub', 'lique']",2,4.0,0.0,realword
salient,"['sal', 'ient']",2,4.0,0.0,realword
boatman,"['boat', 'man']",2,4.0,0.0,realword
sublime,"['sub', 'lime']",2,4.0,0.0,realword
rotators,"['rot', 'ators']",2,5.0,0.0,realword
governmental,"['government', 'al']",2,4.0,0.0,realword
stonefly,"['stone', 'fly']",2,5.0,0.0,realword
tapping,"['t', 'apping']",2,4.0,0.0,realword
fling,"['fl', 'ing']",2,5.0,0.0,realword
