word,tokens,token_num,freq,freq_quantile,label
needlework,"['needle', 'work']",2,4.0,0.0,realword
hundredth,"['hundred', 'th']",2,5.0,0.0,realword
experimentalis,"['experiment', 'alis']",2,4.0,0.0,realword
fastball,"['fast', 'ball']",2,5.0,0.0,realword
diploid,"['di', 'ploid']",2,4.0,0.0,realword
charlock,"['ch', 'arlock']",2,5.0,0.0,realword
microtransaction,"['micro', 'transaction']",2,4.0,0.0,realword
gote,"['g', 'ote']",2,5.0,0.0,realword
rascal,"['ras', 'cal']",2,5.0,0.0,realword
maverick,"['ma', 'verick']",2,5.0,0.0,realword
dayside,"['days', 'ide']",2,5.0,0.0,realword
chalet,"['chal', 'et']",2,5.0,0.0,realword
stoker,"['st', 'oker']",2,4.0,0.0,realword
slipway,"['slip', 'way']",2,4.0,0.0,realword
decoherence,"['deco', 'herence']",2,4.0,0.0,realword
stale,"['st', 'ale']",2,5.0,0.0,realword
stoneware,"['ston', 'eware']",2,5.0,0.0,realword
twine,"['tw', 'ine']",2,4.0,0.0,realword
schoolroom,"['school', 'room']",2,4.0,0.0,realword
idealization,"['ideal', 'ization']",2,5.0,0.0,realword
topsoil,"['top', 'soil']",2,5.0,0.0,realword
hybridization,"['hybrid', 'ization']",2,4.0,0.0,realword
coachman,"['coach', 'man']",2,4.0,0.0,realword
periodicity,"['period', 'icity']",2,4.0,0.0,realword
croquette,"['cro', 'quette']",2,4.0,0.0,realword
repossession,"['repos', 'session']",2,4.0,0.0,realword
knew,"['k', 'new']",2,4.0,0.0,realword
sanctus,"['san', 'ctus']",2,4.0,0.0,realword
chose,"['ch', 'ose']",2,5.0,0.0,realword
bruising,"['bru', 'ising']",2,4.0,0.0,realword
torment,"['tor', 'ment']",2,4.0,0.0,realword
asshole,"['ass', 'hole']",2,4.0,0.0,realword
landline,"['land', 'line']",2,4.0,0.0,realword
cytotoxic,"['cyt', 'otoxic']",2,5.0,0.0,realword
awkward,"['awk', 'ward']",2,4.0,0.0,realword
milkweed,"['milk', 'weed']",2,4.0,0.0,realword
memorization,"['memor', 'ization']",2,5.0,0.0,realword
mockup,"['mock', 'up']",2,4.0,0.0,realword
pregame,"['pre', 'game']",2,4.0,0.0,realword
zydeco,"['zy', 'deco']",2,5.0,0.0,realword
mandamus,"['mand', 'amus']",2,5.0,0.0,realword
wnt,"['w', 'nt']",2,4.0,0.0,realword
canard,"['can', 'ard']",2,4.0,0.0,realword
heathland,"['heath', 'land']",2,5.0,0.0,realword
hijra,"['hij', 'ra']",2,5.0,0.0,realword
foresight,"['fores', 'ight']",2,4.0,0.0,realword
refitting,"['ref', 'itting']",2,4.0,0.0,realword
kayaking,"['kay', 'aking']",2,5.0,0.0,realword
univision,"['univ', 'ision']",2,4.0,0.0,realword
gravitation,"['grav', 'itation']",2,4.0,0.0,realword
flagellation,"['flag', 'ellation']",2,4.0,0.0,realword
prudence,"['pr', 'udence']",2,5.0,0.0,realword
pood,"['p', 'ood']",2,5.0,0.0,realword
coke,"['c', 'oke']",2,4.0,0.0,realword
syster,"['s', 'yster']",2,4.0,0.0,realword
tansy,"['tans', 'y']",2,4.0,0.0,realword
bushfires,"['bush', 'fires']",2,5.0,0.0,realword
grandiosity,"['grand', 'iosity']",2,4.0,0.0,realword
suspender,"['susp', 'ender']",2,4.0,0.0,realword
concertmaster,"['concert', 'master']",2,4.0,0.0,realword
hippo,"['hi', 'ppo']",2,5.0,0.0,realword
proposing,"['pro', 'posing']",2,5.0,0.0,realword
hyena,"['hy', 'ena']",2,5.0,0.0,realword
vegetarianism,"['vegetarian', 'ism']",2,4.0,0.0,realword
hawser,"['haw', 'ser']",2,5.0,0.0,realword
rishis,"['rish', 'is']",2,5.0,0.0,realword
strung,"['str', 'ung']",2,4.0,0.0,realword
odyssey,"['od', 'yssey']",2,4.0,0.0,realword
optician,"['opt', 'ician']",2,4.0,0.0,realword
flavoring,"['flavor', 'ing']",2,4.0,0.0,realword
showman,"['show', 'man']",2,4.0,0.0,realword
birthname,"['birth', 'name']",2,4.0,0.0,realword
calcutta,"['cal', 'cutta']",2,4.0,0.0,realword
discarding,"['discard', 'ing']",2,4.0,0.0,realword
crass,"['cr', 'ass']",2,5.0,0.0,realword
hydrocephalus,"['hydro', 'cephalus']",2,4.0,0.0,realword
rotators,"['rot', 'ators']",2,5.0,0.0,realword
draves,"['dra', 'ves']",2,4.0,0.0,realword
breastfeeding,"['breast', 'feeding']",2,4.0,0.0,realword
affectation,"['affect', 'ation']",2,5.0,0.0,realword
undulation,"['und', 'ulation']",2,4.0,0.0,realword
sara,"['s', 'ara']",2,4.0,0.0,realword
solstice,"['sol', 'stice']",2,5.0,0.0,realword
nightgown,"['night', 'gown']",2,4.0,0.0,realword
seaboard,"['se', 'aboard']",2,4.0,0.0,realword
coelom,"['co', 'elom']",2,4.0,0.0,realword
mfa,"['m', 'fa']",2,4.0,0.0,realword
supercup,"['super', 'cup']",2,4.0,0.0,realword
barometer,"['bar', 'ometer']",2,4.0,0.0,realword
colouring,"['colour', 'ing']",2,4.0,0.0,realword
nationale,"['nation', 'ale']",2,5.0,0.0,realword
unicolor,"['unic', 'olor']",2,4.0,0.0,realword
dreaming,"['dream', 'ing']",2,5.0,0.0,realword
wardi,"['ward', 'i']",2,4.0,0.0,realword
intervene,"['inter', 'vene']",2,4.0,0.0,realword
externus,"['extern', 'us']",2,4.0,0.0,realword
geoists,"['geo', 'ists']",2,5.0,0.0,realword
anglophone,"['angl', 'ophone']",2,4.0,0.0,realword
seahorse,"['se', 'ahorse']",2,4.0,0.0,realword
ropeway,"['rope', 'way']",2,4.0,0.0,realword
uralensis,"['ural', 'ensis']",2,5.0,0.0,realword
puller,"['pull', 'er']",2,4.0,0.0,realword
ultras,"['ult', 'ras']",2,4.0,0.0,realword
silliness,"['sill', 'iness']",2,4.0,0.0,realword
boatman,"['boat', 'man']",2,4.0,0.0,realword
haynes,"['hay', 'nes']",2,4.0,0.0,realword
degeneracy,"['degener', 'acy']",2,4.0,0.0,realword
congener,"['con', 'gener']",2,4.0,0.0,realword
londoner,"['london', 'er']",2,4.0,0.0,realword
manhwa,"['man', 'hwa']",2,4.0,0.0,realword
oncle,"['on', 'cle']",2,4.0,0.0,realword
genitive,"['gen', 'itive']",2,4.0,0.0,realword
inhibitory,"['inhib', 'itory']",2,4.0,0.0,realword
pomp,"['p', 'omp']",2,5.0,0.0,realword
bellcote,"['bell', 'cote']",2,4.0,0.0,realword
vetustus,"['vet', 'ustus']",2,5.0,0.0,realword
sprain,"['sp', 'rain']",2,5.0,0.0,realword
antico,"['ant', 'ico']",2,5.0,0.0,realword
phing,"['ph', 'ing']",2,4.0,0.0,realword
tailcoat,"['tail', 'coat']",2,4.0,0.0,realword
ketchup,"['k', 'etchup']",2,4.0,0.0,realword
composure,"['com', 'posure']",2,4.0,0.0,realword
overworld,"['over', 'world']",2,4.0,0.0,realword
cartooning,"['cartoon', 'ing']",2,5.0,0.0,realword
crisp,"['cris', 'p']",2,5.0,0.0,realword
townsman,"['town', 'sman']",2,4.0,0.0,realword
trainset,"['train', 'set']",2,5.0,0.0,realword
osteoporosis,"['oste', 'oporosis']",2,4.0,0.0,realword
capstone,"['cap', 'stone']",2,4.0,0.0,realword
russia,"['r', 'ussia']",2,5.0,0.0,realword
privation,"['priv', 'ation']",2,4.0,0.0,realword
girth,"['g', 'irth']",2,5.0,0.0,realword
pretender,"['pret', 'ender']",2,4.0,0.0,realword
ambulatory,"['amb', 'ulatory']",2,4.0,0.0,realword
nahiya,"['n', 'ahiya']",2,4.0,0.0,realword
acrobat,"['ac', 'robat']",2,4.0,0.0,realword
iodine,"['iod', 'ine']",2,5.0,0.0,realword
companionway,"['companion', 'way']",2,5.0,0.0,realword
lunchtime,"['lunch', 'time']",2,4.0,0.0,realword
earthworm,"['earth', 'worm']",2,5.0,0.0,realword
bouncy,"['b', 'ouncy']",2,4.0,0.0,realword
thong,"['th', 'ong']",2,4.0,0.0,realword
fervor,"['fer', 'vor']",2,4.0,0.0,realword
flasher,"['fl', 'asher']",2,4.0,0.0,realword
shrinking,"['shr', 'inking']",2,4.0,0.0,realword
junker,"['j', 'unker']",2,5.0,0.0,realword
custodian,"['cust', 'odian']",2,4.0,0.0,realword
repairman,"['repair', 'man']",2,4.0,0.0,realword
cryptocurrency,"['crypt', 'ocurrency']",2,5.0,0.0,realword
ubiquity,"['ub', 'iquity']",2,4.0,0.0,realword
personhood,"['person', 'hood']",2,4.0,0.0,realword
flatbread,"['flat', 'bread']",2,5.0,0.0,realword
dobro,"['dob', 'ro']",2,5.0,0.0,realword
transcribed,"['trans', 'cribed']",2,4.0,0.0,realword
prematurity,"['pre', 'maturity']",2,4.0,0.0,realword
signboard,"['sign', 'board']",2,4.0,0.0,realword
castrato,"['cast', 'rato']",2,4.0,0.0,realword
lanceolate,"['lance', 'olate']",2,4.0,0.0,realword
valet,"['val', 'et']",2,4.0,0.0,realword
slugging,"['slug', 'ging']",2,4.0,0.0,realword
creeper,"['cre', 'eper']",2,5.0,0.0,realword
meatpacking,"['meat', 'packing']",2,4.0,0.0,realword
esophageal,"['es', 'ophageal']",2,4.0,0.0,realword
modulators,"['mod', 'ulators']",2,5.0,0.0,realword
chlamydia,"['ch', 'lamydia']",2,4.0,0.0,realword
clement,"['c', 'lement']",2,4.0,0.0,realword
concentrators,"['concent', 'rators']",2,4.0,0.0,realword
reckoning,"['reck', 'oning']",2,5.0,0.0,realword
thistle,"['th', 'istle']",2,4.0,0.0,realword
toothpick,"['tooth', 'pick']",2,4.0,0.0,realword
trifolium,"['trif', 'olium']",2,4.0,0.0,realword
tracy,"['tr', 'acy']",2,5.0,0.0,realword
internus,"['intern', 'us']",2,5.0,0.0,realword
cityscape,"['city', 'scape']",2,4.0,0.0,realword
francor,"['franc', 'or']",2,5.0,0.0,realword
desses,"['dess', 'es']",2,5.0,0.0,realword
rococo,"['roc', 'oco']",2,4.0,0.0,realword
fright,"['f', 'right']",2,4.0,0.0,realword
reticulum,"['ret', 'iculum']",2,5.0,0.0,realword
shill,"['sh', 'ill']",2,4.0,0.0,realword
handheld,"['hand', 'held']",2,5.0,0.0,realword
subtracts,"['subtract', 's']",2,4.0,0.0,realword
aimer,"['aim', 'er']",2,5.0,0.0,realword
cadenza,"['cad', 'enza']",2,4.0,0.0,realword
psychotropic,"['psych', 'otropic']",2,4.0,0.0,realword
restoring,"['rest', 'oring']",2,4.0,0.0,realword
hiragana,"['hir', 'agana']",2,4.0,0.0,realword
saknar,"['sak', 'nar']",2,5.0,0.0,realword
naris,"['n', 'aris']",2,4.0,0.0,realword
napkin,"['nap', 'kin']",2,5.0,0.0,realword
tanner,"['t', 'anner']",2,5.0,0.0,realword
ncycle,"['n', 'cycle']",2,4.0,0.0,realword
urinal,"['ur', 'inal']",2,5.0,0.0,realword
skiff,"['sk', 'iff']",2,5.0,0.0,realword
telluride,"['tell', 'uride']",2,5.0,0.0,realword
quitter,"['qu', 'itter']",2,5.0,0.0,realword
envy,"['env', 'y']",2,5.0,0.0,realword
flatworm,"['flat', 'worm']",2,5.0,0.0,realword
sopra,"['sop', 'ra']",2,4.0,0.0,realword
nighttime,"['night', 'time']",2,5.0,0.0,realword
freed,"['fre', 'ed']",2,5.0,0.0,realword
midrib,"['mid', 'rib']",2,5.0,0.0,realword
saltbox,"['salt', 'box']",2,4.0,0.0,realword
decathlete,"['dec', 'athlete']",2,4.0,0.0,realword
elegans,"['eleg', 'ans']",2,5.0,0.0,realword
