German,Korean
abfahren,['출발']
abkühlen,"['냉방', '냉각']"
ablauf,"['만료', '만기', '순서', '시퀀스']"
abnahme,"['쇠퇴', '거부', '줄이기', '감소', '거절', '합격']"
abnehmer,"['고객', '구매자']"
abteilung,"['디비전', '사단', '부서']"
acht,['여덟']
aeroben,['에어로빅']
aktie,"['공유', '주식']"
aktivität,['활동']
aktuell,"['뉴스', '현재', '전류', '소식']"
aktuellste,"['최신', '최근']"
albern,"['어리석은', '바보', '어리석음']"
alkohol,"['알코올', '주류']"
alle,"['다들', '전체', '모두']"
allein,"['홀로', '혼자', '솔로']"
allgemein,"['일반인', '일반', '일반적으로', '장군']"
alpin,['알파인']
alt,"['오래된', '알토', '늙은']"
analog,['아날로그']
analyse,"['해석', '해석학', '분석', '분석하기']"
angleichung,"['선형', '정렬', '근사']"
anleitung,"['매뉴얼', '튜토리얼', '설명서', '수동', '지침', '복음', '지시', '안내', '명령어']"
anwesend,"['현재', '선물']"
apfel,"['애플', '사과']"
arabisch,"['아랍인', '아라비아어', '아랍', '아라비아', '아랍어']"
arbeiten,"['작품', '일하기', '작동', '퇴근', '작업', '웍스', '직장']"
arbeiter,"['노동자', '근로자', '노동자들']"
architekt,"['건축가', '건축']"
architektur,"['건축학', '건축', '아키텍처']"
archiv,"['저장소', '보관', '아카이브']"
arm,['불쌍한']
arrangeur,['편곡']
art,"['타입', '종류', '형식', '유형', '친절한', '친절']"
arten,"['종족', '유형']"
auch,"['심지어', '조차도', '또한']"
aufnahme,"['입장료', '녹음', '녹화', '입학']"
aufnehmen,"['흡수', '녹화', '흡수해', '흡수하기', '기록', '레코드', '녹음']"
aufwendig,['정교']
augen,['눈빛']
aus,"['아웃', '출신']"
ausbau,"['팽창', '확장', '급팽창', '전개', '연장', '확대', '확장자', '향상']"
ausfall,['실패']
ausgang,"['송신', '발신', '끝내기', '종료', '출구', '나가기', '출력']"
ausscheidung,"['배설', '강수']"
ausstattung,"['시설', '장비']"
auswärts,"['해외로', '해외']"
auszahlung,['정산']
auto,"['차량', '자동차']"
autonom,"['자치구', '자율']"
autor,"['작가', '작성자', '저자', '제작자']"
autoren,"['작가', '작성자', '저자', '제작자']"
außen,"['실외', '바깥', '야외', '밖에서', '외부']"
bach,['브룩']
bachelor,['총각']
backen,"['베이킹', '구워']"
bahnhof,"['열차', '기차', '역시', '트레인']"
bart,['수염']
basis,"['기지', '베이스']"
bauen,"['건축', '건물', '빌드', '빌딩']"
bedingt,['조건부']
bedürfnissen,['필요']
begehen,['커밋']
begleitung,"['반주', '호위', '모니터링']"
begraben,"['장례', '묻어', '매장']"
behindert,"['장애인', '비활성화']"
behörden,['당국']
bein,['다리']
beinahe,['거의']
beiträge,"['게시물', '기사', '게시글']"
bekannt,['알려진']
beleuchtung,"['조명', '불빛']"
beliebig,"['무작위로', '무작위', '랜덤']"
beliebt,"['인기가요', '인기가', '인기']"
bellen,['나무껍질']
bereich,"['도메인', '섹터', '부문', '면적', '지역', '범위', '구역', '섹션', '영역']"
berg,"['언덕', '산악', '마운트']"
berichten,['보고서']
berühmt,"['유명한', '유명', '유명인', '연예인', '유명해', '유명하다', '페임', '명성']"
beseitigung,"['제거', '박멸']"
beständig,"['지속적으로', '꾸준히', '안정', '내수', '상수', '안정적', '안정환', '안정화']"
beteiligung,"['참여', '개입', '참가']"
beten,['기도']
bewaffnung,"['무장', '무기']"
bewegung,"['모션', '운동', '움직임', '움직여', '이동']"
bewertung,"['평가하기', '검토', '검토하기', '평점', '평가', '검수', '별점', '리뷰']"
bezeichnung,"['명명법', '묘사', '이름', '명명', '설명']"
bezug,"['참고', '참조']"
bildungs,['교육']
bio,['유기적']
bissen,"['물린', '깨물어']"
bit,['비트']
blau,"['푸른색', '블루스', '파랑', '파란색', '청색', '블루', '푸른']"
bomben,"['폭탄', '폭파', '폭격']"
booten,"['부트', '부츠', '부팅']"
bord,['탑승']
botschaft,"['대사관', '영사관', '메시지', '메세지']"
branchen,"['산업', '업계', '섹터', '나뭇가지', '업종']"
braun,"['갈색', '브라운']"
breit,"['광범위한', '넓은', '너비', '광범위', '넓이', '널리', '와이드']"
britisch,"['영국인', '영국', '브리티시']"
bronzen,['청동']
bruch,"['파열', '골절', '파열음', '브레이크', '휴식']"
buchen,"['예약', '예매']"
bulgarisch,"['불가리아인', '불가리아', '불가리아어']"
burg,"['요새', '포트리스']"
börse,['교환']
bösartig,['악성']
böse,"['나쁘다', '화가', '화난', '위키드', '나쁜', '화나', '앵그리', '더러운', '사악한']"
cappella,['카펠라']
cent,"['페니', '센트']"
chaos,"['엉망', '엉망이']"
charakter,"['문자', '캐릭터', '인물', '성격']"
charakteristisch,"['특성', '특징']"
charge,"['배치', '일괄']"
chef,"['치프', '사장님', '보스', '과장']"
chinesisch,"['중국인', '중국어']"
chlorid,['염화']
christlich,"['크리스티안', '기독교', '크리스천', '크리스찬']"
comer,['코모']
computer,"['컴퓨터', '컴퓨팅']"
dach,"['옥상', '지붕']"
dance,"['춤추는', '댄싱']"
dann,"['그때', '그렇다면', '그러면']"
darsteller,"['캐스트', '깁스', '출연', '캐스팅', '주연', '배우', '공연자', '연기자']"
daten,"['데이트', '자료', '데이터', '날짜']"
dauerhaft,"['영구적', '영구']"
dennoch,"['그러나', '아직']"
designer,['디자이너']
deutsch,"['독일어', '독일', '영어', '잉글리시', '독일인']"
diagnostik,['진단']
dick,"['두꺼운', '두껍게']"
diffusen,['확산']
direkt,"['똑바로', '직접', '직통', '다이렉트', '스트레이트']"
direktor,"['디렉터', '감독']"
dorf,"['마을', '빌리지']"
dort,"['거기', '거기에']"
drehen,"['턴제', '트위스트', '회전']"
dreifach,"['트레블', '삼중', '트리플']"
drucken,"['프린트', '인쇄', '프린터', '프린팅']"
drücken,"['프레스', '푸시', '밀어', '누르기', '짜장면']"
durchführung,"['처형', '실행', '구현', '깨달음']"
dynamisch,"['동적', '다이내믹']"
dänisch,"['덴마크어', '덴마크']"
echt,"['합법적인', '정말', '정말로', '정품']"
effektivität,"['효율성', '효율']"
effizient,"['효율적으로', '효율적']"
ehren,"['명예', '영광']"
eiern,"['계란', '달걀']"
eigentlich,"['실제로', '사실']"
ein,['하나']
eine,['하나']
einfach,"['단지', '쉽게', '쉬워', '간단히', '쉬운', '간단한', '아쉬운', '단순한', '간단', '단순하게', '단순히', '그냥', '심플', '간단하다', '단순']"
eingeschränkt,"['제한된', '한정']"
einzahlungen,['예금']
einzeln,"['별도', '개별', '따로따로', '별도로', '따로', '개별적으로']"
einzig,"['오직', '단발']"
eisen,"['철쭉', '아이언스']"
elastisch,['탄성']
elektrisch,['전기']
elektro,['일렉트로']
enden,"['종료', '엔딩']"
energie,"['파워', '에너지', '전력', '권력']"
eng,"['좁다', '타이트', '좁은', '좁아']"
engeln,"['천사', '천사들', '엔젤']"
englisch,"['잉글리시', '영어']"
entfernt,"['삭제되었습니다', '지우기', '제거', '삭제됨', '삭제', '삭제하기']"
entschieden,['결심']
entwickler,['개발자']
erbschaft,"['레거시', '상속']"
ereignis,"['발생', '이벤트']"
erfolg,"['성공함', '성공적', '성공']"
erfolgreich,"['성공', '성공적으로', '성공적', '성공적인', '성공함']"
