word,tokens,token_num,freq,freq_quantile,label
Empirie,"['Emp', 'irie']",2,4.0,0.0,realword
Fuder,"['F', 'uder']",2,4.0,0.0,realword
Sherry,"['Sh', 'erry']",2,4.0,0.0,realword
Posen,"['Pos', 'en']",2,5.0,0.0,realword
mensch,"['m', 'ensch']",2,5.0,0.0,realword
GAA,"['G', 'AA']",2,4.0,0.0,realword
Kladen,"['K', 'laden']",2,4.0,0.0,realword
Florett,"['Flo', 'rett']",2,4.0,0.0,realword
Aleute,"['Ale', 'ute']",2,4.0,0.0,realword
Spier,"['Sp', 'ier']",2,4.0,0.0,realword
Flipper,"['Flip', 'per']",2,4.0,0.0,realword
Westwind,"['West', 'wind']",2,4.0,0.0,realword
Gasleitung,"['Gas', 'leitung']",2,4.0,0.0,realword
Sequel,"['Se', 'quel']",2,5.0,0.0,realword
Sek,"['S', 'ek']",2,4.0,0.0,realword
Fahrenheit,"['F', 'ahrenheit']",2,4.0,0.0,realword
Talg,"['T', 'alg']",2,5.0,0.0,realword
WLAN,"['W', 'LAN']",2,5.0,0.0,realword
Jolle,"['J', 'olle']",2,4.0,0.0,realword
Numerik,"['Numer', 'ik']",2,4.0,0.0,realword
Einbaum,"['Ein', 'baum']",2,4.0,0.0,realword
Eigenrotation,"['Eigen', 'rotation']",2,4.0,0.0,realword
Wallende,"['Wall', 'ende']",2,4.0,0.0,realword
Thorium,"['Thor', 'ium']",2,4.0,0.0,realword
Entente,"['Ent', 'ente']",2,5.0,0.0,realword
Fis,"['F', 'is']",2,4.0,0.0,realword
Apologie,"['Ap', 'ologie']",2,4.0,0.0,realword
Thaten,"['That', 'en']",2,5.0,0.0,realword
Boxsport,"['Box', 'sport']",2,5.0,0.0,realword
backen,"['back', 'en']",2,5.0,0.0,realword
Lodge,"['L', 'odge']",2,5.0,0.0,realword
Bezahl,"['Be', 'zahl']",2,5.0,0.0,realword
Punsch,"['P', 'unsch']",2,5.0,0.0,realword
Remission,"['Rem', 'ission']",2,5.0,0.0,realword
Triade,"['Tri', 'ade']",2,4.0,0.0,realword
Bitumen,"['Bit', 'umen']",2,4.0,0.0,realword
Restfläche,"['Rest', 'flÃ¤che']",2,5.0,0.0,realword
Steiger,"['Ste', 'iger']",2,4.0,0.0,realword
Bure,"['B', 'ure']",2,5.0,0.0,realword
Verlegen,"['Ver', 'legen']",2,4.0,0.0,realword
Linker,"['Link', 'er']",2,4.0,0.0,realword
Trawler,"['T', 'rawler']",2,5.0,0.0,realword
Graduation,"['Grad', 'uation']",2,4.0,0.0,realword
Playmate,"['Play', 'mate']",2,4.0,0.0,realword
Krake,"['Kr', 'ake']",2,5.0,0.0,realword
Resorption,"['Res', 'orption']",2,4.0,0.0,realword
Magnolie,"['Magn', 'olie']",2,4.0,0.0,realword
Albumversion,"['Album', 'version']",2,4.0,0.0,realword
Alligator,"['All', 'igator']",2,5.0,0.0,realword
Legen,"['Leg', 'en']",2,4.0,0.0,realword
Cabaret,"['Cab', 'aret']",2,4.0,0.0,realword
Zischen,"['Z', 'ischen']",2,4.0,0.0,realword
Ork,"['Or', 'k']",2,5.0,0.0,realword
Elevation,"['E', 'levation']",2,4.0,0.0,realword
Ordensburg,"['Ord', 'ensburg']",2,5.0,0.0,realword
Filmforum,"['Film', 'forum']",2,4.0,0.0,realword
Parkbank,"['Park', 'bank']",2,5.0,0.0,realword
Lei,"['Le', 'i']",2,5.0,0.0,realword
Subgenre,"['Sub', 'genre']",2,5.0,0.0,realword
Eigenzeit,"['Eigen', 'zeit']",2,5.0,0.0,realword
Leserin,"['Les', 'erin']",2,5.0,0.0,realword
Rollmaterial,"['Roll', 'material']",2,4.0,0.0,realword
Laborgerät,"['Labor', 'gerÃ¤t']",2,4.0,0.0,realword
Theosoph,"['The', 'osoph']",2,4.0,0.0,realword
Werth,"['Wer', 'th']",2,5.0,0.0,realword
Realteil,"['Real', 'teil']",2,5.0,0.0,realword
Saloon,"['Sal', 'oon']",2,4.0,0.0,realword
Oheim,"['O', 'heim']",2,4.0,0.0,realword
Turbo,"['Tur', 'bo']",2,5.0,0.0,realword
Tankette,"['Tank', 'ette']",2,4.0,0.0,realword
Pharma,"['Ph', 'arma']",2,4.0,0.0,realword
Muss,"['M', 'uss']",2,4.0,0.0,realword
Fürwort,"['FÃ¼r', 'wort']",2,4.0,0.0,realword
Scholie,"['Sch', 'olie']",2,4.0,0.0,realword
Showbusiness,"['Show', 'business']",2,4.0,0.0,realword
Salbuch,"['Sal', 'buch']",2,4.0,0.0,realword
Schizophren,"['Sch', 'izophren']",2,4.0,0.0,realword
Diner,"['D', 'iner']",2,5.0,0.0,realword
Mainboard,"['Main', 'board']",2,4.0,0.0,realword
Sandwich,"['Sand', 'wich']",2,5.0,0.0,realword
Fallzahl,"['Fall', 'zahl']",2,4.0,0.0,realword
Raga,"['R', 'aga']",2,5.0,0.0,realword
schön,"['sch', 'Ã¶n']",2,5.0,0.0,realword
Bedacht,"['Bed', 'acht']",2,4.0,0.0,realword
Orgie,"['Org', 'ie']",2,5.0,0.0,realword
Einhalten,"['Ein', 'halten']",2,4.0,0.0,realword
Lastfall,"['Last', 'fall']",2,4.0,0.0,realword
