word,splitted_tokens,same_token_num,same_token_num2,freq,freq_quantile,word_len
android,"['andr', 'oid']",True,True,4,0,7
polar,"['p', 'olar']",False,False,6,0,5
ordinary,"['or', 'd', 'i', 'na', 'ry']",True,True,4,0,8
farther,"['far', 'ther']",False,True,6,0,7
enough,"['en', 'ough']",False,False,9,0,6
agree,"['agr', 'ee']",True,True,8,0,5
slight,"['sl', 'ight']",False,True,4,0,6
mitt,"['m', 'itt']",True,True,4,0,4
develop,"['dev', 'e', 'l', 'op']",True,True,5,0,7
dialog,"['dia', 'lo', 'g']",True,True,11,0,6
restart,"['re', 's', 't', 'art']",True,True,10,0,7
chap,"['ch', 'ap']",True,True,5,0,4
sought,"['s', 'oug', 'ht']",False,True,5,0,6
appoint,"['ap', 'point']",True,True,4,0,7
deploy,"['de', 'p', 'loy']",True,True,5,0,6
vital,"['vi', 'tal']",False,False,4,0,5
asks,"['ask', 's']",True,True,7,0,4
fore,"['fo', 're']",True,True,10,0,4
keyword,"['key', 'wor', 'd']",True,True,5,0,7
complete,"['c', 'om', 'p', 'lete']",True,True,8,0,8
alter,"['al', 'ter']",True,True,11,0,5
bitter,"['bit', 'ter']",False,True,4,0,6
coupling,"['c', 'ou', 'p', 'ling']",False,False,11,0,8
weird,"['wei', 'rd']",False,False,7,0,5
felt,"['fel', 't']",True,True,9,0,4
rust,"['ru', 'st']",True,True,6,0,4
hombre,"['h', 'om', 'bre']",False,False,9,0,6
irregular,"['ir', 'reg', 'ul', 'ar']",False,False,6,0,9
defining,"['de', 'fi', 'ni', 'n', 'g']",False,False,5,0,8
tick,"['t', 'ick']",True,True,7,0,4
mise,"['mis', 'e']",True,True,4,0,4
subsequent,"['su', 'bs', 'equ', 'e', 'nt']",False,True,10,0,10
einem,"['ein', 'em']",False,True,5,0,5
private,"['priv', 'at', 'e']",True,True,5,0,7
keywords,"['ke', 'y', 'wo', 'r', 'ds']",True,True,8,0,8
faire,"['fa', 'ire']",False,False,5,0,5
plat,"['pla', 't']",True,True,10,0,4
miss,"['mis', 's']",True,True,11,0,4
applicable,"['app', 'li', 'c', 'ab', 'le']",False,False,5,0,10
prom,"['pro', 'm']",True,True,5,0,4
compare,"['comp', 'are']",True,True,5,0,7
neutral,"['neut', 'ra', 'l']",True,True,5,0,7
passer,"['pass', 'er']",False,True,9,0,6
cheer,"['che', 'er']",False,True,10,0,5
cura,"['cu', 'ra']",True,True,11,0,4
dataset,"['d', 'ata', 's', 'et']",True,True,12,0,7
orch,"['or', 'ch']",True,True,6,0,4
transmit,"['tra', 'ns', 'm', 'i', 't']",False,False,9,0,8
oldest,"['o', 'ld', 'est']",False,True,13,0,6
synth,"['syn', 'th']",False,False,10,0,5
relevant,"['r', 'ele', 'v', 'ant']",True,True,11,0,8
multi,"['mul', 'ti']",True,True,7,0,5
solemn,"['sole', 'mn']",False,True,5,0,6
open,"['op', 'en']",True,True,12,0,4
fail,"['fa', 'il']",True,True,8,0,4
tends,"['ten', 'ds']",False,True,12,0,5
nationale,"['nat', 'io', 'n', 'ale']",False,True,5,0,9
workflow,"['work', 'flow']",True,True,8,0,8
checking,"['ch', 'ec', 'k', 'ing']",True,True,8,0,8
learn,"['le', 'arn']",True,True,7,0,5
varying,"['va', 'r', 'y', 'ing']",False,False,4,0,7
chose,"['cho', 'se']",False,True,5,0,5
const,"['cons', 't']",True,True,11,0,5
linking,"['lin', 'king']",False,False,4,0,7
eager,"['e', 'ager']",False,True,5,0,5
connecting,"['connect', 'ing']",True,True,13,0,10
