word,tokens,token_num,freq,freq_quantile,label
아름,"['ìķĦ', 'ë¦Ħ']",2,4.0,0.0,realword
극비,"['ê·¹', 'ë¹Ħ']",2,5.0,0.0,realword
주신,"['ì£¼', 'ìĭł']",2,5.0,0.0,realword
궤변,"['ê¶¤', 'ë³Ģ']",2,6.0,0.0,realword
지행,"['ì§Ģ', 'íĸī']",2,6.0,0.0,realword
의양,"['ìĿĺ', 'ìĸĳ']",2,6.0,0.0,realword
결기,"['ê²°', 'ê¸°']",2,4.0,0.0,realword
짬뽕,"['ì§¬', 'ë½ķ']",2,5.0,0.0,realword
광어,"['ê´ĳ', 'ìĸ´']",2,6.0,0.0,realword
랜턴,"['ëŀľ', 'íĦ´']",2,5.0,0.0,realword
육질,"['ìľ¡', 'ì§Ī']",2,6.0,0.0,realword
풍파,"['íĴį', 'íĮĮ']",2,4.0,0.0,realword
대내,"['ëĮĢ', 'ëĤ´']",2,4.0,0.0,realword
장여,"['ìŀ¥', 'ìĹ¬']",2,5.0,0.0,realword
복당,"['ë³µ', 'ëĭ¹']",2,5.0,0.0,realword
스팸,"['ìĬ¤', 'íĮ¸']",2,4.0,0.0,realword
계집,"['ê³Ħ', 'ì§ĳ']",2,5.0,0.0,realword
금식,"['ê¸Ī', 'ìĭĿ']",2,5.0,0.0,realword
추탈,"['ì¶Ķ', 'íĥĪ']",2,6.0,0.0,realword
당성,"['ëĭ¹', 'ìĦ±']",2,6.0,0.0,realword
전광,"['ìłĦ', 'ê´ĳ']",2,4.0,0.0,realword
격문,"['ê²©', 'ë¬¸']",2,6.0,0.0,realword
양곡,"['ìĸĳ', 'ê³¡']",2,5.0,0.0,realword
전연,"['ìłĦ', 'ìĹ°']",2,6.0,0.0,realword
들것,"['ëĵ¤', 'ê²ĥ']",2,4.0,0.0,realword
성충,"['ìĦ±', 'ì¶©']",2,5.0,0.0,realword
위닝,"['ìľĦ', 'ëĭĿ']",2,4.0,0.0,realword
랩퍼,"['ëŀ©', 'íį¼']",2,5.0,0.0,realword
증량,"['ì¦Ŀ', 'ëŁī']",2,4.0,0.0,realword
가부,"['ê°Ģ', 'ë¶Ģ']",2,6.0,0.0,realword
시게,"['ìĭľ', 'ê²Į']",2,4.0,0.0,realword
모찌,"['ëª¨', 'ì°Į']",2,6.0,0.0,realword
명당,"['ëªħ', 'ëĭ¹']",2,6.0,0.0,realword
득남,"['ëĵĿ', 'ëĤ¨']",2,6.0,0.0,realword
지가,"['ì§Ģ', 'ê°Ģ']",2,6.0,0.0,realword
칫솔,"['ì¹«', 'ìĨĶ']",2,6.0,0.0,realword
훈계,"['íĽĪ', 'ê³Ħ']",2,6.0,0.0,realword
물밑,"['ë¬¼', 'ë°ĳ']",2,4.0,0.0,realword
