word,splitted_tokens,same_token_num,same_token_num2,freq,freq_quantile,word_len
Spinner,"['S', 'pin', 'n', 'er']",False,True,6,0,7
Latin,"['La', 'tin']",True,True,4,0,5
Checkpoint,"['C', 'heck', 'p', 'oint']",False,True,6,0,10
Extension,"['Ext', 'en', 's', 'i', 'on']",False,True,6,0,9
Script,"['Scr', 'ipt']",True,True,6,0,6
Professional,"['Prof', 'ession', 'al']",True,True,4,0,12
Destination,"['De', 'st', 'i', 'nation']",False,True,6,0,11
name,"['na', 'me']",True,True,6,0,4
Quad,"['Qu', 'ad']",False,True,5,0,4
Total,"['Tot', 'al']",True,True,5,0,5
Paper,"['Pa', 'per']",False,True,5,0,5
Posting,"['Po', 's', 'ti', 'ng']",False,True,4,0,7
Page,"['Pag', 'e']",True,True,6,0,4
Visual,"['Vis', 'ual']",True,True,6,0,6
Remote,"['R', 'em', 'ote']",False,True,6,0,6
Switch,"['S', 'w', 'itch']",True,True,6,0,6
Music,"['Mu', 'sic']",True,True,4,0,5
Output,"['Out', 'put']",True,True,6,0,6
Content,"['C', 'on', 'te', 'nt']",True,True,5,0,7
Normal,"['N', 'ormal']",True,True,4,0,6
Icon,"['I', 'con']",True,True,5,0,4
Location,"['L', 'oc', 'ati', 'on']",True,True,4,0,8
Sense,"['Sen', 'se']",False,True,6,0,5
Packet,"['Pa', 'cket']",False,True,4,0,6
Keeper,"['Keep', 'e', 'r']",False,True,6,0,6
Board,"['Bo', 'ard']",True,True,6,0,5
Lead,"['L', 'ead']",False,True,4,0,4
Game,"['G', 'ame']",True,True,4,0,4
Reload,"['Rel', 'oad']",False,True,5,0,6
Namespace,"['N', 'amespace']",False,True,5,0,9
Titan,"['T', 'itan']",False,True,4,0,5
Slots,"['S', 'lots']",False,True,4,0,5
gesch,"['ges', 'ch']",True,True,4,0,5
After,"['A', 'fter']",True,True,4,0,5
post,"['p', 'ost']",True,True,4,0,4
Inspector,"['In', 'spect', 'o', 'r']",False,True,4,0,9
Girl,"['G', 'irl']",True,True,4,0,4
Altern,"['A', 'l', 'tern']",True,True,4,0,6
Ground,"['Gro', 'un', 'd']",False,True,4,0,6
Ratio,"['R', 'atio']",False,True,5,0,5
Interrupt,"['I', 'nt', 'er', 'rupt']",False,True,5,0,9
Chapter,"['Cha', 'pter']",True,True,4,0,7
Convention,"['Co', 'n', 'v', 'ention']",True,True,4,0,10
inner,"['in', 'ner']",True,True,6,0,5
