word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
균일,변수 중 하나에 대한 균일 분포는 다른 변수에 대한 균일하지 않은 분포를 의미한다.,13,4,"['균', '일']",2,0
교학,이 책은 본래 원효의 주석서인『기신론소』에 영향을 받아 저술한 것으로 알려져 있는 법장의 「소」에 종밀이 주해를 가한 주석서로서 조선 세종 연간에 초주갑인자로 간행된 교학 불서이다.,24,6,"['교', '학']",2,0
팽창,"덧붙여서, 질량이 없는 광자 가설에 대한 이러한 거부는 그로 하여금 우주 팽창 가설을 의심하게 만들었다.",15,4,"['팽', '창']",2,0
라이더,미국의 래퍼 러프 라이더 소속 아티스트 미국의 남자 영화 배우,10,5,"['라이', '더']",2,0
하호,"신분계급은 왕과 그 밑에 마가(馬加)우가(牛加)저가(猪加)구가(狗加) 등 4가(四加) 등의 지배층, 그 밑에 하호(下戶)라고 불리던 읍인으로 구성된 계급의 둘로 나뉘었다.",18,6,"['하', '호']",2,0
책자,아이라이너(Eye liner) 라이너 노츠(Liner notes): 음반 레코드 재킷과 CD 앨범 등에 있는 책자 등에 쓴 해설문,16,4,"['책', '자']",2,0
흥분,"산소 결핍 상태에 있는 환자는 심한 흥분 상태에 있어, 착란하고 있는 것이 많아, 임사 체험의 의식 상태와는 반대극이다.",18,4,"['흥', '분']",2,0
명언,"명언 ""투자할 때 최소한 냉장고를 고를 때만큼의 시간과 노력을 기울여라"" ""많은 자금을 운용해야 하는 펀드라면 분산투자가 불가피하지만, 개인이라면 집중투자가 훨씬 효과적이다.""",21,5,"['명', '언']",2,0
에고,배우 이토 유나(1995년~): 일본의 가수 이나무라 유나(1982년~): 일본의 성우 에고 유나(2000년~): 일본 여성 아이돌 그룹 SKE48의 멤버 유나 (1985년~): 대한민국 신비의 멤버이자 변호사,23,4,"['에', '고']",2,0
면직,"바우만이 그의 부친과 시오니즘 경향성을 공유하지도 않았고, 오히려 그는 강한 반-시오니스트였기 때문에, 그에 대한 면직 처분은 가혹하게 받아들여졌다.",18,4,"['면', '직']",2,0
난세,한편 공자는 노나라의 연대기적 역사서인 《춘추》를 편찬하는 동안 영고성쇠가 거듭되는 난세(亂世)를 지켜 본 '역사의 산 증인'이기도 했다.,17,4,"['난', '세']",2,0
고미,고미 후미히코는 《짓킨쇼(十訓抄)》등도 니카이도 유키미쓰(二階堂行光)의 현창 기사에 이용되었을 가능성이 있다고 지적한다.,11,5,"['고', '미']",2,0
군역,"어은(御恩)이란 주인이 종자의 영지 지배를 보장하며 또 새로운 토지를 급여하는 것을 말하고, 봉공(奉公)은 종자의 군역 및 경제부담을 말한다.",18,5,"['군', '역']",2,0
식생활,장내 세균총 조절을 통한 건강 개선은 장기적인 식생활 변화와 직접적인 관련이 있는 것으로 보인다.,14,5,"['식', '생활']",2,0
정론,"반면 분위기를 읽지 않은 발언이나 자신만을 예외로 놓는 발언, 내용이 없는 정론 등을 반복해 자주 듣는 사람을 화나게 한다.",19,4,"['정', '론']",2,0
풀무,그리고 불매꾼들은 불매(풀무)를 디딘다.,4,5,"['풀', '무']",2,0
계취,"《잡아함경》 제12권 제298경 〈법설의설경(法說義說經)〉의 고타마 붓다의 설명에 따르면, 취(取)는 욕취(欲取)견취(見取)계취(戒取)아취(我取)의 4취(四取)를 말한다.",12,5,"['계', '취']",2,0
솜씨,공부 등을 무리하게 해서 빈혈로 쓰러진 켄을 양호실에 있던 그녀가 솜씨 있게 간호해 주었던 것이 첫 만남이다.,17,4,"['솜', '씨']",2,0
세칭,김익지(金益之) : 검교(檢校) 군기감(軍器監) - 세칭 도강 김씨 시조라 한다.,10,5,"['세', '칭']",2,0
미디,자일대우버스 자일대우 레스타 대우 BS090 로얄 미디 자일대우 NEW BS090,10,5,"['미', '디']",2,0
다이어,2012년 3월 다이어 개정 이후의 운용 구간은 도호쿠 본선(구로이소 이남)·다카사키 선·도카이도 본선·나리타 선·가시마 선·주오사이 선·시노노이 선·하쿠비 선이다.,17,4,"['다', '이어']",2,0
중인,《그리스 로마 신화: 신들의 사생활》는 대한민국의 MBN에 방송 중인 텔레비전 예능 프로그램이다.,12,5,"['중', '인']",2,0
규소,이후 규소 강판 생산 공정과 볼수강 생산 공정과 박판 생산 공장도 갖추게 되었다.,13,4,"['규', '소']",2,0
종단,다른 트램 노선과 마찬가지로 이 노선은 다중 종단 신호를 사용하며 교차로에는 신호등이 장착되어 있다.,14,5,"['종', '단']",2,0
두엄,"두엄 또는 구비(廐肥)는 가축의 배설물에서 비롯된 유기물로서, 농업에서 유기 비료로 사용된다.",11,4,"['두', '엄']",2,0
억양,운율과 억양 모음 운율의 특징은 종종 모음 음질로 독립적으로 설명된다.,10,4,"['억', '양']",2,0
배선,팩에 병렬로 셀 그룹이 포함되어 있는 경우 회로의 전기적 균형을 고려한 배선 구성이 다릅니다.,14,4,"['배', '선']",2,0
대필,자서전을 쓰기 위해 대필 의뢰인이나 주변인들을 인터뷰하고 다양한 사실들을 조사해서 원고를 만들어내는 경우도 있다.,14,5,"['대', '필']",2,0
토산,"남송 재정 상태가 매우 안 좋았기에, 가사도는 법을 통해 토산 상품 규제를 개혁하려 하였다.",14,4,"['토', '산']",2,0
서한,예전에는 타이셴(泰县)으로 불렸고 서한 왕조 말엽에 설치되었다.,7,4,"['서', '한']",2,0
에이크,박형진 고양이 입속으로 뛰어들다 - 최진성 나는 사이몬 - 몰너르 툰데 나이트스케이프 - 에이크 모슬러 빵! -,17,6,"['에', '이크']",2,0
쟈켓,앨범의 쟈켓 및 동영상에 사용되고 있는 일러스트는 미와 시로가 담당.,10,5,"['쟈', '켓']",2,0
오미,"생애 에이로쿠 10년(1567년) 3월, 오미 야마자키에서 야마자키 가타이에의 적남으로 태어났다.",10,5,"['오', '미']",2,0
감쇠,더치 롤(Dutch roll)은 수평 방향의 동안정 특성을 알기 위한 것으로 파일럿이 고의로 더치 롤을 일으키게 하여 안정된 비행 상태로 돌아올 때까지의 감쇠 특성을 조사하는 비행 시험을 수행하기도 한다.,28,4,"['감', '쇠']",2,0
분조,노리요시 친왕은 다가 성에서 도호쿠 지방에서의 조정을 따르는 무장들을 모으고 도호쿠 지방에서의 고다이고 천황의 분조(分朝)격이었던 오우 쇼군부(도호쿠 쇼군부)를 세웠다.,19,5,"['분', '조']",2,0
성징,"자는 성징(聖徵), 호는 월사(月沙)·보만당(保晩堂)·치암(癡菴)·추애(秋崖)·습정(習靜), 시호는 문충(文忠), 본관은 연안.",8,4,"['성', '징']",2,0
서재,"지금 남아있는 건물은 대성전, 명륜당, 외삼문, 내삼문, 동재·서재 등이다.",9,4,"['서', '재']",2,0
위스키,주류 역사가 AJ Baime에 따르면 19세기에 테네시 위스키 거물 잭 다니엘은 설탕과 으깬 탠시 잎으로 자신의 위스키를 즐겨 마셨다.,19,5,"['위', '스키']",2,0
낙찰,2라운드부터는 전 라운드에 우선권을 낙찰 받은 플레이어부터 경매를 시작해 같은 방식으로 4라운드 숫자 타일까지 모두 나눠 갖는다,17,4,"['낙', '찰']",2,0
초지,"북아메리카에서는 평원에서 초지, 산림에 걸쳐 서식했으며, 남아메리카에서는 바싹 마른 사바나 환경과 매우 건조한 기후에서 서식했다.",15,4,"['초', '지']",2,0
속현,"아래 속현 목록은 한서 지리지의 내용으로, 순서도 지리지에 나온 순이며, 원연·수화 연간(기원전 8년)의 현황으로 여겨진다.",15,5,"['속', '현']",2,0
불단,닫집은 불단 위에 네 기둥을 세워 亞자형 지붕틀을 구성하였다.,9,4,"['불', '단']",2,0
