Model,Language,Layer,Total Outputs,Unique Outputs,Duplicate Ratio,# Outputs >10,Top 5 %,Entropy (bits),Most Frequent Output,Top 3 Outputs
Babel-9B-Chat,English,1,10000,4915,50.85%,51,21.85%,10.16, 2) 2) 2) ,"{' 2) 2) 2) ': 1728, ' 1) 2) 1) ': 134, ' 1) 1) 1) ': 129}"
Babel-9B-Chat,English,2,10000,5928,40.72%,19,28.67%,10.06, 2) 2) 2) ,"{' 2) 2) 2) ': 1997, ' 1) 2) 1) ': 288, ' 1) 1) 1) ': 271}"
Babel-9B-Chat,English,3,10000,6676,33.24%,16,24.52%,10.7, 2) 2) 2) ,"{' 2) 2) 2) ': 1379, ' 2) 3) 3) ': 430, ' 1) 2) 1) ': 325}"
Babel-9B-Chat,English,4,10000,7244,27.56%,12,21.50%,11.14, 2) 2) 2) ,"{' 2) 2) 2) ': 973, ' 2) 3) 3) ': 485, ' 1) 2) 1) ': 414}"
Babel-9B-Chat,English,5,10000,7179,28.21%,14,22.30%,11.04, 2) 2) 2) ,"{' 2) 2) 2) ': 886, ' 2) 3) 3) ': 561, ' 1) 2) 1) ': 517}"
Babel-9B-Chat,English,6,10000,7012,29.88%,13,24.41%,10.83, 2) 2) 2) ,"{' 2) 2) 2) ': 877, ' 1) 2) 1) ': 670, ' 2) 3) 3) ': 606}"
Babel-9B-Chat,English,7,10000,6961,30.39%,11,24.84%,10.77, 1) 2) 1) ,"{' 1) 2) 1) ': 996, ' 2) 3) 3) ': 575, ' 2) 2) 2) ': 548}"
Babel-9B-Chat,English,8,10000,6627,33.73%,13,28.41%,10.34, 1) 2) 1) ,"{' 1) 2) 1) ': 1225, ' 2) 3) 3) ': 943, ' 2) 2) 2) ': 418}"
Babel-9B-Chat,English,9,10000,5808,41.92%,13,37.57%,9.29, 1) 2) 1) ,"{' 1) 2) 1) ': 1755, ' 2) 3) 3) ': 1445, ' 2) 2) 2) ': 246}"
Babel-9B-Chat,English,10,10000,5649,43.51%,14,38.94%,9.14, 1) 2) 1) ,"{' 1) 2) 1) ': 1794, ' 2) 3) 3) ': 1452, ' 1) 2) 3) ': 319}"
Babel-9B-Chat,English,11,10000,5880,41.20%,15,36.38%,9.4, 1) 2) 1) ,"{' 1) 2) 1) ': 1708, ' 2) 3) 3) ': 1432, ' 1) 2) 3) ': 235}"
Babel-9B-Chat,English,12,10000,5106,48.94%,16,44.89%,8.4, 2) 3) 3) ,"{' 2) 3) 3) ': 2081, ' 1) 2) 1) ': 1760, ' 1) 2) 3) ': 512}"
Babel-9B-Chat,English,13,10000,4864,51.36%,15,47.85%,8.08, 2) 3) 3) ,"{' 2) 3) 3) ': 2292, ' 1) 2) 1) ': 1698, ' 1) 2) 3) ': 629}"
Babel-9B-Chat,English,14,10000,4233,57.67%,12,55.16%,7.2, 2) 3) 3) ,"{' 2) 3) 3) ': 2767, ' 1) 2) 1) ': 1951, ' 1) 2) 3) ': 647}"
Babel-9B-Chat,English,15,10000,5130,48.70%,12,46.46%,8.21, 1) 2) 1) ,"{' 1) 2) 1) ': 2235, ' 2) 3) 3) ': 1974, ' 1) 2) 3) ': 383}"
Babel-9B-Chat,English,16,10000,5047,49.53%,12,46.95%,8.21, 1) 2) 1) ,"{' 1) 2) 1) ': 2167, ' 2) 3) 3) ': 1789, ' 1) 2) 3) ': 637}"
Babel-9B-Chat,English,17,10000,4335,56.65%,9,54.61%,7.31, 2) 3) 3) ,"{' 2) 3) 3) ': 2712, ' 1) 2) 1) ': 1895, ' 1) 2) 3) ': 663}"
Babel-9B-Chat,English,18,10000,4968,50.32%,7,48.47%,7.99, 1) 2) 1) ,"{' 1) 2) 1) ': 2384, ' 2) 3) 3) ': 1986, ' 1) 2) 3) ': 408}"
Babel-9B-Chat,English,19,10000,4582,54.18%,10,51.90%,7.62, 2) 3) 3) ,"{' 2) 3) 3) ': 2389, ' 1) 2) 1) ': 1981, ' 1) 2) 3) ': 709}"
Babel-9B-Chat,English,20,10000,4475,55.25%,11,52.92%,7.5, 2) 3) 3) ,"{' 2) 3) 3) ': 2660, ' 1) 2) 1) ': 1753, ' 1) 2) 3) ': 729}"
Babel-9B-Chat,English,21,10000,4838,51.62%,10,49.73%,7.88, 2) 3) 3) ,"{' 2) 3) 3) ': 2183, ' 1) 2) 1) ': 2110, ' 1) 2) 3) ': 602}"
Babel-9B-Chat,English,22,10000,4301,56.99%,13,54.18%,7.33, 2) 3) 3) ,"{' 2) 3) 3) ': 2649, ' 1) 2) 1) ': 1650, ' 1) 2) 3) ': 998}"
