word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
아랑곳,"['ìķĦ', 'ëŀĳ', 'ê³³']",3,"['아', '랑', '곳']",3,"['▁', '아', '<0xEB>', '<0x9E>', '<0x91>', '<0xEA>', '<0xB3>', '<0xB3>']",8,4.666666666666667,False,5,3.0,True,3,False,4,3,0
분방,"['ë¶Ħ', 'ë°©']",2,"['분', '방']",2,"['▁', '<0xEB>', '<0xB6>', '<0x84>', '방']",5,3.0,False,3,2.0,True,2,False,6,2,0
라퍼스빌,"['ëĿ¼', 'íį¼', 'ìĬ¤', 'ë¹Į']",4,"['라', '퍼', '스', '빌']",4,"['▁', '라', '<0xED>', '<0x8D>', '<0xBC>', '스', '<0xEB>', '<0xB9>', '<0x8C>']",9,5.666666666666667,False,6,4.0,True,4,False,6,4,0
프로세싱,"['íĶĦ', 'ë¡ľ', 'ìĦ¸', 'ìĭ±']",4,"['프로', '세', '싱']",3,"['▁', '<0xED>', '<0x94>', '<0x84>', '로', '세', '<0xEC>', '<0x8B>', '<0xB1>']",9,5.333333333333333,False,5,3.5,False,4,False,5,4,0
지행,"['ì§Ģ', 'íĸī']",2,"['지', '행']",2,"['▁', '지', '<0xED>', '<0x96>', '<0x89>']",5,3.0,False,3,2.0,True,2,False,6,2,0
은덕,"['ìĿĢ', 'ëįķ']",2,"['은', '덕']",2,"['▁', '은', '<0xEB>', '<0x8D>', '<0x95>']",5,3.0,False,3,2.0,True,2,False,6,2,0
수보,"['ìĪĺ', 'ë³´']",2,"['수', '보']",2,"['▁', '수', '보']",3,2.333333333333333,False,2,2.0,True,2,False,5,2,0
금토,"['ê¸Ī', 'íĨł']",2,"['금', '토']",2,"['▁', '<0xEA>', '<0xB8>', '<0x88>', '<0xED>', '<0x86>', '<0xA0>']",7,3.6666666666666665,False,4,2.0,True,2,False,6,2,0
초가,"['ì´Ī', 'ê°Ģ']",2,"['초', '가']",2,"['▁', '<0xEC>', '<0xB4>', '<0x88>', '가']",5,3.0,False,3,2.0,True,2,False,4,2,0
관가,"['ê´Ģ', 'ê°Ģ']",2,"['관', '가']",2,"['▁', '<0xEA>', '<0xB4>', '<0x80>', '가']",5,3.0,False,3,2.0,True,2,False,5,2,0
