word,typo_tokens,splitted_typo_tokens,typo_type,same_token_num,same_token_num2,freq,freq_quantile,word_len,typo_word_len
Extension,Extensivn,"['Ext', 'ens', 'i', 'vn']",substitution,False,True,6,0,9,9
Charge,Chamge,"['C', 'ham', 'ge']",substitution,False,True,6,0,6,6
anti,anthi,"['anth', 'i']",insertion,True,True,4,0,4,5
Finder,Finddr,"['Fi', 'nd', 'dr']",substitution,False,True,6,0,6,6
Act,Ayt,"['A', 'yt']",substitution,True,True,6,0,3,3
para,paira,"['pa', 'ira']",insertion,True,True,6,0,4,5
Script,Scrppt,"['Scr', 'p', 'pt']",substitution,True,True,6,0,6,6
Destination,Destbination,"['D', 'est', 'b', 'ina', 'tion']",insertion,False,True,6,0,11,12
voor,voeor,"['vo', 'eor']",insertion,True,True,4,0,4,5
Interrupt,Interupt,"['I', 'nte', 'r', 'up', 't']",deletion,False,True,5,0,9,8
dorf,dor,"['do', 'r']",deletion,False,True,4,0,4,3
PET,PE,"['P', 'E']",deletion,False,True,4,0,3,2
Workflow,Wohkflow,"['Wo', 'hk', 'f', 'l', 'ow']",substitution,False,True,4,0,8,8
Std,St,"['S', 't']",deletion,False,True,4,0,3,2
lat,la,"['l', 'a']",deletion,True,True,6,0,3,2
Ultra,Usltra,"['Us', 'l', 'tra']",insertion,False,True,6,0,5,6
Nickname,Nihkname,"['Ni', 'h', 'kn', 'a', 'me']",substitution,False,True,4,0,8,8
Kenn,Ken,"['Ke', 'n']",deletion,True,True,6,0,4,3
After,Aftr,"['Af', 'tr']",deletion,True,True,4,0,5,4
Abstract,Abstrgact,"['A', 'bs', 't', 'rg', 'act']",insertion,True,True,4,0,8,9
Namespace,Namspace,"['Nam', 'sp', 'ace']",deletion,False,True,5,0,9,8
Magnitude,Magiitude,"['Ma', 'gi', 'itu', 'd', 'e']",substitution,False,True,6,0,9,9
Switch,Switcmh,"['S', 'wit', 'cm', 'h']",insertion,True,True,6,0,6,7
Page,Pague,"['Pag', 'ue']",insertion,True,True,6,0,4,5
ten,teu,"['te', 'u']",substitution,True,True,4,0,3,3
Binder,Binöder,"['Bin', 'ö', 'de', 'r']",insertion,False,True,5,0,6,7
Ups,Upc,"['U', 'pc']",substitution,False,True,4,0,3,3
Labour,Llbour,"['L', 'l', 'bour']",substitution,True,True,4,0,6,6
Chart,Charnt,"['C', 'har', 'nt']",insertion,True,True,5,0,5,6
Len,Le,"['L', 'e']",deletion,True,True,5,0,3,2
Lot,Loxt,"['Lo', 'xt']",insertion,True,True,5,0,3,4
Sense,Sene,"['Se', 'ne']",deletion,False,True,6,0,5,4
Lead,Led,"['L', 'ed']",deletion,False,True,4,0,4,3
Girl,Gizl,"['Gi', 'zl']",substitution,True,True,4,0,4,4
Keeper,Keßeper,"['K', 'e', 'ß', 'eper']",insertion,False,True,6,0,6,7
essen,esfsen,"['es', 'f', 'sen']",insertion,False,True,6,0,5,6
ppt,ppq,"['pp', 'q']",substitution,False,True,4,0,3,3
Sur,Svr,"['S', 'vr']",substitution,True,True,5,0,3,3
Chapter,Chaper,"['Cha', 'pe', 'r']",deletion,True,True,4,0,7,6
der,de,"['d', 'e']",deletion,True,True,4,0,3,2
Solar,Ssolar,"['S', 's', 'olar']",insertion,False,True,5,0,5,6
Slots,Slotjs,"['Slot', 'js']",insertion,False,True,4,0,5,6
Opening,Openng,"['Op', 'enn', 'g']",deletion,False,True,5,0,7,6
Latin,Latmin,"['La', 'tm', 'in']",insertion,True,True,4,0,5,6
name,ntme,"['nt', 'me']",substitution,True,True,6,0,4,4
Cross,Cros,"['Cr', 'os']",deletion,True,True,4,0,5,4
Transition,Trnsition,"['T', 'rn', 's', 'i', 'tion']",deletion,False,True,4,0,10,9
Quiz,Quz,"['Qu', 'z']",deletion,False,True,4,0,4,3
Motion,Mtion,"['Mt', 'ion']",deletion,False,True,5,0,6,5
