word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
Surf,"Kompilationen 1973: Wipe Out, Surfer Joe & Other Great Hits 1983: Surf Party!: The Best of the Surfaris Live!",19,4,"['Sur', 'f']",2,0
Missmanagement,"Manmohan Singh, der derzeitige oppositionelle frühere Ministerpräsident, sprach von monumentalem „Missmanagement“.",11,5,"['Miss', 'management']",2,0
Brandung,"Mit den Alben Sommerabend, Brandung und Vielleicht bist du ein Clown?",11,4,"['Brand', 'ung']",2,0
Troll,"Auf dem Balkon, den der Troll in seinen Armen hält, treten im Sommer verschiedene Künstler auf.",16,4,"['T', 'roll']",2,0
Triode,"Der Arbeitspunkt der Triode wird so gewählt, dass bei der gewünschten Amplitude die Schleifenverstärkung auf 1 zurückgeht.",17,4,"['Tri', 'ode']",2,0
Modem,"Endglied der SIO-Kette) Modem SX212 (Übertragungsrate: 1200 Baud, besitzt SIO- und serielle Schnittstellen)",13,5,"['Mod', 'em']",2,0
Repeater,Ein Repeating-Hub arbeitet genauso wie ein Repeater und wird deswegen auch Multiport-Repeater genannt.,13,4,"['Re', 'peater']",2,0
Planetoid,"Derzeit ist der Planetoid 42,38 AE von der Sonne entfernt.",10,4,"['Planet', 'oid']",2,0
Jockey,"Hintergrundinformation Clüver war bereits während seiner Studentenzeit, mit Freunden in verschiedenen Lokalen im Mannheimer Raum, als „Rock- und Underground-Disc-Jockey“ tätig.",20,5,"['J', 'ockey']",2,0
Mole,Der Bau einer neuen Mole im Jahr 1974 brachte große Veränderungen mit sich.,13,5,"['M', 'ole']",2,0
Thaten,Werke Die unsterblichen Thaten des Kaysers Rudolph von Habsburg und des Carl III.,13,5,"['That', 'en']",2,0
wach,"Alle Wehranlagen weisen Richtung Süden, während es im Norden keine Wach- und Wehranlage gibt.",14,4,"['w', 'ach']",2,0
Methodist,Er lebt in der Nähe von Pensacola und ist Methodist.,10,4,"['Method', 'ist']",2,0
