word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
학생회관,"['íķĻìĥĿ', 'íļĮ', 'ê´Ģ']",3,"['학생', '회', '관']",3,"['▁', '학', '<0xEC>', '<0x83>', '<0x9D>', '회', '<0xEA>', '<0xB4>', '<0x80>']",9,5.0,False,5,3.0,True,3,False,4,4,0
훈련병,"['íĽĪ', 'ëł¨', 'ë³ĳ']",3,"['훈련', '병']",2,"['▁', '<0xED>', '<0x9B>', '<0x88>', '<0xEB>', '<0xA0>', '<0xA8>', '<0xEB>', '<0xB3>', '<0x91>']",10,5.0,False,5,2.5,False,3,False,5,3,0
키나아제,"['íĤ¤', 'ëĤĺ', 'ìķĦ', 'ìłľ']",4,"['키', '나', '아', '제']",4,"['▁', '<0xED>', '<0x82>', '<0xA4>', '나', '아', '제']",7,5.0,False,5,4.0,True,4,False,5,4,0
하세,"['íķĺ', 'ìĦ¸']",2,"['하', '세']",2,"['▁', '하', '세']",3,2.333333333333333,False,2,2.0,True,2,False,4,2,0
기우제,"['ê¸°', 'ìļ°', 'ìłľ']",3,"['기', '우', '제']",3,"['▁', '기', '우', '제']",4,3.333333333333333,False,3,3.0,True,3,False,5,3,0
피티,"['íĶ¼', 'íĭ°']",2,"['피', '티']",2,"['▁', '<0xED>', '<0x94>', '<0xBC>', '<0xED>', '<0x8B>', '<0xB0>']",7,3.6666666666666665,False,4,2.0,True,2,False,6,2,0
라테라누스,"['ëĿ¼', 'íħĮ', 'ëĿ¼', 'ëĪĦ', 'ìĬ¤']",5,"['라', '테', '라', '누', '스']",5,"['▁', '라', '<0xED>', '<0x85>', '<0x8C>', '라', '<0xEB>', '<0x88>', '<0x84>', '스']",10,6.666666666666667,False,7,5.0,True,5,False,4,5,0
다항,"['ëĭ¤', 'íķŃ']",2,"['다', '항']",2,"['▁', '다', '<0xED>', '<0x95>', '<0xAD>']",5,3.0,False,3,2.0,True,2,False,4,2,0
스크랴빈,"['ìĬ¤íģ¬', 'ëŀ´', 'ë¹Ī']",3,"['스크', '랴', '빈']",3,"['▁', '스', '<0xED>', '<0x81>', '<0xAC>', '<0xEB>', '<0x9E>', '<0xB4>', '<0xEB>', '<0xB9>', '<0x88>']",11,5.666666666666667,False,6,3.0,True,3,False,4,4,0
주소록,"['ì£¼', 'ìĨĮ', 'ë¡Ŀ']",3,"['주', '소', '록']",3,"['▁', '주', '소', '<0xEB>', '<0xA1>', '<0x9D>']",6,4.0,False,4,3.0,True,3,False,4,3,0
