Korean,German
페니,"['pfennig', 'cent']"
리포터,"['journalist', 'journalistin', 'reporterin']"
재무,"['finanzierung', 'finanzen', 'finanzierungen', 'finanzwesen', 'finanzielle', 'finanziellen', 'finanzdienstleistungen', 'finanziell']"
원본,"['quelle', 'originellen', 'informationsquelle', 'ursprünglichen', 'originell', 'ursprünglich']"
방향,"['wegbeschreibung', 'anreise', 'richtungen', 'anfahrt', 'richtung', 'orientierung', 'ausrichtung']"
관세,"['zollbehörde', 'tarife', 'tarif', 'bräuche', 'zölle', 'zollunion', 'zoll']"
스팀,"['wasserdampf', 'dampf', 'dampfbad']"
왓츠,['watt']
바이트,"['byte', 'bytes']"
브라더스,"['brüder', 'brüdern']"
딜러,"['fachhandel', 'händlern', 'fachhändler', 'händler']"
자전거,"['radtour', 'fahrrädern', 'motorrad', 'fahrräder', 'fahrrad', 'radfahren', 'motorräder']"
전체,"['gesamt', 'gesamtsumme', 'gesamtbetrag', 'alles', 'gesamtzahl', 'insgesamt', 'alle']"
명성,"['ruhm', 'berühmtheit', 'bekanntheit', 'berühmt', 'ruf']"
역행,['rückschritt']
광업,['bergbau']
랭킹,"['weltrangliste', 'rangfolge', 'rangliste', 'reihenfolge', 'einstufung']"
슬픔,"['schmerz', 'betrübt', 'traurige', 'leid', 'traurig', 'traurigkeit', 'trauer', 'kummer']"
열차,"['trainieren', 'bahnhof', 'züge', 'eisenbahnen', 'bahn', 'eisenbahn', 'zug', 'bahnen']"
궁극,"['letztlich', 'letztendlich']"
탐욕,"['gier', 'gierig']"
강조,"['schwerpunkt', 'betonung', 'hervorheben', 'lichtstärke', 'hervorzuheben', 'intensität', 'höhepunkt', 'hervorhebung']"
주전자,"['kessel', 'kanne', 'wasserkocher', 'krug']"
이동식,['abnehmbar']
훼손,"['gefährdet', 'kompromittiert', 'beeinträchtigt', 'verstümmeln']"
손님,"['gäste', 'gästen', 'gast', 'gästezimmer']"
출판사,"['herausgeber', 'verlage', 'verleger', 'verlag']"
협약,"['vereinbarungen', 'konvent', 'übereinkünfte', 'übereinkommen', 'abkommen', 'konvention']"
삽입,"['fügen', 'lfb', 'einstecken', 'einfügen', 'einlegen', 'einfügung', 'interstitielle']"
페이드,"['ausblenden', 'verblassen']"
너비,"['breiten', 'breit', 'breite']"
원칙,"['grundsätzen', 'prinzipien', 'prinzip', 'grundprinzipien', 'grundsatz', 'grundsätze']"
골든,"['goldenes', 'goldener', 'goldenen', 'goldene']"
광경,"['anblick', 'sehvermögen']"
휴양지,"['urlaubsort', 'ferienort', 'kurort', 'ferienanlage']"
모피,"['felle', 'pelz', 'fellen', 'pelze', 'fell']"
비밀번호,"['passwort', 'passwörter', 'kennwort']"
상상력,"['phantasie', 'fantasie', 'vorstellungskraft', 'einbildung']"
고래,"['wale', 'wal']"
테러리스트,"['terroristen', 'terrorismus', 'terroristischen', 'terroristische']"
육수,['brühe']
서술,['erzählung']
국기,"['fahne', 'flaggen', 'flagge']"
국수,"['nudeln', 'nudel']"
수영,"['schwimmbad', 'schwimmen', 'schwimm', 'schwimmt', 'schwimmer']"
백과사전,"['lexikon', 'enzyklopädie', 'enzyklopädien']"
감기,"['erkältung', 'grippe', 'kalt', 'kälte', 'erkältungen', 'kalte']"
예수,"['herrgott', 'jesu']"
클로버,['klee']
인사이드,"['innen', 'innenseite', 'drinnen', 'innerhalb']"
토스트,"['geröstet', 'geröstete', 'anstoßen']"
복제,"['nachbildung', 'replikation', 'duplikat', 'klon', 'kopie', 'doppelte', 'klonen', 'reproduktion', 'duplizieren']"
교류,"['interaktion', 'interagieren', 'interaktionen', 'wechselwirkung', 'wechselwirkungen']"
팔찌,"['armbänder', 'armband']"
웨이,"['weg', 'weise']"
추리,"['begründung', 'überlegung', 'folgerung', 'abzug', 'abzüge', 'argumentation']"
벤처,['risikokapital']
자원,"['ressourcen', 'informationsquelle', 'mittel', 'ressource', 'betriebsmittel']"
고용,"['beschäftigung', 'vermietung', 'miete', 'mieten', 'engagiert', 'angeheuert', 'verleih', 'arbeitsplätze', 'eingestellt', 'beschäftigen', 'arbeitsmarkt', 'beschäftigte', 'beschäftigt']"
냄비,"['pott', 'kanne', 'topf', 'schwenken', 'pfanne']"
오찬,['mittagessen']
무수,['fülle']
기밀,"['vertraulich', 'vertraulichen', 'vertrauliche']"
헌법,['verfassung']
플러스,"['zuzüglich', 'zzgl']"
심포지엄,"['kolloquium', 'symposien']"
단층,"['schuld', 'verschulden']"
계단,"['stufen', 'treppen', 'treppe', 'treppenhaus']"
유형,"['typ', 'typen', 'tippen', 'arten', 'art']"
에디션,"['ausgabe', 'varianten', 'auflagen', 'editionen', 'ausgaben', 'auflage']"
암호,"['kennwort', 'chiffre', 'passwort', 'passwörter', 'inschrift', 'verschlüsselung']"
프로젝트,"['vorhaben', 'projekte', 'projekten', 'projekt']"
경쟁력,"['wettbewerbsfähigkeit', 'wettbewerbsfähig']"
하이웨이,"['autobahn', 'landstraße', 'schnellstraße']"
척추동물,['wirbeltiere']
웰빙,"['wohlbefinden', 'wellness', 'wohlergehen', 'wohlfühlen']"
피임,"['empfängnisverhütung', 'verhütung']"
아프리카인,['afrikaner']
뒷면,"['schwänze', 'schwänzen', 'schwanz', 'zahl']"
하모니,"['einklang', 'harmonie', 'eintracht', 'harmonisch']"
우화,['fabel']
수트,['anzug']
메이드,"['dienstmädchen', 'zimmermädchen', 'putzfrau', 'hausmädchen']"
요구르트,['joghurt']
청동기,['bronzemedaille']
필요,"['erfordernisse', 'bedürfnissen', 'bedarf', 'benötigt', 'bedürfnisse', 'braucht']"
숫자,"['telefonnummern', 'ziffer', 'numerischer', 'anzahl', 'numerische', 'zahlen', 'numerisch', 'ziffern', 'numerischen', 'nummern', 'zahl', 'nummer']"
정의,"['justiz', 'definieren', 'gerechtigkeit', 'begriffsbestimmungen', 'bestimmen', 'begriffsbestimmung', 'definition', 'definitionen']"
과학자,"['informatiker', 'wissenschaftler', 'wissenschaftlerinnen', 'wissenschaftlern', 'wissenschaftlerin']"
계좌,"['rechnung', 'gesamtrechnung', 'benutzerkonto', 'buchhaltung', 'konto', 'buchführung', 'konten']"
공허,"['leere', 'ungültig', 'nichtigkeit', 'nichtig']"
타자,['teig']
소작,"['kleinen', 'kleine', 'kleines', 'klein', 'kleiner']"
피드,"['füttern', 'futter', 'futtermittel']"
동부,"['ostseite', 'östlich', 'osten', 'osteuropa', 'östliche', 'ost', 'östlichen']"
부하,"['lasten', 'ladungen', 'belastungen', 'untergebenen']"
대통령,"['präsident', 'präsidenten', 'vorsitz', 'ratspräsidentschaft', 'präsidentschaft', 'präsidium', 'präsidentin', 'vorsitzender']"
고도,"['erhöhung', 'höhen', 'höhe']"
병행,"['gleichzeitiger', 'gleichzeitig', 'gleichzeitige', 'gleichzeitigen']"
스크린,"['schirm', 'bildschirme', 'bildschirm', 'leinwand']"
용서,"['verzeihung', 'verzeih', 'vergebung', 'verziehen', 'vergeben', 'verzeihen']"
전역,"['kampagnen', 'kampagne', 'weltweit', 'wahlkampf', 'globale', 'globalen', 'weltweite', 'werbekampagne']"
브리티시,"['britische', 'britischen', 'britisch']"
토끼,"['hasen', 'hase', 'kaninchen', 'häschen']"
대행사,"['agentur', 'reisebüro']"
목록,"['listen', 'aufstellung', 'liste', 'verzeichnis']"
섹스,"['geschlecht', 'geschlechtsverkehr']"
안정,"['stabilen', 'beständig', 'stabile', 'stabil', 'stabilität', 'beständigkeit']"
자주,"['oft', 'häufige', 'häufiger', 'oftmals', 'häufig']"
하늘,"['himmlisch', 'himmel']"
상거래,"['handel', 'geschäfte']"
프로세싱,"['bearbeitung', 'weiterverarbeitung', 'veredelung', 'aufbereitung', 'verarbeitung']"
항성,"['sternen', 'stern', 'sternchen', 'sterne']"
공급자,"['lieferanten', 'zulieferer', 'lieferant', 'anbieter', 'versorger', 'anbietern', 'dienstleister']"
복구,"['wiederherstellung', 'verwertung', 'zurückzugewinnen', 'rückforderung', 'erholen', 'zurückgewinnen', 'rückgewinnung', 'erholung', 'wiederherzustellen', 'wiederherstellen', 'erholt', 'wiederhergestellt']"
건축학,['architektur']
심리학,"['psychisch', 'psychologie', 'psychologischen', 'psychologe', 'psychologen', 'psychologische']"
진행,"['fortfahren', 'fortschritt', 'fortschritts', 'fortschritte', 'fortschritten']"
양파,"['zwiebel', 'zwiebeln']"
조개류,"['muschel', 'weichtiere', 'muscheln']"
리허설,"['probe', 'proben']"
문법,"['grammatikalische', 'grammatik']"
왕자,"['fürst', 'prinz', 'prinzen']"
트윈,"['doppelzimmer', 'zwilling', 'zwillinge']"
힌트,"['hinweise', 'hinweis', 'tipps', 'tipp', 'andeuten']"
다소,"['einigermaßen', 'eher', 'irgendwie', 'etwas']"
비단,['seide']
행복,"['glücklich', 'glückseligkeit', 'gerne', 'freude', 'fröhlich', 'zufriedenheit', 'glück', 'zufrieden']"
펜싱,"['zäune', 'fechten']"
바베큐,"['grill', 'barbecue', 'grillen']"
순서,"['bestellen', 'befohlen', 'bestellungen', 'sequenz', 'bestellten', 'ordnung', 'reihenfolge', 'auftrag', 'ablauf', 'sequenzen', 'bestellte', 'bestellt', 'folge', 'bestellung']"
지형도,['topographische']
신자,"['gläubig', 'gläubige', 'gläubigen', 'gläubiger']"
뽑기,"['ziehen', 'zieh']"
도달,"['reichweite', 'erreichten', 'erreichen', 'erreicht', 'erreiche', 'erreichte']"
컴퓨팅,"['kalkulation', 'computer', 'berechnung', 'informatik', 'datenverarbeitung', 'berechnungen']"
일부,"['einigen', 'manche', 'einige']"
피드백,['rückmeldung']
항목,"['eintritt', 'eingang', 'gegenstand', 'eintrag', 'eintragung', 'einträge', 'posten', 'artikel', 'einreise', 'punkt', 'gegenstände', 'positionen']"
웨스트,"['westliche', 'westen']"
침실,"['schlafzimmer', 'zimmer']"
시리즈,"['baureihe', 'serie', 'reihen', 'zeitreihen', 'reihe']"
창의력,"['kreativität', 'kreativ']"
노스,"['nordsee', 'nordosten', 'norden', 'nord']"
암살자,"['attentäter', 'mörderin', 'mörder', 'killer']"
맨션,"['herrenhaus', 'villa', 'anwesen']"
영사관,"['botschaften', 'konsulat', 'konsulate', 'botschaft']"
승무원,"['besatzungsmitglieder', 'gastgeberin', 'mannschaft', 'besatzung']"
상속인,"['erbin', 'erbe', 'erben']"
광고주,"['werbekunden', 'werbetreibenden', 'werbetreibende']"
고문,"['qualen', 'quälen', 'foltern', 'folterungen', 'folter']"
캐리어,"['luftfahrtunternehmen', 'träger', 'transportunternehmen', 'netzbetreiber', 'fluggesellschaft']"
등록,"['eintragen', 'eingetragene', 'registriert', 'zulassungen', 'registrierungen', 'eingetragen', 'einschreiben', 'anmelden', 'anmeldung', 'eintragung', 'einschreibung', 'registrieren', 'registrierung', 'registrierte', 'anmeldungen']"
군사,"['militärisch', 'militärische', 'militär', 'militärischen']"
손실,"['verluste', 'verlusten', 'verlust']"
임금,"['lohn', 'löhne', 'gehälter', 'gehalt']"
스웨터,['pullover']
가입자,"['abonnenten', 'teilnehmers', 'teilnehmer']"
코멘트,"['kommentare', 'anmerkung', 'kommentieren', 'kommentar', 'bemerkung']"
녹색,"['grüne', 'grün', 'grünen']"
호흡,"['atemzug', 'atmung', 'atemluft', 'einatmen', 'atem', 'atemwege', 'durchatmen', 'atmen']"
불신,['unglauben']
수량,"['stückzahl', 'quantität', 'anzahl', 'menge', 'mengen']"
성운,['nebel']
팰콘,"['falke', 'falken']"
동결,"['stehenbleiben', 'einfrieren', 'frieren']"
마이크,"['mikro', 'mikrofone', 'mikrofon', 'mikrophon']"
만족도,"['befriedigung', 'genugtuung', 'kundenzufriedenheit', 'zufriedenheit', 'zufrieden']"
사구,['dünen']
랠리,"['kundgebung', 'rallye']"
천재,"['genie', 'genial', 'genies', 'geniale']"
음악,['musik']
센트,['cent']
근사,"['annäherung', 'angleichung']"
마스터스,"['meistern', 'meister', 'master']"
보좌,"['adjutant', 'hilfskräfte']"
