word,typo_tokens,splitted_typo_tokens,typo_type,same_token_num,same_token_num2,freq,freq_quantile,word_len,typo_word_len
weird,werd,"['wer', 'd']",deletion,False,False,7,0,5,4
arte,are,"['ar', 'e']",deletion,True,True,7,0,4,3
immediate,imbediate,"['i', 'm', 'b', 'ed', 'iate']",substitution,False,False,10,0,9,9
align,aglign,"['agli', 'gn']",insertion,True,True,9,0,5,6
zum,zwm,"['zw', 'm']",substitution,False,False,5,0,3,3
lid,lwd,"['l', 'wd']",substitution,True,True,4,0,3,3
felt,felj,"['fe', 'lj']",substitution,True,True,9,0,4,4
roi,ri,"['r', 'i']",deletion,True,True,9,0,3,2
hombre,hombrf,"['h', 'omb', 'rf']",substitution,False,False,9,0,6,6
enables,efnables,"['ef', 'n', 'a', 'b', 'les']",insertion,False,True,7,0,7,8
cheval,chevl,"['che', 'vl']",deletion,False,True,4,0,6,5
toggle,toggbe,"['to', 'gg', 'be']",substitution,True,True,7,0,6,6
temp,toemp,"['to', 'emp']",insertion,True,True,7,0,4,5
cond,coond,"['co', 'ond']",insertion,True,True,5,0,4,5
jog,jg,"['j', 'g']",deletion,False,False,4,0,3,2
loud,lmoud,"['lm', 'oud']",insertion,True,True,5,0,4,5
gel,geel,"['ge', 'el']",insertion,True,True,7,0,3,4
paid,pasid,"['pas', 'id']",insertion,True,True,10,0,4,5
tutti,tuti,"['t', 'uti']",deletion,False,False,5,0,5,4
deutsche,deutscxhe,"['de', 'uts', 'c', 'x', 'he']",insertion,False,False,6,0,8,9
connect,conhnect,"['co', 'n', 'hn', 'e', 'ct']",insertion,True,True,10,0,7,8
lower,lkower,"['l', 'kow', 'er']",insertion,True,True,6,0,5,6
solemn,solemsn,"['so', 'lem', 's', 'n']",insertion,False,True,5,0,6,7
deutschen,deutscen,"['d', 'eu', 'ts', 'ce', 'n']",deletion,False,True,11,0,9,8
militaire,milftaire,"['mil', 'f', 'ta', 'ir', 'e']",substitution,False,False,7,0,9,9
nel,nebl,"['ne', 'bl']",insertion,True,True,6,0,3,4
selenium,seenium,"['s', 'een', 'iu', 'm']",deletion,False,False,4,0,8,7
useless,uselness,"['u', 'sel', 'ness']",insertion,False,True,4,0,7,8
nach,nacs,"['na', 'cs']",substitution,False,False,8,0,4,4
bringing,bringinng,"['b', 'rin', 'g', 'in', 'ng']",insertion,True,True,5,0,8,9
muse,mese,"['mes', 'e']",substitution,False,False,10,0,4,4
tres,trefs,"['t', 'refs']",insertion,True,True,6,0,4,5
followed,folloied,"['fol', 'lo', 'ied']",substitution,False,False,6,0,8,8
porte,porfte,"['por', 'fte']",insertion,True,True,6,0,5,6
vie,ve,"['v', 'e']",deletion,True,True,5,0,3,2
hen,hep,"['he', 'p']",substitution,True,True,6,0,3,3
fourth,fourh,"['four', 'h']",deletion,False,False,8,0,6,5
aller,allej,"['alle', 'j']",substitution,True,True,5,0,5,5
reaching,reachitg,"['rea', 'chi', 't', 'g']",substitution,False,False,5,0,8,8
opacity,opatcity,"['o', 'pat', 'c', 'ity']",insertion,True,True,5,0,7,8
convenient,convenienit,"['conv', 'en', 'ien', 'it']",insertion,False,True,10,0,10,11
contrary,contreary,"['c', 'ont', 're', 'a', 'ry']",insertion,False,True,5,0,8,9
developing,dgeveloping,"['d', 'ge', 'v', 'elo', 'ping']",insertion,False,False,11,0,10,11
generating,gsenerating,"['gs', 'e', 'ner', 'at', 'ing']",insertion,False,False,6,0,10,11
whatever,whaever,"['w', 'ha', 'ev', 'er']",deletion,True,True,4,0,8,7
fresh,fresc,"['fre', 'sc']",substitution,True,True,4,0,5,5
workflow,workjlow,"['wor', 'k', 'jl', 'o', 'w']",substitution,True,True,8,0,8,8
grande,gramde,"['gram', 'de']",substitution,False,False,7,0,6,6
confident,conmident,"['con', 'mi', 'd', 'en', 't']",substitution,False,False,5,0,9,9
namespace,namespaxe,"['name', 'sp', 'a', 'x', 'e']",substitution,True,True,4,0,9,9
mental,mntal,"['mn', 'tal']",deletion,True,True,8,0,6,5
negro,nggro,"['ng', 'gro']",substitution,False,True,6,0,5,5
femmes,fzemmes,"['f', 'zem', 'mes']",insertion,False,False,4,0,6,7
thermal,thecmal,"['th', 'e', 'cm', 'al']",substitution,True,True,7,0,7,7
ask,azk,"['az', 'k']",substitution,True,True,4,0,3,3
manifest,mavnifest,"['m', 'a', 'vn', 'if', 'est']",insertion,True,True,5,0,8,9
truly,trlly,"['trl', 'ly']",substitution,False,True,9,0,5,5
rough,roug,"['rou', 'g']",deletion,True,True,8,0,5,4
tiempo,tiebmpo,"['ti', 'eb', 'm', 'po']",insertion,False,False,5,0,6,7
thorough,thorougy,"['th', 'or', 'oug', 'y']",substitution,False,True,5,0,8,8
wand,wan,"['w', 'an']",deletion,True,True,10,0,4,3
redirect,rcdirect,"['rc', 'direct']",substitution,True,True,6,0,8,8
tra,trxa,"['tr', 'xa']",insertion,True,True,4,0,3,4
provide,proavide,"['pr', 'o', 'avi', 'de']",insertion,True,True,6,0,7,8
const,conbst,"['con', 'bst']",insertion,True,True,11,0,5,6
scatter,scattner,"['s', 'cat', 't', 'n', 'er']",insertion,True,True,9,0,7,8
plat,plt,"['pl', 't']",deletion,True,True,10,0,4,3
irregular,irreglar,"['ir', 'r', 'e', 'gl', 'ar']",deletion,False,False,6,0,9,8
improv,imprv,"['imp', 'rv']",deletion,False,False,5,0,6,5
determine,determiie,"['d', 'e', 'term', 'ii', 'e']",substitution,False,False,5,0,9,9
six,si,"['s', 'i']",deletion,True,True,12,0,3,2
about,apout,"['ap', 'out']",substitution,True,True,5,0,5,5
old,ond,"['o', 'nd']",substitution,True,True,10,0,3,3
alone,alne,"['al', 'ne']",deletion,True,True,9,0,5,4
mise,mse,"['m', 'se']",deletion,True,True,4,0,4,3
vas,vs,"['v', 's']",deletion,True,True,10,0,3,2
url,ulrl,"['ul', 'rl']",insertion,True,True,5,0,3,4
tar,tabr,"['tab', 'r']",insertion,True,True,10,0,3,4
splitting,spitting,"['s', 'p', 'itt', 'i', 'ng']",deletion,False,False,9,0,9,8
hex,hx,"['h', 'x']",deletion,True,True,6,0,3,2
