German,English
zusammenschluß,"['merger', 'concentration']"
aktie,['shares']
zeitung,"['newspaper', 'newspapers', 'paper']"
experimentell,"['experimentally', 'experimental']"
süd,"['southern', 'south']"
unentschieden,"['tie', 'draw', 'undecided']"
kan,['kong']
fast,"['almost', 'nearly']"
art,"['type', 'kind']"
dulden,"['condone', 'tolerate']"
zerlegung,"['disassembly', 'dissection', 'decomposition', 'dismantling']"
einzig,['only']
syndrom,['syndrome']
galerie,['gallery']
lehrer,"['tutor', 'instructor', 'teachers', 'teacher']"
minute,['min']
leitung,"['director', 'leadership']"
zerfallen,"['disintegrate', 'decay', 'disintegrated', 'crumble']"
mythen,"['myths', 'myth']"
drucken,"['print', 'prints', 'printing']"
wichtig,['important']
japanisch,['japanese']
arabisch,"['arab', 'arabic', 'arabian']"
insel,"['island', 'isle']"
nein,"['nope', 'no']"
zusammenbruch,['collapse']
alpin,['alpine']
möglich,"['possible', 'possibility']"
kom,['com']
gemeint,['meant']
sitzen,"['sit', 'seated', 'sitting']"
heimat,"['motherland', 'home', 'homelands', 'homeland']"
willen,['wills']
gut,"['fine', 'good', 'well']"
verloren,['lost']
militärisch,"['military', 'militarily']"
gern,"['fond', 'gladly']"
rezension,['review']
mittler,"['mediator', 'intermediary', 'intermediaries']"
welt,"['world', 'globe']"
eiern,"['eggs', 'egg']"
unbekannt,['unknown']
dance,['dancing']
klassen,"['classes', 'class', 'categories']"
diesen,['these']
berg,"['mountain', 'mount', 'hill']"
medizinisch,"['medically', 'medical', 'medico', 'medicinal']"
einzeln,"['individually', 'separately']"
verkürzung,"['shorten', 'shortening']"
beliebig,"['arbitrarily', 'random', 'arbitrary']"
fugen,['joints']
einzahlungen,"['depositing', 'deposits']"
abnahme,"['decline', 'acceptance', 'decrease', 'decreasing']"
meer,"['seaside', 'sea', 'ocean']"
wetten,"['bets', 'betting', 'wager', 'bet']"
pistole,"['pistol', 'handgun', 'gun', 'revolver']"
netzen,['nets']
eindringlich,"['insistent', 'emphatic']"
bezirk,"['county', 'borough', 'arrondissement', 'district']"
hobby,['hobbies']
anwesend,['present']
flecken,"['stains', 'patches', 'spots']"
vertrag,"['covenant', 'agreement', 'contract', 'treaty']"
wochen,"['week', 'weeks', 'weekly']"
sehen,['see']
charge,['batch']
entwickler,"['developers', 'developer']"
marsch,"['marsh', 'march', 'marching']"
weit,['far']
gestalten,['shaping']
wirtschafts,"['economic', 'economie']"
zwischen,"['intermediate', 'between']"
echt,"['genuine', 'legit', 'really']"
slip,['panties']
fighter,['fighters']
substrat,['substrate']
gemeinschaft,"['fellowship', 'community']"
unrein,"['impure', 'unclean']"
basis,['base']
tief,"['deeply', 'deep', 'profound']"
innovation,"['innovating', 'innovate']"
praktiker,"['practitioner', 'practitioners']"
dreien,"['threes', 'three']"
grund,"['reason', 'cause']"
repariert,"['fixed', 'repaired']"
christlich,['christian']
küren,['freestyles']
strom,['electricity']
regie,"['directed', 'directing']"
felder,['fields']
comer,['como']
herrschen,"['reigns', 'reign', 'ruling']"
sequenzer,['sequencer']
östlich,['east']
vorfahren,"['ancestors', 'ancestral', 'ancestor']"
lebend,"['live', 'alive']"
vorbereitung,"['preparation', 'prepare', 'preparing', 'preparations', 'prep']"
prima,['swell']
unterfamilien,['subfamilies']
tagen,['days']
unbedeutend,"['unimportant', 'negligible', 'insignificant']"
dennoch,"['nevertheless', 'nonetheless', 'yet', 'however']"
oberseite,"['top', 'topside']"
bildungs,['educational']
legierung,"['alloy', 'alloys']"
häufig,"['frequently', 'common', 'frequent', 'often']"
hart,"['hard', 'rough', 'tough', 'harsh']"
kaputt,"['broken', 'busted', 'broke']"
ereignis,"['occurrence', 'incident', 'event']"
moderatorin,"['moderator', 'presenter']"
behörden,"['authorities', 'administrations']"
beschrieben,"['describes', 'described']"
fremd,"['alien', 'strangers', 'stranger']"
branchen,"['industries', 'industry', 'branches', 'sectors']"
gruppierung,"['faction', 'group', 'grouping']"
unbeweglich,"['immobile', 'immovable']"
legen,"['lay', 'put']"
klassisch,"['vintage', 'classical', 'classic']"
übersetzung,"['translation', 'translate', 'translations']"
nachweisbar,"['demonstrable', 'detectable']"
umfangreich,['voluminous']
bein,['leg']
vertrieben,"['displaced', 'distributed', 'expelled']"
statt,"['instead', 'stead']"
kürzung,"['cutbacks', 'reduction']"
konzept,"['approach', 'concept', 'conception', 'concepts']"
