word,typo_tokens,splitted_typo_tokens,typo_type,same_token_num,same_token_num2,freq,freq_quantile,word_len,typo_word_len
häufig,häufip,"['hä', 'uf', 'ip']",substitution,False,True,4,0,6,6
Lemma,Legmma,"['Leg', 'mm', 'a']",insertion,True,True,8,0,5,6
Wagner,Wagjner,"['W', 'ag', 'j', 'ner']",insertion,False,False,7,0,6,7
der,dev,"['de', 'v']",substitution,True,True,4,0,3,3
Look,Lok,"['L', 'ok']",deletion,True,True,8,0,4,3
Leg,Lg,"['L', 'g']",deletion,True,True,7,0,3,2
Convention,Conveztion,"['Con', 'vez', 'tion']",substitution,True,True,4,0,10,10
her,heb,"['h', 'eb']",substitution,True,True,7,0,3,3
motor,motlor,"['mo', 't', 'lor']",insertion,True,True,4,0,5,6
Point,Poiat,"['Po', 'iat']",substitution,True,True,4,0,5,5
String,Sting,"['S', 'ting']",deletion,True,True,8,0,6,5
Die,Di,"['D', 'i']",deletion,True,True,4,0,3,2
color,coälor,"['co', 'ä', 'lor']",insertion,True,True,4,0,5,6
Rum,Rm,"['R', 'm']",deletion,False,False,6,0,3,2
Gate,Gatu,"['G', 'atu']",substitution,True,True,6,0,4,4
Sund,Sun,"['S', 'un']",deletion,False,False,4,0,4,3
Initial,Initinal,"['Init', 'inal']",insertion,True,True,4,0,7,8
zwischen,zwisphen,"['zw', 'i', 'sp', 'h', 'en']",substitution,False,False,7,0,8,8
gleich,gleic,"['gle', 'ic']",deletion,False,False,7,0,6,5
End,Enmd,"['En', 'md']",insertion,True,True,8,0,3,4
Sure,Smure,"['Sm', 'ure']",insertion,True,True,4,0,4,5
Von,Voun,"['V', 'oun']",insertion,False,False,6,0,3,4
Effect,Effert,"['E', 'f', 'fert']",substitution,True,True,5,0,6,6
positions,poitions,"['po', 'i', 't', 'ions']",deletion,True,True,4,0,9,8
Span,Sban,"['S', 'ban']",substitution,True,True,6,0,4,4
Character,Chäaracter,"['C', 'hä', 'ar', 'act', 'er']",insertion,True,True,4,0,9,10
Tak,Tac,"['T', 'ac']",substitution,False,False,8,0,3,3
ins,ihs,"['i', 'hs']",substitution,True,True,7,0,3,3
mol,mmol,"['mm', 'ol']",insertion,True,True,4,0,3,4
west,wxst,"['wx', 'st']",substitution,True,True,8,0,4,4
Make,Mae,"['M', 'ae']",deletion,True,True,6,0,4,3
Officer,Officelr,"['Office', 'lr']",insertion,False,False,6,0,7,8
Hot,Ho,"['H', 'o']",deletion,True,True,6,0,3,2
online,onqline,"['on', 'ql', 'in', 'e']",insertion,True,True,4,0,6,7
Audiodateien,Audiodateieo,"['A', 'udio', 'date', 'ie', 'o']",substitution,False,False,5,0,12,12
situ,stu,"['st', 'u']",deletion,False,False,4,0,4,3
Metro,Mearo,"['Me', 'aro']",substitution,True,True,4,0,5,5
YouTube,YouTbbe,"['You', 'T', 'b', 'be']",substitution,True,True,6,0,7,7
diesen,dieen,"['di', 'een']",deletion,False,True,5,0,6,5
gegen,gzegen,"['g', 'ze', 'gen']",insertion,False,False,5,0,5,6
Matt,Mtt,"['M', 'tt']",deletion,True,True,5,0,4,3
Pro,Prk,"['Pr', 'k']",substitution,True,True,4,0,3,3
After,Afer,"['A', 'fer']",deletion,True,True,4,0,5,4
Schön,Schö,"['Sch', 'ö']",deletion,False,True,4,0,5,4
Item,Ittem,"['It', 'tem']",insertion,True,True,5,0,4,5
Department,Depurtment,"['Dep', 'urt', 'ment']",substitution,True,True,5,0,10,10
rot,rod,"['ro', 'd']",substitution,True,True,6,0,3,3
queen,quee,"['qu', 'ee']",deletion,True,True,4,0,5,4
Output,Outdut,"['Out', 'd', 'ut']",substitution,True,True,6,0,6,6
National,Natonal,"['N', 'at', 'onal']",deletion,True,True,6,0,8,7
Memory,Memord,"['Mem', 'o', 'rd']",substitution,True,True,4,0,6,6
Act,Ac,"['A', 'c']",deletion,True,True,6,0,3,2
Rosa,Rosc,"['R', 'osc']",substitution,False,False,4,0,4,4
Award,Awad,"['A', 'wad']",deletion,True,True,7,0,5,4
Array,Abray,"['Ab', 'ray']",substitution,True,True,8,0,5,5
analog,anüalog,"['an', 'ü', 'al', 'og']",insertion,False,False,8,0,6,7
featuring,featurin,"['fe', 'a', 'tu', 'ri', 'n']",deletion,False,False,7,0,9,8
for,fob,"['f', 'ob']",substitution,True,True,4,0,3,3
down,dow,"['do', 'w']",deletion,True,True,4,0,4,3
Login,Lgin,"['L', 'gin']",deletion,True,True,4,0,5,4
Erd,Erc,"['Er', 'c']",substitution,False,False,8,0,3,3
Channel,Channe,"['Ch', 'anne']",deletion,True,True,6,0,7,6
Seine,Seione,"['Se', 'i', 'one']",insertion,False,False,4,0,5,6
Derby,Deröby,"['Der', 'ö', 'by']",insertion,False,True,8,0,5,6
Pin,Phn,"['P', 'hn']",substitution,True,True,4,0,3,3
Highway,Highay,"['H', 'igh', 'ay']",deletion,False,False,8,0,7,6
Down,Dogn,"['Do', 'gn']",substitution,True,True,4,0,4,4
professor,paofessor,"['p', 'a', 'of', 'essor']",substitution,False,False,4,0,9,9
