word,typo_tokens,splitted_typo_tokens,typo_type,same_token_num,same_token_num2,freq,freq_quantile,word_len,typo_word_len
utc,ut,"['u', 't']",deletion,False,True,4,0,3,2
remove,removt,"['remo', 'v', 't']",substitution,True,True,6,0,6,6
naval,nayval,"['nay', 'val']",insertion,False,False,10,0,5,6
before,beforhe,"['b', 'e', 'for', 'he']",insertion,True,True,4,0,6,7
switcher,swetcher,"['sw', 'e', 't', 'cher']",substitution,False,False,7,0,8,8
multiplier,multipxier,"['multip', 'x', 'ier']",substitution,False,False,6,0,10,10
ret,re,"['r', 'e']",deletion,True,True,5,0,3,2
octopus,ocopus,"['o', 'cop', 'us']",deletion,False,False,4,0,7,6
weekly,wekly,"['wek', 'ly']",deletion,False,True,8,0,6,5
ellipsis,ellipss,"['el', 'lips', 's']",deletion,False,True,4,0,8,7
slime,slisme,"['sli', 'sm', 'e']",insertion,False,False,4,0,5,6
sett,sept,"['se', 'pt']",substitution,True,True,4,0,4,4
flask,flnsk,"['fl', 'nsk']",substitution,False,False,10,0,5,5
irradiation,irradiazion,"['irr', 'ad', 'i', 'azion']",substitution,False,False,10,0,11,11
indexing,idexing,"['ide', 'xi', 'ng']",deletion,False,False,5,0,8,7
mike,mikwe,"['mik', 'we']",insertion,False,False,4,0,4,5
liv,lfv,"['l', 'fv']",substitution,True,True,5,0,3,3
aaa,aaza,"['a', 'aza']",insertion,False,True,4,0,3,4
minus,mjinus,"['mj', 'i', 'nus']",insertion,True,True,10,0,5,6
yak,ya,"['y', 'a']",deletion,False,False,4,0,3,2
hum,hue,"['hu', 'e']",substitution,True,True,9,0,3,3
responds,rfsponds,"['r', 'fs', 'pon', 'ds']",substitution,False,False,4,0,8,8
provide,provida,"['p', 'rov', 'i', 'da']",substitution,True,True,6,0,7,7
entre,ente,"['ent', 'e']",deletion,True,True,6,0,5,4
sanity,sanoity,"['san', 'oi', 'ty']",insertion,False,False,9,0,6,7
lad,lyad,"['ly', 'ad']",insertion,True,True,9,0,3,4
sometimes,sqmetimes,"['sq', 'met', 'imes']",substitution,True,True,6,0,9,9
geek,gee,"['g', 'ee']",deletion,False,False,5,0,4,3
stab,stah,"['st', 'ah']",substitution,False,True,8,0,4,4
sham,shm,"['s', 'hm']",deletion,False,False,6,0,4,3
sting,stisng,"['s', 'tis', 'ng']",insertion,False,False,10,0,5,6
cope,ciope,"['cio', 'pe']",insertion,False,True,4,0,4,5
pasta,patta,"['p', 'atta']",substitution,False,False,9,0,5,5
incomplete,inclomplete,"['i', 'nc', 'lom', 'plete']",insertion,False,False,4,0,10,11
mise,mirse,"['m', 'irse']",insertion,True,True,4,0,4,5
spam,spm,"['s', 'pm']",deletion,False,True,4,0,4,3
receive,receve,"['re', 'ce', 've']",deletion,True,True,4,0,7,6
separate,separbte,"['s', 'ep', 'arb', 'te']",substitution,False,False,9,0,8,8
modern,modexrn,"['mod', 'e', 'xr', 'n']",insertion,True,True,6,0,6,7
write,writz,"['wr', 'itz']",substitution,True,True,7,0,5,5
metallic,mtallic,"['mt', 'alli', 'c']",deletion,False,False,4,0,8,7
sending,senving,"['s', 'env', 'in', 'g']",substitution,True,True,7,0,7,7
mai,mdi,"['m', 'di']",substitution,True,True,5,0,3,3
max,mai,"['m', 'ai']",substitution,True,True,8,0,3,3
indigo,indiogo,"['i', 'ndi', 'ogo']",insertion,False,False,6,0,6,7
brew,brei,"['bre', 'i']",substitution,False,True,8,0,4,4
mandatory,mandtory,"['ma', 'n', 'd', 't', 'ory']",deletion,False,True,6,0,9,8
alkyl,alkyll,"['al', 'ky', 'll']",insertion,False,False,6,0,5,6
parte,pyrte,"['py', 'rte']",substitution,False,False,7,0,5,5
accumulator,accumulxtor,"['ac', 'cum', 'ul', 'x', 'tor']",substitution,False,True,4,0,11,11
confident,confldent,"['c', 'on', 'f', 'lden', 't']",substitution,False,False,5,0,9,9
ute,ut,"['u', 't']",deletion,False,True,4,0,3,2
met,mt,"['m', 't']",deletion,True,True,9,0,3,2
tick,tfck,"['tf', 'ck']",substitution,True,True,7,0,4,4
numerator,numeraltor,"['nu', 'me', 'ra', 'lt', 'or']",insertion,False,False,5,0,9,10
ante,anve,"['an', 've']",substitution,True,True,6,0,4,4
karma,karmua,"['kar', 'm', 'ua']",insertion,False,False,5,0,5,6
subplot,subpkot,"['su', 'bp', 'kot']",substitution,False,True,10,0,7,7
bella,bela,"['be', 'la']",deletion,False,False,7,0,5,4
commits,commitc,"['comm', 'i', 'tc']",substitution,False,False,5,0,7,7
infinite,infinte,"['inf', 'inte']",deletion,False,False,4,0,8,7
torrent,torrevnt,"['to', 'r', 're', 'v', 'nt']",insertion,False,True,7,0,7,8
raf,rff,"['r', 'ff']",substitution,False,True,4,0,3,3
primitive,primiive,"['pr', 'imi', 'i', 've']",deletion,True,True,7,0,9,8
snippet,snippev,"['sn', 'i', 'ppe', 'v']",substitution,True,True,10,0,7,7
coming,comong,"['co', 'm', 'ong']",substitution,True,True,8,0,6,6
wiring,wirinj,"['w', 'iri', 'nj']",substitution,False,False,4,0,6,6
prompt,prompa,"['prom', 'pa']",substitution,True,True,4,0,6,6
enumeration,enuferation,"['en', 'ufe', 'rati', 'on']",substitution,False,False,4,0,11,11
adhesive,adheszve,"['a', 'dh', 'e', 'sz', 've']",substitution,False,False,8,0,8,8
