word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
Steppenklima,"['Ste', 'pp', 'enk', 'lim', 'a']",5,"['Ste', 'ppen', 'k', 'lima']",4,"['▁Ste', 'pp', 'enk', 'lim', 'a']",5,4.666666666666667,False,5,4.5,False,5,False,4,12,0
Kehlsack,"['K', 'eh', 'ls', 'ack']",4,"['Ke', 'h', 'ls', 'ack']",4,"['▁Ke', 'h', 'ls', 'ack']",4,4.0,True,4,4.0,True,4,False,4,8,0
Vereinschronik,"['V', 'ere', 'ins', 'chron', 'ik']",5,"['Vere', 'ins', 'chron', 'ik']",4,"['▁Verein', 'sch', 'ron', 'ik']",4,4.333333333333333,False,4,4.5,False,5,False,4,14,0
Gefriertruhe,"['G', 'ef', 'rier', 'tru', 'he']",5,"['G', 'ef', 'riert', 'ru', 'he']",5,"['▁Gef', 'rier', 'tr', 'u', 'he']",5,5.0,True,5,5.0,True,5,False,4,12,0
Zeughaus,"['Ze', 'ug', 'haus']",3,"['Ze', 'ugh', 'aus']",3,"['▁Ze', 'ugh', 'aus']",3,3.0,True,3,3.0,True,3,False,5,8,0
Rechtsbruch,"['Re', 'chts', 'br', 'uch']",4,"['Re', 'chts', 'bruch']",3,"['▁Rechts', 'bru', 'ch']",3,3.333333333333333,False,3,3.5,False,4,False,5,11,0
Fliegerdivision,"['Fl', 'ie', 'ger', 'division']",4,"['Fl', 'ieger', 'division']",3,"['▁Fl', 'ie', 'ger', 'div', 'ision']",5,4.0,False,4,3.5,False,4,False,4,15,0
Trainingszeit,"['Train', 'ings', 'zeit']",3,"['Train', 'ings', 'zeit']",3,"['▁Train', 'ings', 'zeit']",3,3.0,True,3,3.0,True,3,False,4,13,0
Karteneditor,"['K', 'art', 'ened', 'itor']",4,"['Kart', 'ened', 'itor']",3,"['▁K', 'art', 'ened', 'itor']",4,3.6666666666666665,False,4,3.5,False,4,False,4,12,0
Studentenmeister,"['Student', 'en', 'me', 'ister']",4,"['Student', 'en', 'meister']",3,"['▁Student', 'en', 'meister']",3,3.333333333333333,False,3,3.5,False,4,False,4,16,0
Grafikdesignerin,"['G', 'raf', 'ik', 'design', 'erin']",5,"['Graf', 'ik', 'design', 'erin']",4,"['▁Graf', 'ik', 'design', 'er', 'in']",5,4.666666666666667,False,5,4.5,False,5,False,4,16,0
Atemantrieb,"['A', 'tem', 'an', 'trie', 'b']",5,"['A', 'tem', 'ant', 'rieb']",4,"['▁A', 'tem', 'ant', 'rieb']",4,4.333333333333333,False,4,4.5,False,5,False,4,11,0
