word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
론디니움,"['ë¡ł', 'ëĶĶ', 'ëĭĪ', 'ìĽĢ']",4,"['론', '디', '니', '움']",4,"['▁', '<0xEB>', '<0xA1>', '<0xA0>', '<0xEB>', '<0x94>', '<0x94>', '니', '<0xEC>', '<0x9B>', '<0x80>']",11,6.333333333333333,False,6,4.0,True,4,False,4,4,0
신통,"['ìĭ', 'łí', 'Ĩµ']",3,"['신', '통']",2,"['▁', '신', '<0xED>', '<0x86>', '<0xB5>']",5,3.333333333333333,False,3,2.5,False,3,False,6,2,0
변란,"['ë³Ģ', 'ëŀĢ']",2,"['변', '란']",2,"['▁', '<0xEB>', '<0xB3>', '<0x80>', '<0xEB>', '<0x9E>', '<0x80>']",7,3.6666666666666665,False,4,2.0,True,2,False,6,2,0
칙허,"['ì¹Ļ', 'íĹĪ']",2,"['칙', '허']",2,"['▁', '<0xEC>', '<0xB9>', '<0x99>', '<0xED>', '<0x97>', '<0x88>']",7,3.6666666666666665,False,4,2.0,True,2,False,5,2,0
유부녀,"['ìľł', 'ë¶Ģ', 'ëħĢ']",3,"['유', '부', '녀']",3,"['▁', '유', '부', '<0xEB>', '<0x85>', '<0x80>']",6,4.0,False,4,3.0,True,3,False,6,3,0
비빔면,"['ë¹Ħ', 'ë¹Ķ', 'ë©´']",3,"['비', '빔', '면']",3,"['▁', '비', '<0xEB>', '<0xB9>', '<0x94>', '면']",6,4.0,False,4,3.0,True,3,False,5,3,0
기증자,"['ê¸°', 'ì¦Ŀ', 'ìŀĲ']",3,"['기', '증', '자']",3,"['▁', '기', '<0xEC>', '<0xA6>', '<0x9D>', '자']",6,4.0,False,4,3.0,True,3,False,4,3,0
코시모,"['ì½Ķ', 'ìĭľ', 'ëª¨']",3,"['코', '시', '모']",3,"['▁', '<0xEC>', '<0xBD>', '<0x94>', '시', '모']",6,4.0,False,4,3.0,True,3,False,4,3,0
신비주의자,"['ìĭł', 'ë¹Ħ', 'ì£¼ìĿĺ', 'ìŀĲ']",4,"['신', '비', '주의', '자']",4,"['▁', '신', '비', '주', '의', '자']",6,4.666666666666667,False,5,4.0,True,4,False,5,5,0
바시,"['ë°Ķ', 'ìĭľ']",2,"['바', '시']",2,"['▁', '바', '시']",3,2.333333333333333,False,2,2.0,True,2,False,4,2,0
