word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
commotes,"['comm', 'otes']",2,"['comm', 'otes']",2,"['▁comm', 'otes']",2,2.0,True,2,2.0,True,2,False,5,8,0
bossa,"['boss', 'a']",2,"['b', 'ossa']",2,"['▁b', 'ossa']",2,2.0,True,2,2.0,True,2,False,4,5,0
crannog,"['cr', 'ann', 'og']",3,"['cr', 'ann', 'og']",3,"['▁c', 'ran', 'nog']",3,3.0,True,3,3.0,True,3,False,4,7,0
musculature,"['mus', 'cul', 'ature']",3,"['mus', 'cul', 'ature']",3,"['▁mus', 'cul', 'ature']",3,3.0,True,3,3.0,True,3,False,5,11,0
expose,"['ex', 'pose']",2,['expose'],1,['▁expose'],1,1.3333333333333333,False,1,1.5,False,2,True,4,6,0
griffon,"['gr', 'iff', 'on']",3,"['gr', 'iff', 'on']",3,"['▁gr', 'iff', 'on']",3,3.0,True,3,3.0,True,3,False,5,7,0
capstan,"['cap', 'stan']",2,"['cap', 'stan']",2,"['▁cap', 'stan']",2,2.0,True,2,2.0,True,2,False,4,7,0
amore,"['am', 'ore']",2,['amore'],1,"['▁am', 'ore']",2,1.6666666666666667,False,2,1.5,False,2,True,4,5,0
surcharge,"['sur', 'charge']",2,"['s', 'urcharge']",2,"['▁sur', 'charge']",2,2.0,True,2,2.0,True,2,False,5,9,0
keying,"['key', 'ing']",2,"['key', 'ing']",2,"['▁key', 'ing']",2,2.0,True,2,2.0,True,2,False,4,6,0
mahogany,"['mah', 'ogany']",2,"['ma', 'hog', 'any']",3,"['▁ma', 'h', 'og', 'any']",4,3.0,False,3,2.5,False,3,False,5,8,0
radiata,"['radi', 'ata']",2,"['radi', 'ata']",2,"['▁radi', 'ata']",2,2.0,True,2,2.0,True,2,False,4,7,0
lithosphere,"['l', 'ith', 'osphere']",3,"['lith', 'osphere']",2,"['▁l', 'ith', 'os', 'phere']",4,3.0,False,3,2.5,False,3,False,4,11,0
dysphoria,"['d', 'ys', 'ph', 'oria']",4,"['dys', 'ph', 'oria']",3,"['▁d', 'ys', 'ph', 'oria']",4,3.6666666666666665,False,4,3.5,False,4,False,5,9,0
lyases,"['ly', 'ases']",2,"['ly', 'ases']",2,"['▁ly', 'ases']",2,2.0,True,2,2.0,True,2,False,4,6,0
corymb,"['c', 'ory', 'mb']",3,"['c', 'ory', 'mb']",3,"['▁c', 'ory', 'mb']",3,3.0,True,3,3.0,True,3,False,5,6,0
inductivist,"['ind', 'uct', 'ivist']",3,"['ind', 'uct', 'ivist']",3,"['▁induct', 'iv', 'ist']",3,3.0,True,3,3.0,True,3,False,5,11,0
decoherence,"['de', 'co', 'herence']",3,"['deco', 'herence']",2,"['▁de', 'co', 'her', 'ence']",4,3.0,False,3,2.5,False,3,False,4,11,0
intensifier,"['int', 'ens', 'ifier']",3,"['intens', 'ifier']",2,"['▁intens', 'ifier']",2,2.333333333333333,False,2,2.5,False,3,False,4,11,0
acharyas,"['ach', 'ary', 'as']",3,"['ach', 'ary', 'as']",3,"['▁ach', 'ary', 'as']",3,3.0,True,3,3.0,True,3,False,4,8,0
hearty,"['he', 'arty']",2,"['heart', 'y']",2,"['▁heart', 'y']",2,2.0,True,2,2.0,True,2,False,5,6,0
observing,"['obs', 'erving']",2,"['observ', 'ing']",2,"['▁obser', 'ving']",2,2.0,True,2,2.0,True,2,False,5,9,0
thorough,"['th', 'orough']",2,"['th', 'orough']",2,['▁thorough'],1,1.6666666666666667,False,2,2.0,True,2,True,5,8,0
diphosphate,"['d', 'iph', 'osphate']",3,"['d', 'iph', 'osphate']",3,"['▁di', 'ph', 'osph', 'ate']",4,3.333333333333333,False,3,3.0,True,3,False,5,11,0
infiltrator,"['in', 'filtr', 'ator']",3,"['in', 'filtr', 'ator']",3,"['▁in', 'fil', 'tr', 'ator']",4,3.333333333333333,False,3,3.0,True,3,False,5,11,0
tenuifolia,"['t', 'enu', 'if', 'olia']",4,"['ten', 'u', 'ifolia']",3,"['▁ten', 'u', 'ifolia']",3,3.333333333333333,False,3,3.5,False,4,False,4,10,0
mistook,"['mist', 'ook']",2,"['mist', 'ook']",2,"['▁mist', 'ook']",2,2.0,True,2,2.0,True,2,False,4,7,0
salvor,"['sal', 'vor']",2,"['sal', 'vor']",2,"['▁sal', 'vor']",2,2.0,True,2,2.0,True,2,False,4,6,0
grooming,"['g', 'room', 'ing']",3,"['groom', 'ing']",2,"['▁gro', 'oming']",2,2.333333333333333,False,2,2.5,False,3,False,4,8,0
sidemen,"['sid', 'emen']",2,"['sid', 'emen']",2,"['▁side', 'men']",2,2.0,True,2,2.0,True,2,False,4,7,0
peyote,"['pe', 'y', 'ote']",3,"['pey', 'ote']",2,"['▁p', 'ey', 'ote']",3,2.6666666666666665,False,3,2.5,False,3,False,4,6,0
capstone,"['cap', 'stone']",2,"['cap', 'stone']",2,"['▁cap', 'stone']",2,2.0,True,2,2.0,True,2,False,4,8,0
