English,Korean
paste,"['붙이기', '붙여넣기']"
bee,"['벌벌', '꿀벌']"
mounting,['장착']
vampire,"['뱀파이어', '흡혈귀']"
hype,['과장']
attorney,['변호사']
android,['안드로이드']
fast,"['빠르다', '빨라', '빠름']"
lung,['허파']
objective,"['목적', '목표']"
tomato,['토마토']
documentation,"['설명서', '문서']"
torres,['토레스']
vertical,"['수직', '세로로', '세로']"
biscuit,['비스킷']
indigestion,['소화불량']
overcoat,['외투']
sends,['보냅니다']
replacement,['교체']
gallop,['질주']
accusation,['고소']
clustering,"['클러스터링', '클러스터']"
velvet,['벨벳']
renewal,['갱신']
hat,['모자']
nightmare,['악몽']
cooperation,['협력']
deviation,['편차']
transplantation,['이식']
missile,"['유도탄', '미사일']"
vanishing,['소멸']
arrival,"['입국', '도착']"
foreground,['전경']
prohibit,['금지']
pump,['펌프']
cation,['양이온']
finish,"['완료', '마무리', '마침', '끝내기']"
mount,['마운트']
pulse,"['맥박', '펄스']"
observer,"['옵저버', '관찰자', '옵서버']"
christening,['세례']
coexistence,['공존']
alphabet,"['알파벳', '문자']"
fossil,['화석']
winner,"['승리자', '우승자', '승자']"
clan,['클랜']
meta,['메타']
masterpiece,['걸작']
inhalation,['흡입']
climate,"['기후학', '기후']"
lightning,"['라이트닝', '번개']"
respiration,['호흡']
booking,"['예매', '예약']"
magazine,"['잡지', '매거진']"
neurosurgeon,['신경외과']
slave,"['노예', '노예제']"
nice,['나이스']
schoolwork,['학업']
sponsorship,['스폰서']
embassy,['대사관']
shipping,"['배송', '발송']"
quark,['쿼크']
skyline,['스카이라인']
limit,"['한계', '제한', '극한']"
symptom,"['증상', '증세']"
starring,"['주연', '출연']"
thursday,['목요일']
scheduling,['스케줄링']
forfeit,['몰수']
peel,['껍질']
rate,"['평가', '비율']"
rufus,"['루퍼스', '루푸스']"
strength,['체력']
popup,['팝업']
mosque,['모스크']
portal,"['포탈', '포털']"
dictator,['독재자']
preaching,['설교']
genuine,['정품']
machinery,['기계']
grill,['그릴']
devotion,['헌신']
declare,['선포']
epsilon,['엡실론']
motorsport,['모터스포츠']
moody,['무디']
ellipsoid,['타원체']
licence,"['라이선스', '라이센스', '면허']"
compact,"['컴팩트', '콤팩트']"
ensemble,['앙상블']
albanian,"['알바니아', '알바니아인', '알바니아어']"
telemark,['텔레마르크']
rascal,['스컬']
yoon,"['윤아', '윤서']"
creepy,['소름']
effort,['노력']
road,"['도로', '로드']"
merchant,"['상인', '업체', '판매자']"
hitter,['타자']
secretariat,['사무국']
merge,"['병합', '합치기', '통합']"
smartphone,['스마트폰']
skirt,"['치마', '스커트']"
referendum,['국민투표']
nova,['노바']
empathy,['공감']
cockpit,"['조종실', '조종석']"
advice,"['충고', '조언']"
confident,"['자신감', '확신']"
liver,"['간간', '간디']"
faith,"['믿음', '신념', '신앙']"
mason,['메이슨']
participant,['참가자']
comma,['쉼표']
throttle,['스로틀']
oracle,['오라클']
glue,['접착제']
vitamin,['비타민']
chrome,['크롬']
pouch,['주머니']
procession,"['행진', '행렬']"
french,"['프랑스', '프랑스어', '프렌치', '프랑스인']"
guideline,['가이드라인']
repetitive,['반복적']
hint,['힌트']
forming,['형성']
buyer,['구매자']
passenger,"['여객', '승객']"
variant,['변종']
alligator,['악어']
renew,['갱신']
serenade,['세레나데']
tie,['넥타이']
gamers,['게이머']
fight,"['싸워라', '싸움', '싸우기', '싸워', '싸우다']"
forte,['포르테']
toolbar,['도구모음']
forcing,['강제법']
teenage,['십대']
extend,['연장']
someone,['누군가']
catapult,['투석기']
fungi,['곰팡이']
tri,['트라이']
thanksgiving,['추수감사절']
remodeling,['리모델링']
theodore,['시어도어']
session,['세션']
balcony,['발코니']
people,"['국민', '사람', '명인', '사람들']"
variation,"['변동', '변동이', '변이']"
maintenance,"['유지보수', '정비', '점검']"
controller,['컨트롤러']
opportunity,['기회']
precedence,['우선순위']
suspect,['용의자']
leisure,['레저']
ella,['엘라']
payphone,['공중전화']
vase,['꽃병']
testosterone,['테스토스테론']
brochure,['소책자']
mobile,['모바일']
tonic,['토닉']
sphinx,['스핑크스']
godfather,['대부']
appetizer,"['전채', '반주']"
instantiation,['인스턴스']
thrill,['스릴']
clubhouse,['클럽하우스']
wrath,"['분노', '분노의']"
dancehall,['댄스홀']
artistic,['예술적']
pregnancy,['임신']
miniskirt,['미니스커트']
bonfire,['모닥불']
toni,['토니']
york,['요크']
coworker,['동료']
feather,['깃털']
friendly,['친근한']
cartridge,['카트리지']
angle,"['각도', '앵글']"
fallen,['타락']
whistler,['휘슬러']
log,['로그']
tissue,['조직']
prototype,"['프로토타입', '프로토타입을']"
container,"['용기', '컨테이너']"
bullfinch,['멋쟁이']
nostril,['콧구멍']
someday,"['언젠가', '언젠간']"
shore,"['해안', '해변']"
cute,['귀여워']
luncheon,['오찬']
tudor,['튜더']
centaur,"['켄타우로스', '켄타우루스']"
orientation,"['오리엔테이션', '방향', '지향']"
snub,['다듬은']
headquarters,"['본부', '본사']"
standardisation,['표준화']
leasing,['임대']
offer,['쿠폰']
marching,['행진']
foundation,"['파운데이션', '재단']"
annotation,['주석']
hiragana,['히라가나']
mentor,['멘토']
cougar,['퓨마']
toothpaste,['치약']
jonathan,['조나단']
trevor,['트레버']
claude,['클로드']
buddhism,['불교']
hammond,"['하몬드', '해먼드']"
sponsoring,"['스폰서', '후원']"
cinnamon,"['계피', '시나몬']"
gadget,['가젯']
ticket,"['티켓', '항공권']"
maccabees,['마카베오기']
reset,"['리셋', '초기화']"
ruben,['루벤']
winger,['윙어']
concerto,['협주곡']
board,"['보드', '게시판', '이사회']"
age,"['연령', '나이에', '나이']"
tempest,['템페스트']
honeymoon,['신혼여행']
intake,['섭취']
antimony,['안티모니']
western,"['웨스턴', '서부', '서양']"
forbidden,['금지']
bunker,['벙커']
opponent,"['상대', '상대편', '상대성']"
waitress,['웨이트리스']
grape,['포도']
criticism,"['평론', '비판', '비평']"
delay,"['지연', '지연이']"
subscriber,['가입자']
bag,"['봉지', '가방']"
boiling,['끓는']
flashing,['번쩍']
consent,"['승낙', '동의']"
writer,['작가']
laceration,['찢어진']
dune,['사구']
sauce,['소스']
agree,['동의']
shia,"['샤이아', '시아파']"
sobriety,['금주']
reformer,['개혁']
reuse,['재사용']
photographer,"['사진사', '사진관', '포토그래퍼', '사진작가']"
felicity,['펠리시티']
employer,['직장']
steal,['훔쳐']
laziness,['게으름']
dirt,['먼지']
rainbow,"['레인보우', '무지개']"
examination,"['시험', '검사']"
ryan,['라이언']
draft,"['초안', '드래프트', '임시']"
whisper,['속삭임']
chat,['채팅']
guidance,['복음']
nickel,['니켈']
emblem,['엠블렘']
integer,"['정수형', '정수']"
comply,['준수']
enter,"['입력', '입력합니다', '입력하기']"
airplane,['비행기']
dyslexia,['난독증']
clock,"['시계', '클럭']"
imagination,"['상상력', '상상']"
ebook,['전자책']
override,['덮어쓰기']
parcel,"['소포', '구획']"
increment,['증가']
accessible,['접근']
humour,['유머']
spell,['철자']
viscosity,['점성']
chauffeur,['운전사']
archeology,['고고학']
boyd,['보이드']
algebraic,"['대수', '대수적']"
remix,['리믹스']
slug,"['슬러그', '달팽이', '민달팽이']"
composite,"['합성', '컴포지트']"
identify,"['식별', '식별하기']"
ambassador,['대사']
logging,['로깅']
riot,['폭동']
panty,['팬티']
technician,['기술자']
endorse,['지지하기']
radical,['급진주의']
barley,['보리']
habitat,['서식지']
mythology,['신화']
occurrence,['발생']
poodle,['푸들']
snout,['주둥이']
housekeeper,['가정부']
assertion,"['표명', '주장']"
hijack,['납치']
side,"['측면', '사이드']"
savoy,"['사보이아', '사보이']"
inserting,['삽입']
pork,['돼지고기']
execution,"['처형', '실행']"
word,"['워드', '단어']"
conquest,['정복']
different,"['달라', '다름', '다르다']"
freeware,['프리웨어']
context,"['맥락', '문맥']"
fact,"['팩트', '사실']"
opinion,['의견']
march,"['행진', '행진곡']"
macro,['매크로']
village,"['빌리지', '마을']"
supplementation,['보충제']
attention,"['관심', '주의', '시선']"
overlap,"['겹치기', '중복']"
armed,['무장']
chandler,['챈들러']
bona,['보나']
kyoto,['교토']
promise,['약속']
tramp,['방랑자']
save,"['저장하기', '저장']"
legality,['합법']
engineering,"['공학', '엔지니어링']"
select,"['선택하기', '선택']"
booty,['전리품']
gymnasium,"['김나지움', '체육관']"
case,"['대소문자', '케이스', '사례']"
closing,['닫기']
annexation,"['병합', '합병']"
hinduism,['힌두교']
temp,"['임시', '체온', '온도']"
pentagon,['펜타곤']
ray,['레이']
governess,['가정교사']
digest,['소화']
downward,['아래로']
drank,['마셨다']
southeastern,"['남동부', '남동']"
agility,['민첩성']
brag,['자랑']
childhood,"['어릴적', '어린시절']"
courtesy,['예의']
diesel,['디젤']
platonic,"['플라토닉', '플라톤주의']"
seamless,['매끄러운']
today,"['오늘도', '오늘']"
commercial,"['상용', '상업용', '상업']"
scotch,['스카치']
mitigation,['완화']
encirclement,['포위']
fleet,"['함대', '플리트']"
trident,['트라이던트']
barbecue,"['바비큐', '바베큐']"
bet,"['내기', '베팅']"
rear,['후방']
troll,['트롤']
circus,['서커스']
microscope,['현미경']
blanc,['블랑']
ringworm,['백선']
bandwidth,['대역폭']
passive,['수동적']
resignation,['사직']
device,"['기기', '단말기', '장치']"
purchasing,['구매']
dover,['도버']
lingerie,['란제리']
transition,['전이']
manchester,['맨체스터']
shaping,['조성']
modulation,['변조']
hypertension,['고혈압']
backup,['백업']
yttrium,['이트륨']
communicating,['소통']
comprehensive,['포괄적']
provence,['프로방스']
pale,['창백한']
bard,['음유시인']
goalie,['골키퍼']
gourmet,['미식']
wilson,['윌슨']
vicinity,['부근']
measuring,"['측정', '계측']"
shout,['소리쳐']
luxembourg,['룩셈부르크']
peaceful,"['평화로운', '평화롭고']"
delivery,"['게재', '배송', '배달']"
promote,"['홍보', '홍보하기']"
extraction,['추출']
dormitory,['기숙사']
split,"['스플리트', '스플릿', '분할', '나누기']"
moor,"['무어', '무어인']"
recovering,['복구']
earn,['적립']
asymmetry,['비대칭']
increase,['증가']
fake,"['허위', '가짜']"
yumiko,['유미코']
strange,"['이상한', '이상하다']"
department,['부서']
expand,"['확장', '확대', '확장하기', '펼치기']"
clam,['조개']
apartment,['아파트']
scroll,['스크롤']
preacher,"['설교', '설교자']"
fourth,"['넷째', '네번째']"
pharyngeal,['인두']
memorial,"['메모리얼', '기념비', '기념관']"
edmund,['에드먼드']
print,"['인쇄', '프린트']"
badge,"['위젯', '배지', '뱃지', '명함']"
achieves,['달성']
naples,['나폴리']
genius,['천재']
skate,"['스케이트', '스케이트보드']"
keyboard,['키보드']
namespace,['네임스페이스']
crawl,['크롤']
fee,"['요금', '수수료']"
rice,['라이스']
eon,['이언']
burger,"['햄버거', '버거']"
fetus,['태아']
forgetting,['망각']
recession,['침체']
leak,['누출']
violent,"['폭력적인', '폭력적']"
belarusian,"['벨라루스어', '벨라루스']"
hairstyle,['헤어스타일']
abduction,['납치']
world,"['월드', '세상', '세계']"
ketchup,['케첩']
kickoff,['킥오프']
silesia,['실레시아']
baht,['바트']
hallucination,['환각']
sentencing,['판결']
civilization,['문명']
oscillation,['진동']
inventory,"['인벤토리', '재고']"
hemophilia,['혈우병']
impala,['임팔라']
awake,['깨어']
essex,['에식스']
rose,"['장미', '로즈']"
fashion,['패션']
queensland,['퀸즐랜드']
fermi,['페르미']
mediterranean,['지중해']
birthday,['생일']
blacksmith,['대장장이']
horizontal,['수평']
indiana,['인디애나']
kettle,['주전자']
neighbourhood,['근방']
ace,['에이스']
slavic,['슬라브어']
infertility,['불임']
kitchen,"['부엌', '주방']"
pamphlet,"['팜플렛', '소책자']"
typeface,['글꼴']
night,"['밤에', '나이트']"
pakistan,['파키스탄']
toilet,"['변기', '화장실']"
exclusive,"['독점', '단독']"
explosive,['폭발물']
vestment,['전례복']
classy,['품격']
signaling,['신호']
acceptance,['합격']
plumage,['깃털']
versailles,"['베르사이유', '베르사유']"
lexicon,['어휘']
cobain,['코베인']
assassination,['암살']
poll,['설문']
salmon,['연어']
confession,"['고백', '신앙고백']"
brewery,"['맥주', '양조']"
tofu,['두부']
saddle,['안장']
charm,['매력']
storytelling,['스토리텔링']
trapezoid,['사다리꼴']
singular,['특이']
class,"['학급', '계급', '클래스', '수업']"
reed,['리드']
clinton,['클린턴']
corporation,"['코퍼레이션', '주식회사']"
write,"['쓰기', '글쓰기']"
tumbler,['텀블러']
pea,['완두콩']
modern,"['모던', '현대', '근대', '근황']"
pediatrician,['소아과']
quiet,"['조용히', '조용한']"
surf,"['서프', '서핑']"
dorm,['기숙사']
thumb,"['엄지손가락', '엄지']"
princeton,['프린스턴']
manages,['관리']
particular,['특정']
hood,['후드']
bandage,['붕대']
mantle,"['맨틀', '망토']"
underworld,['언더월드']
stair,['계단']
alloy,['합금']
amber,"['앰버', '호박']"
recruit,['모집']
employment,['고용']
cafe,['카페']
promo,['프로모션']
ethiopia,['에티오피아']
breakfast,"['아침밥', '아침식사', '아침', '조식']"
weaken,['약화']
coast,"['코스트', '해안']"
export,"['내보내기', '수출']"
invalid,['오류']
astrophysics,['천체물리학']
citizen,"['시민', '시티즌']"
still,"['아직도', '여전히']"
satisfaction,"['만족도', '만족']"
mission,"['미션', '선교']"
reception,['접수']
resurrection,['부활']
escort,['호위']
blackberry,['블랙베리']
template,['템플릿']
ara,['아라']
intelligence,['지능']
opposite,"['반대편', '반대로', '반대']"
illumination,['조명']
mean,['평균']
circumnavigation,['세계일주']
investigation,"['조사', '수사']"
jasper,['재스퍼']
podcast,['팟캐스트']
armageddon,['아마겟돈']
surplus,['잉여']
juice,"['주스', '쥬스']"
leaving,"['떠나', '떠나기']"
elite,['엘리트']
custard,['커스터드']
call,"['통화', '전화', '호출']"
nun,['수녀']
canada,['캐나다']
tooth,"['치아', '이빨']"
void,"['공허', '무효']"
imagery,['형상화']
boast,['자랑']
survivor,['생존자']
link,['링크']
parking,"['주차장', '주차']"
cutlet,['커틀릿']
guardian,"['수호', '보호자', '가디언']"
felipe,['펠리페']
ugandan,['우간다']
landing,"['착륙', '랜딩']"
cardiac,['심장']
millimetre,['밀리미터']
slate,['슬레이트']
hack,['해킹']
trending,['인기']
pension,['연금']
conclude,['결론']
viewer,"['시청자', '뷰어']"
worst,"['최악의', '최악']"
chris,['크리스']
peak,['피크']
pomegranate,['석류']
skink,['도마뱀과']
dupont,"['듀폰', '듀퐁']"
leeds,['리즈']
poster,['포스터']
fictional,['허구']
formosa,['포르모사']
bowling,['볼링']
verse,['구절']
tesseract,['큐브']
brow,['이마']
upper,"['윗쪽', '상위']"
discipline,['규율']
impostor,['사칭']
lid,['뚜껑']
rationing,['배급']
sister,"['여동생', '언니', '누나']"
format,"['형식', '포맷', '형식으로']"
muffin,['머핀']
agitator,['선동']
vista,['비스타']
criterion,['기준']
polar,['극성']
principle,"['원칙', '원리']"
chemistry,['화학']
socrates,['소크라테스']
glide,['글라이드']
burden,['부담']
sinking,['침몰']
day,"['하루', '데이']"
salisbury,['솔즈베리']
subprefecture,"['종합진흥국', '진흥국']"
asparagus,['아스파라거스']
ammonia,['암모니아']
christian,"['기독교', '크리스티안', '크리스천', '크리스찬']"
backing,['든든한']
terracotta,['테라코타']
discomfort,['불편함']
candlelight,['촛불']
motor,"['모터', '전동기']"
future,"['미래', '퓨처']"
hatch,['해치']
soil,['토양']
anarchism,['아나키즘']
bodie,['보디']
rebuttal,['반박']
salon,"['미용실', '살롱']"
cadaver,['시체']
restarts,['재시작']
fare,['운임']
impossible,"['불가능하다', '불가능', '불가능한']"
creator,"['창조주', '제작자', '작성자']"
bailey,['베일리']
lula,['룰라']
winning,"['우승', '승리']"
thief,"['도둑놈', '도둑']"
understanding,"['이해', '이해하기']"
theory,['이론']
strike,"['파업', '스트라이크']"
dunedin,['더니든']
memoir,['회고록']
cube,"['정육면체', '큐브']"
blazer,['블레이저']
charge,"['청구', '충전', '전하']"
effective,['효과적']
beyond,['비욘드']
helsinki,['헬싱키']
monster,"['괴물', '몬스터', '괴물이']"
anthony,"['안토니우스', '앤서니']"
name,['이름']
wear,['착용']
dry,"['건조', '드라이']"
liter,['리터']
boss,"['사장님', '보스']"
aurora,['아우로라']
suburban,['교외']
hayes,"['헤이즈', '헤이스']"
capsule,['캡슐']
ignore,"['무시', '무시해']"
configuration,"['설정', '구성']"
capo,['카포']
metro,"['메트로', '지하철']"
armour,"['기갑', '갑옷']"
normalization,['정규화']
newsgroups,['뉴스그룹']
saturday,['토요일']
harbour,"['항구', '하버']"
enhancement,['향상']
harem,['하렘']
probe,['탐사']
top,['인기']
bodybuilder,"['보디빌딩', '보디빌더']"
applicant,['지원자']
prophet,['예언자']
inappropriate,['부적절한']
vest,['조끼']
thread,"['스레드', '대화']"
stability,"['안정성', '안정']"
manuscript,['사본']
pornographic,['포르노']
min,"['민아', '민지', '민수']"
breathe,['호흡']
reconciliation,['화해']
consul,['영사']
exploitation,['착취']
glow,['글로']
unique,"['고유', '독특한']"
wardrobe,['옷장']
logic,"['논리학', '논리']"
proctor,['프록터']
stimulation,['자극']
leakage,['누출']
confinement,['감금']
alignment,"['정렬', '선형']"
ato,['아토']
employ,['고용']
industrialization,['산업화']
stocking,['스타킹']
sauna,['사우나']
subpoena,['소환']
sovereignty,['주권']
pill,['알약']
loop,"['루프', '반복']"
manual,"['수동', '설명서', '매뉴얼']"
rendition,['연출']
scotsman,['스코틀랜드인']
affection,['애정']
dolphin,['돌고래']
pontus,['폰투스']
morality,"['도덕성', '도덕']"
volkswagen,['폭스바겐']
exhibition,"['전람회', '전시관', '박람회', '전시회']"
announcing,['발표']
pine,"['소나무', '파인']"
plasma,"['플라스마', '플라즈마']"
towel,"['타월', '수건']"
decoding,['디코딩']
belief,"['신념', '믿음', '신앙']"
veteran,['베테랑']
eligible,['자격']
recycle,['재활용']
forbid,['금지']
modeling,['모델링']
signature,['서명']
thin,['얇은']
sail,['항해']
notepad,['메모장']
antiquity,['고대']
census,['인구조사']
pretext,['핑계']
kimchi,['김치']
baritone,['바리톤']
marshmallow,['마시멜로']
pharmaceutical,"['제약', '의약품']"
demon,['악마']
turk,"['투르크인', '투르크']"
luther,['루터']
indie,['인디']
lover,"['연인', '애인']"
kickboxing,['킥복싱']
info,['정보']
tuvalu,"['투발루', '투발루의']"
single,"['싱글', '단일']"
unemployment,['실업']
accuracy,"['정확도', '정밀도', '정확성']"
esophagus,['식도']
antique,['골동품']
fireman,['소방관']
bio,"['소개', '바이오']"
enthusiasm,['열정']
directory,"['디렉토리', '디렉터리']"
goto,['고토']
week,"['주일', '일주일']"
hertz,"['허츠', '헤르츠']"
doctor,['닥터']
efficiency,"['효율성', '효율']"
easter,['부활절']
terminator,['터미네이터']
polling,['폴링']
jellyfish,['해파리']
memphis,['멤피스']
thorpe,['소프']
admission,"['입장료', '입학']"
hamburger,['햄버거']
incision,['절개']
muslim,"['이슬람교', '무슬림']"
pot,"['냄비', '화분']"
discriminatory,['차별']
packet,['패킷']
eighteen,"['여덟', '열여덟']"
maximization,['극대화']
storage,"['저장소', '스토리지', '저장']"
duke,"['공작', '듀크']"
reasoning,"['추리', '추론']"
cheque,['수표']
betting,"['도박', '내기']"
transform,"['변환', '변신', '변형']"
leon,"['레온', '리온']"
cabaret,['카바레']
mariner,['매리너']
cold,"['춥다', '감기', '추위', '차가운']"
consult,['상담']
grandmaster,['그랜드마스터']
churn,['이탈']
womb,['자궁']
disparity,['차이']
bistro,['비스트로']
yemen,"['예멘', '남예멘']"
ferrari,['페라리']
safety,"['안전', '안전성']"
later,['나중에']
clamp,['클램프']
minimise,['최소화']
asks,['물어본다']
wiki,"['위키', '위키위키']"
jazzy,['재즈']
survey,['설문조사']
tuberculosis,"['폐결핵', '결핵']"
test,"['테스트', '시험']"
automatic,['자동']
all,"['모두', '전체']"
dependence,"['의존', '의존성']"
hip,['엉덩이']
climbing,"['등산', '등반']"
freshman,['신입생']
compound,"['화합물', '복합', '복합체']"
aorta,['대동맥']
semiconductor,['반도체']
trolley,['트롤리']
gallon,['갤런']
create,"['만듭니다', '만들기', '생성', '만드세요']"
microcontroller,['마이크로컨트롤러']
sharma,['샤르마']
vendor,"['벤더', '제조사']"
cork,['코르크']
chico,['치코']
throne,"['왕좌', '왕위']"
stig,['스티그']
archive,"['아카이브', '보관']"
plaintiff,['원고']
caesar,"['카이사르', '시저']"
orthopedic,['정형외과']
wand,['지팡이']
ultrasound,['초음파']
situation,"['상황', '상황이']"
drawing,['그리기']
alta,['알타']
add,"['추가하기', '추가']"
fracture,['골절']
schism,['분열']
introducing,['소개합니다']
version,['버전']
problem,['문제']
pollution,['오염']
operator,"['작용소', '연산자', '운영자']"
beginner,"['초보', '초보자']"
airliner,['항공기']
company,"['회사', '컴퍼니', '기업']"
cone,['원뿔']
blogging,['블로그']
scattering,['산란']
rank,"['계급', '순위']"
homemaker,['가정주부']
multimedia,['멀티미디어']
spanish,['스페인어']
sugar,"['슈가', '설탕', '슈슈']"
spider,"['거미', '스파이더']"
airbags,['에어백']
eel,['장어']
ultraviolet,['자외선']
summary,['요약']
protest,"['시위', '항의']"
ban,['금지']
obstetrics,['산부인과']
quake,['퀘이크']
pool,['수영장']
economist,['경제학자']
porter,['포터']
verification,"['검증', '인증']"
snap,['스냅']
knockout,['녹아웃']
parameter,"['파라미터', '매개변수']"
subsidy,['보조금']
melancholia,['우울']
editing,"['편집', '수정']"
index,"['색인', '인덱스']"
business,"['업체', '사업', '비즈니스']"
interface,['인터페이스']
quincy,['퀸시']
crucifixion,['십자가형']
synchronize,['동기화']
trio,['트리오']
naughty,"['장난꾸러기', '장난']"
polygon,"['다각형', '폴리곤']"
redhead,['빨강머리']
desperate,['절실한']
guilt,['죄책감']
josephine,['조세핀']
swing,"['스윙스', '스윙']"
wheel,['바퀴']
routine,"['루틴', '일상']"
mail,"['편지', '메일', '우편']"
hog,['돼지']
imperfect,"['불완전한', '불완전']"
scout,"['스카웃', '스카우트']"
separatist,['분리주의']
bombardment,['포격']
sensor,['센서']
ballerina,['발레리나']
dependency,"['종속', '의존', '의존성']"
oedipus,['오이디푸스']
colossus,['콜로서스']
enjoy,"['즐길', '즐겨라']"
closer,['가까워']
formation,['형성']
comeback,['컴백']
equaliser,['이퀄라이저']
milan,"['밀란', '밀라노']"
third,"['세번째', '셋째']"
string,['문자열']
popcorn,['팝콘']
livestock,['가축']
institution,['기관']
mix,"['섞어', '믹스', '혼합']"
network,['네트워크']
burial,"['매장', '장례']"
uterus,['자궁']
moss,['이끼']
plantation,['플랜테이션']
reggae,['레게']
gravity,['중력']
conflagration,['화재']
elegance,['우아']
vortex,"['소용돌이', '볼텍스']"
feedback,"['피드백', '의견']"
constantly,"['끊임없이', '지속적으로']"
working,['일하기']
beating,['뛰고']
remarriage,['재혼']
musculature,['근육']
zigzag,['지그재그']
accent,['말투']
wax,['왁스']
interruption,['인터럽트']
enough,"['충분해', '충분한', '충분히']"
motto,['좌우명']
overhaul,['점검']
nameless,['무명']
