word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
clotting,"['cl', 'ot', 'ting']",3,"['cl', 'ot', 'ting']",3,"['▁cl', 'ot', 'ting']",3,3.0,True,3,3.0,True,3,False,5,8,0
horticulturalist,"['hort', 'icultural', 'ist']",3,"['hort', 'icultural', 'ist']",3,"['▁h', 'ort', 'icult', 'ural', 'ist']",5,3.6666666666666665,False,4,3.0,True,3,False,4,16,0
excentrique,"['ex', 'cent', 'rique']",3,"['ex', 'cent', 'rique']",3,"['▁ex', 'cent', 'rique']",3,3.0,True,3,3.0,True,3,False,4,11,0
billiards,"['bill', 'iards']",2,"['b', 'illi', 'ards']",3,"['▁bill', 'i', 'ards']",3,2.6666666666666665,False,3,2.5,False,3,False,4,9,0
tschudii,"['ts', 'ch', 'ud', 'ii']",4,"['tsch', 'ud', 'ii']",3,"['▁t', 'sch', 'ud', 'ii']",4,3.6666666666666665,False,4,3.5,False,4,False,4,8,0
thorough,"['th', 'orough']",2,"['th', 'orough']",2,['▁thorough'],1,1.6666666666666667,False,2,2.0,True,2,True,5,8,0
sealing,"['se', 'aling']",2,"['se', 'aling']",2,"['▁se', 'aling']",2,2.0,True,2,2.0,True,2,False,4,7,0
limousine,"['lim', 'ous', 'ine']",3,"['lim', 'ousine']",2,"['▁lim', 'ous', 'ine']",3,2.6666666666666665,False,3,2.5,False,3,False,5,9,0
trampoline,"['tr', 'ampoline']",2,"['tram', 'poline']",2,"['▁tr', 'amp', 'oline']",3,2.333333333333333,False,2,2.0,True,2,False,4,10,0
responsum,"['res', 'pon', 'sum']",3,"['respon', 'sum']",2,"['▁respons', 'um']",2,2.333333333333333,False,2,2.5,False,3,False,4,9,0
preemption,"['pre', 'emption']",2,"['pre', 'emption']",2,"['▁pre', 'em', 'ption']",3,2.333333333333333,False,2,2.0,True,2,False,4,10,0
