Korean,English
리허설,"['rehearsal', 'rehearse', 'rehearsing']"
침공,"['invasion', 'incursion', 'invasions']"
종속,"['dependent', 'dependency', 'dependencies']"
평점,"['rating', 'gpa', 'ratings']"
대포,"['cannon', 'artillery', 'cannonball']"
누락,['missing']
접힘,['folding']
스쿠터,"['scooter', 'scooters']"
브라보,['bravo']
아르카나,['arcana']
초록,['green']
인디,['indie']
안테나,"['antennae', 'antenna']"
이구아나,['iguana']
테러리스트,"['terrorist', 'terrorists']"
윤곽,"['outlined', 'outline']"
호출,"['paged', 'call']"
관리자,"['administrator', 'maintainer', 'admin', 'admins', 'administrators', 'manager']"
스릴러,['thriller']
수분,"['fluid', 'pollination', 'moisture', 'fluids']"
순수,"['purest', 'purity', 'pure']"
음절,['syllable']
이시바시,['ishibashi']
해산물,['seafood']
교회,"['churches', 'church']"
짝꿍,['mate']
자치령,['dominion']
나카,['naka']
베이글,"['bagel', 'bagels']"
체인,"['chains', 'chain']"
보상,"['rewards', 'reward', 'compensation']"
예방,"['prevent', 'preventive', 'prophylactic', 'prevention', 'preventative']"
첨자,"['subscripts', 'subscript']"
커머스,['commerce']
바이어스,['byers']
추진력,"['thrust', 'propulsion']"
월요,['monday']
대리인,"['guardians', 'agent', 'surrogate']"
의사,"['physician', 'doctors', 'physicians']"
이끼,['moss']
세균,"['bacteria', 'germs']"
머리카락,['hair']
리튬,['lithium']
히터,['heater']
남동,"['southeast', 'southeastern']"
대명사,"['pronouns', 'byword', 'pronoun']"
컨버터블,['convertible']
절약,['saving']
고조,"['gaozu', 'heightened']"
히로미,['hiromi']
민주주의,['democracy']
모퉁이,['corner']
비서,"['secretaries', 'secretarial', 'secretary']"
출신,['from']
형제,"['siblings', 'brothers']"
예고편,"['trailer', 'previews']"
복합체,"['complex', 'compound']"
평생,['lifetime']
가운,"['gown', 'robe', 'gowns']"
보일러,"['boiler', 'boilers']"
달빛,['moonlight']
발라드,"['ballads', 'ballad']"
캄푸치아,['kampuchea']
부재,['absence']
피켓,"['pickett', 'picket']"
상위,['upper']
머리,"['hair', 'head', 'murray']"
그릇,"['bowl', 'bowls']"
안마,"['massages', 'pommel', 'massage']"
소성,['plasticity']
화보,['tuesday']
섀도,"['shadows', 'shadow']"
악센트,['accented']
센스,['sense']
런칭,"['launching', 'launch']"
자료,['data']
위엄,['dignity']
모스크,"['mosques', 'mosque']"
위임,"['delegation', 'delegated', 'delegating']"
레지던스,['residence']
확정,['confirmed']
작성,['compose']
장례식,"['funeral', 'funerals']"
친척,"['relative', 'relatives']"
예배당,['chapel']
시프트,['shift']
바이킹,"['viking', 'vikings']"
터치스크린,['touchscreen']
모션,['motion']
결막염,"['conjunctivitis', 'conjunctiva']"
코코아,['cocoa']
항공,"['aviation', 'airline', 'airlines', 'airways', 'air']"
사춘기,"['adolescent', 'puberty', 'adolescence']"
전화번호,['phone']
항공사,"['carrier', 'airline', 'airlines']"
소녀,"['girl', 'girls']"
메아리,['echoes']
작가,"['authors', 'writer', 'writers', 'author']"
전차,"['chariot', 'tank', 'tanks']"
필터,"['filter', 'filters']"
근사,['approximation']
산토끼,['hare']
영장,['warrant']
눈꺼풀,"['eyelids', 'eyelid']"
접근법,['approach']
커리어,"['career', 'careers']"
조사,"['investigation', 'research']"
태양광,['solar']
차량,"['cars', 'vehicles', 'car', 'vehicle']"
사진,"['photos', 'photography', 'pictures', 'picture', 'photo']"
풋볼,['football']
파울,"['fouls', 'paul', 'foul']"
품목,"['item', 'items', 'listings', 'listing']"
캐주얼,['casual']
부호,['code']
돌풍,['whirlwind']
딜러,"['dealer', 'dealers']"
오디오,['audio']
전설,"['legend', 'legendary', 'legends']"
브렌다,['brenda']
보너스,"['bonus', 'bonuses']"
반역자,['traitor']
계기,['instrument']
재활,"['rehab', 'rehabilitation']"
연주회,"['recital', 'concerts', 'concert']"
리턴,"['returns', 'return']"
대문자,"['uppercase', 'capitalization']"
가톨릭,['catholic']
레전드,"['legend', 'legends']"
트라우마,['trauma']
계절,"['seasonal', 'season', 'seasons']"
모닥불,['bonfire']
겸손,"['humble', 'humility']"
트레버,['trevor']
아르노,['arno']
질량,"['masses', 'mass']"
압력,"['pressure', 'pressured', 'pressures']"
슈퍼맨,['superman']
안보,['security']
신고,"['report', 'reporting']"
프로그램,"['programs', 'application', 'program']"
소모,['attrition']
음주,"['drinking', 'intoxication']"
시럽,['syrup']
청소부,"['cleaner', 'housekeeping']"
캐러밴,['caravan']
납득,['convince']
광학,['optical']
백내장,['cataract']
협곡,"['gorge', 'canyon', 'ravine']"
남용,"['misuse', 'abuse']"
방해,['interrupting']
도시,"['town', 'city', 'cities', 'urban']"
호위,['escort']
아이티,"['haiti', 'haitian']"
메커니즘,"['mechanisms', 'mechanism']"
댄스,"['dance', 'dances']"
레스토랑,"['restaurants', 'restaurant']"
기획자,['planners']
망각,"['forgetting', 'oblivious']"
컨트롤러,"['controllers', 'controller']"
소변,"['pee', 'urinate', 'urine', 'urinating']"
매치,['match']
특수,['special']
시청자,"['viewer', 'viewers']"
구획,['parcel']
친족,['kin']
전극,"['electrode', 'electrodes']"
국방,"['defence', 'defense']"
인턴십,['internship']
초원,"['grassland', 'meadow']"
암초,"['shoal', 'reef']"
