word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
grayscale,"Most scanners can capture images in 8-bit grayscale, and image file formats like TIFF and JPEG natively support this monochrome palette size.",22,4,"['▁gray', 'scale']",2,0
thrush,"The thrush, whose knocking announced the revelation of the keyhole, and who carried news of Smaug from the Lonely Mountain to Bard.",22,4,"['▁thr', 'ush']",2,0
modality,A Lawvere–Tierney topology is also sometimes also called a local operator or coverage or topology or geometric modality.,18,5,"['▁mod', 'ality']",2,0
woodsball,"They more often have expansion sleeves, though some woodsball harnesses feature them as well.",14,5,"['▁woods', 'ball']",2,0
hug,"She wakes up as soon as Tae-hee arrives, the sisters share a long hug upon reunion.",16,4,"['▁h', 'ug']",2,0
chatter,"It can occur from machine or work deflections, chatter, residual stress, vibrations, or heat treatment.",15,4,"['▁ch', 'atter']",2,0
brutal,"Dragons lock forward “Rocket” Rod Reddy, initially dominated proceedings with his brutal defensive play.",14,4,"['▁brut', 'al']",2,0
memorization,He completed the memorization of the Quran in 1999 and is also a professor at Al Jamea tus Saifiyah.,19,5,"['▁memor', 'ization']",2,0
partimen,"The partimen, ""Si paradis et enfernz son aital"", is a dilemma on the nature of Heaven and Hell (c. 1250).",20,4,"['▁part', 'imen']",2,0
cloudy,"Many days are both ""sunny"" and ""cloudy"", with clouds moving quickly in and out of the area.",17,5,"['▁cloud', 'y']",2,0
fluidity,"Service in the German military was universal in nature in these areas, however, assessing the number of ethnic Poles involved is difficult due to the fluidity of national identity.",29,4,"['▁fluid', 'ity']",2,0
composure,Perowne's composure and success mean the implied violence is in the background.,12,4,"['▁compos', 'ure']",2,0
eatery,"This eatery market, locally known as Khau Gully, was revamped and opened to public in 2020 as Happy Street.",19,4,"['▁eat', 'ery']",2,0
getaway,"He begins seeing a prostitute, who becomes the getaway driver for his next few robberies.",15,5,"['▁get', 'away']",2,0
arion,"Phengaris arion The large blue butterfly, Phengaris arion (formerly Maculinea arion), exhibits a unique parasitic relationship with a single species of red ant, Myrmica sabuleti.",25,4,"['▁ar', 'ion']",2,0
smokebox,"2716 was painted black with gold pinstriping, while the front smokebox plate was painted in a lighter graphite color.",19,5,"['▁smoke', 'box']",2,0
nitens,"C. g. nitens is very like the nominate, but with a slight gold sheen and a less deeply forked tail.",20,5,"['▁nit', 'ens']",2,0
excludes,This table excludes Latinos from the racial categories and assigns them to a separate category.,15,5,"['▁ex', 'cludes']",2,0
cantus,"Agnus Dei II begins as if the cantus firmus is present on 'A', but proceeds to a freely composed trio.",20,5,"['▁cant', 'us']",2,0
speeding,"In all 65 mph speed zones, the fines for speeding and other moving violations are doubled.",16,4,"['▁speed', 'ing']",2,0
tubeless,Halobutyl is today the most important material for the inner linings of tubeless tires.,14,4,"['▁tub', 'eless']",2,0
endless,"Reception The Kirkus wrote in a review ""One of Hollywood’s biggest stars delivers a memoir of success won through endless, relentless work and self-reckoning.""",24,4,"['▁end', 'less']",2,0
brownfield,It includes a brownfield nickel laterite mine and a process plant.,11,4,"['▁brown', 'field']",2,0
arrange,"After a desperate struggle throughout Gotham, Batman is able to kill the alien, find its nest, and arrange for three victims to have the embryos extracted before they can hatch.",30,5,"['▁ar', 'range']",2,0
homily,"The Old Icelandic Homily Book (OIHB) contains 62 texts and parts of texts, 50 of which are homilies.",18,5,"['▁hom', 'ily']",2,0
puller,"In his first jobs, he worked as a focus puller in the film industry.",14,4,"['▁pull', 'er']",2,0
culvert,Also present on the narrow wall stretch is a culvert.,10,5,"['▁cul', 'vert']",2,0
regum,The Chronica latina regum Castellae provides a vivid account of the performance of Count Álvaro in the battle.,18,4,"['▁reg', 'um']",2,0
duly,"Parisyan, however, performed a judo throw, which put Strasser on the ground and placed him in position for a kimura armlock, which Parisyan duly applied.",25,4,"['▁d', 'uly']",2,0
thrice,"With the team, he won All-India Railway Championship thrice.",9,5,"['▁thr', 'ice']",2,0
shouting,"On 15 May 2009, an English court found two football fans guilty of shouting the homophobic chants.",17,4,"['▁shout', 'ing']",2,0
doings,With his family forgiveness he realizes his wrong doings and pleads guilty.,12,4,"['▁do', 'ings']",2,0
nuda,"Nomina nuda (the plural form) are invalid, and are therefore not italicized as a proper generic name would be.",19,5,"['▁n', 'uda']",2,0
siphon,"When the Soxhlet chamber is almost full, the chamber is emptied by the siphon.",14,4,"['▁si', 'phon']",2,0
pillage,"Noir Canada: Pillage, corruption et criminalité en Afrique, Montreal: Éditions Écosociété, p. 27-38.Belem, Gisèle.",14,4,"['▁pill', 'age']",2,0
upward,The clerk lowered the arm toward the mail: the gesture permitted the inking of the datestamps thank to an upward roll.,21,4,"['▁up', 'ward']",2,0
knocking,"""Sweetest Sin"" received positive reviews from critics, with some calling it a catchy tune and an ""ode to booty knocking"".",20,4,"['▁knock', 'ing']",2,0
tapping,In 1987 he stated that he did not accept that a judge could not inquire further when a minister raised a justification of 'national security' for their actions (the case concerned the telephone tapping of Joan Ruddock).,37,4,"['▁t', 'apping']",2,0
