word,tokens,token_num,freq,freq_quantile,label
Tonmineral,"['Ton', 'mineral']",2,4.0,0.0,realword
Einricht,"['Ein', 'richt']",2,4.0,0.0,realword
Vorberg,"['Vor', 'berg']",2,4.0,0.0,realword
Essayband,"['Essay', 'band']",2,4.0,0.0,realword
Aphel,"['Ap', 'hel']",2,5.0,0.0,realword
Sokrat,"['S', 'okrat']",2,4.0,0.0,realword
Mordwaffe,"['Mord', 'waffe']",2,5.0,0.0,realword
Liman,"['L', 'iman']",2,4.0,0.0,realword
Preisbildung,"['Preis', 'bildung']",2,4.0,0.0,realword
Fromme,"['From', 'me']",2,5.0,0.0,realword
Kleinigkeit,"['Klein', 'igkeit']",2,4.0,0.0,realword
Weltstadt,"['Welt', 'stadt']",2,4.0,0.0,realword
Zeitungs,"['Zeit', 'ungs']",2,5.0,0.0,realword
Generikum,"['Gener', 'ikum']",2,4.0,0.0,realword
Personalplanung,"['Personal', 'planung']",2,5.0,0.0,realword
Limburger,"['Lim', 'burger']",2,4.0,0.0,realword
Verzeichnung,"['Ver', 'zeichnung']",2,4.0,0.0,realword
Ethnographie,"['Ethn', 'ographie']",2,5.0,0.0,realword
Waldschule,"['Wald', 'schule']",2,4.0,0.0,realword
Akne,"['Ak', 'ne']",2,5.0,0.0,realword
Fernsehbericht,"['Fernseh', 'bericht']",2,4.0,0.0,realword
Illwerk,"['Ill', 'werk']",2,4.0,0.0,realword
Veränder,"['Ver', 'änder']",2,5.0,0.0,realword
Skipiste,"['Skip', 'iste']",2,5.0,0.0,realword
Versende,"['Vers', 'ende']",2,4.0,0.0,realword
Querreihe,"['Quer', 'reihe']",2,4.0,0.0,realword
Picknick,"['Pick', 'nick']",2,5.0,0.0,realword
Giraffe,"['Gir', 'affe']",2,5.0,0.0,realword
Abziehen,"['Ab', 'ziehen']",2,5.0,0.0,realword
Mangaka,"['Mang', 'aka']",2,4.0,0.0,realword
Kunstweg,"['Kunst', 'weg']",2,5.0,0.0,realword
Finte,"['Fin', 'te']",2,5.0,0.0,realword
Weltruf,"['Welt', 'ruf']",2,4.0,0.0,realword
Infosendung,"['Infos', 'endung']",2,4.0,0.0,realword
Postminister,"['Post', 'minister']",2,4.0,0.0,realword
Brechen,"['Bre', 'chen']",2,4.0,0.0,realword
Kunstverlag,"['Kunst', 'verlag']",2,5.0,0.0,realword
Grundwert,"['Grund', 'wert']",2,4.0,0.0,realword
Erdarbeit,"['Erd', 'arbeit']",2,5.0,0.0,realword
Remission,"['Rem', 'ission']",2,5.0,0.0,realword
Wasseraufnahme,"['Wasser', 'aufnahme']",2,4.0,0.0,realword
Postfach,"['Post', 'fach']",2,5.0,0.0,realword
Fracking,"['Fr', 'acking']",2,5.0,0.0,realword
Basisversion,"['Basis', 'version']",2,4.0,0.0,realword
Arabist,"['Arab', 'ist']",2,5.0,0.0,realword
Okt,"['O', 'kt']",2,4.0,0.0,realword
Bergsteigen,"['Berg', 'steigen']",2,5.0,0.0,realword
Bundesrecht,"['Bundes', 'recht']",2,5.0,0.0,realword
Endlichkeit,"['End', 'lichkeit']",2,5.0,0.0,realword
Triol,"['Tri', 'ol']",2,4.0,0.0,realword
Hochrelief,"['Hoch', 'relief']",2,4.0,0.0,realword
Gelage,"['G', 'elage']",2,4.0,0.0,realword
Hauptinstrument,"['Haupt', 'instrument']",2,5.0,0.0,realword
Lerne,"['L', 'erne']",2,4.0,0.0,realword
Hieb,"['H', 'ieb']",2,4.0,0.0,realword
Grundelement,"['Grund', 'element']",2,4.0,0.0,realword
Ingwer,"['Ing', 'wer']",2,5.0,0.0,realword
Corpshaus,"['Corps', 'haus']",2,4.0,0.0,realword
Grundmaß,"['Grund', 'maß']",2,5.0,0.0,realword
Radiologie,"['Radi', 'ologie']",2,5.0,0.0,realword
Spielbrett,"['Spiel', 'brett']",2,4.0,0.0,realword
Bezahl,"['Be', 'zahl']",2,5.0,0.0,realword
Neige,"['Ne', 'ige']",2,4.0,0.0,realword
Vorprodukt,"['Vor', 'produkt']",2,4.0,0.0,realword
OLe,"['O', 'Le']",2,5.0,0.0,realword
Splitt,"['Spl', 'itt']",2,5.0,0.0,realword
Doline,"['D', 'oline']",2,5.0,0.0,realword
Unterherr,"['Unter', 'herr']",2,5.0,0.0,realword
Verstellung,"['Ver', 'stellung']",2,4.0,0.0,realword
Spielgruppe,"['Spiel', 'gruppe']",2,4.0,0.0,realword
Frankfurter,"['Frank', 'furter']",2,5.0,0.0,realword
