English,German
barman,['barkeeper']
expressive,['ausdrucksstark']
astounding,['verblüffend']
theory,"['theorie', 'theoretisch']"
steaming,['dämpfen']
denounce,['anprangern']
snowboarding,"['snowboarden', 'snowboard', 'skigebiete']"
feed,"['füttern', 'futter', 'futtermittel']"
messiah,['messias']
coldest,['kälteste']
loathing,"['abscheu', 'verachtung']"
tummy,['bauch']
gold,['goldene']
penance,['buße']
etcetera,"['usw', 'etc']"
bivalve,['muscheln']
carcinoma,['karzinom']
telephony,['telefonie']
seeding,['aussaat']
dreamer,['träumer']
maintains,"['behält', 'unterhält']"
sluice,['schleuse']
counterterrorism,['terrorismusbekämpfung']
counteracts,['entgegenwirkt']
individualism,"['individualität', 'individualismus']"
manage,"['handhaben', 'verwalten']"
draughtsman,['zeichner']
confrontation,"['konfrontation', 'auseinandersetzung']"
maldives,['malediven']
lessor,['vermieter']
season,"['spielzeit', 'staffel', 'jahreszeit', 'saison']"
avert,"['abzuwenden', 'abwehren', 'abwenden']"
cooperation,"['mitarbeit', 'zusammenarbeit', 'kooperationen', 'kooperation', 'entwicklungszusammenarbeit']"
sparkling,"['schaumwein', 'kohlensäure', 'sekt']"
office,"['niederlassung', 'geschäftsstelle', 'amt', 'büros', 'büro']"
duck,"['enten', 'ente']"
terrorism,"['terrorismus', 'terrorismusbekämpfung']"
favorite,"['lieblings', 'favoriten', 'favorit']"
like,"['mögen', 'gefällt', 'wie']"
marijuana,['marihuana']
warship,"['kriegsschiffe', 'kriegsschiff']"
find,"['findet', 'finden', 'finde', 'suchen']"
escort,"['begleiten', 'eskorte', 'begleiter', 'begleitung']"
quieter,"['leiser', 'ruhiger']"
prophecy,['prophezeiung']
plea,"['gesuch', 'plädoyer']"
calculation,"['kalkulation', 'berechnung', 'berechnungen']"
clearcutting,['kahlschlag']
baseball,['baseballspieler']
greener,"['grüner', 'umweltfreundlicher']"
exhibitor,['aussteller']
hiker,['wanderer']
blueprint,['entwurf']
butane,['butan']
coalition,"['bündnis', 'koalition']"
rein,['zügel']
vocabulary,"['wörterbuch', 'vokabular', 'wortschatz']"
sparrowhawk,['sperber']
gallery,"['galerie', 'bildergalerie', 'galerien']"
jar,['glas']
synchronization,"['synchronisierung', 'synchronisieren', 'abgleich', 'synchronisation']"
stillness,['stille']
jewelry,['schmuck']
convertible,"['cabriolet', 'cabrio']"
insurgent,['aufständischen']
enjoy,"['genießen', 'genieße', 'geniessen']"
inspector,"['prüfer', 'inspektor', 'kommissar', 'inspektoren']"
discontent,['unzufriedenheit']
stamen,['staubblatt']
oversteer,['übersteuern']
traffic,"['verkehrs', 'verkehr', 'datenverkehr']"
participatory,"['partizipativen', 'partizipation']"
expatriate,['auswanderer']
migratory,"['wanderungsbewegungen', 'wandernden']"
symptom,['symptome']
praiseworthy,['lobenswert']
reunite,['wiedervereinigung']
windshield,['windschutzscheibe']
told,"['sagte', 'erzählt', 'erzählte', 'gesagt']"
dissemination,['verbreitung']
prank,"['scherz', 'streich']"
working,"['arbeiten', 'arbeitszeit']"
longbow,['langbogen']
teach,"['lehren', 'unterrichten']"
solicitor,['rechtsanwalt']
smallest,"['geringste', 'kleinste', 'kleinsten']"
diffraction,['beugung']
intensifying,"['intensivieren', 'intensivierung']"
hillclimb,['bergrennen']
beast,"['biest', 'tier', 'bestie', 'ungeheuer']"
mayfly,['eintagsfliege']
nonetheless,"['dennoch', 'nichtsdestotrotz', 'trotzdem']"
turn,"['drehen', 'wende']"
afforestation,['aufforstung']
sock,['socke']
bearer,['überbringer']
flimsy,['fadenscheinigen']
hell,"['teufel', 'hölle']"
pointer,"['zeiger', 'mauszeiger']"
euphrates,['euphrat']
dowry,['mitgift']
method,"['methode', 'verfahren']"
sore,"['wunden', 'wund', 'wunde']"
isotope,['isotop']
impetus,"['impuls', 'impulse']"
differential,['differenz']
academician,['akademiemitglied']
sound,"['geräusche', 'ton', 'klang', 'geräusch']"
escaped,"['geflüchtet', 'abgehauen', 'entkam', 'entkommen', 'geflohen']"
insignia,['abzeichen']
weaponry,"['bewaffnung', 'waffen']"
swordfish,['schwertfisch']
dietary,"['nahrung', 'ernährung']"
clot,['klumpen']
cologne,['köln']
lazy,"['faule', 'fauler', 'träge', 'faul', 'faulen']"
nutrition,"['nahrung', 'tierernährung', 'ernährung']"
fatalism,['fatalismus']
pink,['rosa']
simplify,"['vereinfachung', 'vereinfachen', 'vereinfacht']"
intention,['absicht']
tantric,['tantrischen']
residue,"['rückstände', 'rückständen', 'rückstand']"
hearing,"['anhörung', 'hören', 'gehör']"
determinant,"['determinante', 'determinanten']"
inhumanity,['unmenschlichkeit']
heater,['heizung']
fixing,"['fixieren', 'festsetzung', 'befestigung', 'fixierung', 'reparieren']"
restriction,"['begrenzung', 'beschränkung', 'einschränkungen', 'einschränkung', 'beschränkungen']"
honour,"['ehren', 'ehre', 'ehrung']"
impregnation,['imprägnierung']
repairing,"['reparaturen', 'reparieren', 'reparatur']"
commandant,"['befehlshaber', 'kommandant', 'kommandanten']"
terry,['jutta']
antisemite,['antisemit']
impedance,['impedanz']
parenthood,['elternschaft']
theophylline,['theophyllin']
concept,"['konzeption', 'konzept', 'begriff']"
lecture,"['vortrag', 'vorlesung', 'vorträge']"
slogan,"['schlagwort', 'motto']"
condemnation,"['verurteilung', 'verurteilen']"
fisherman,"['fischer', 'angler']"
assembling,"['montage', 'montieren', 'zusammenbau']"
ambivalence,['ambivalenz']
scripting,['skripten']
ebb,['ebbe']
bible,['bibel']
heraldic,['heraldischen']
antisemitism,['antisemitismus']
truffle,['trüffel']
threonine,['threonin']
midday,"['mittag', 'mittags']"
palatine,['pfälzische']
veil,['schleier']
naivety,['naivität']
circulates,['zirkuliert']
penultimate,"['vorletzte', 'vorletzten']"
seducer,['verführer']
liberalisation,['liberalisierung']
preach,"['predigen', 'predigten', 'predigt']"
continuation,"['fortführung', 'weiterführung', 'fortsetzung', 'anhalten']"
refreshing,['erfrischend']
tailoring,['schneiderei']
iodine,['jod']
touch,"['berührung', 'anfassen', 'berühren']"
buckshot,['schrot']
rarest,['seltensten']
amide,['amid']
accompaniment,['begleitung']
anglerfish,['seeteufel']
windy,['windig']
her,"['ihr', 'ihre']"
benign,"['gutartige', 'harmlos']"
photophores,['leuchtorgane']
hatchet,['beil']
turbidity,['trübung']
conglomerate,['konglomerat']
bursting,['platzen']
garrison,['garnison']
decoration,"['dekoration', 'dekorationen']"
dust,"['stäube', 'staub']"
earl,['earls']
compassion,"['erbarmen', 'mitgefühl', 'mitleid']"
litre,['liter']
myopathy,['myopathie']
software,['softwareentwicklung']
centralisation,"['zentralisierung', 'zentralisiert']"
hose,"['schläuche', 'schlauch']"
nazism,['nationalsozialismus']
suffix,['endung']
mixing,"['vermischung', 'mischung', 'vermischen', 'mischen']"
building,"['bauwesen', 'baugewerbe', 'bauen', 'gebäude']"
soothing,"['beruhigende', 'beruhigend']"
waiter,"['bedienung', 'kellner', 'ober']"
grandmaster,['großmeister']
widowed,"['verwitwet', 'witwe']"
spray,['sprühen']
forger,['fälscher']
eaten,"['verzehrt', 'gefressen', 'gegessen']"
shrine,"['heiligtum', 'schrein']"
fortification,['befestigung']
compensate,"['kompensieren', 'kompensation']"
hot,"['heiß', 'warm', 'heiss']"
blast,"['sprengen', 'explosion']"
east,"['östlich', 'ostseite', 'ost', 'osten']"
palsy,['lähmung']
volatility,"['fluktuation', 'schwankungen', 'volatilität']"
measurable,"['messbare', 'messbaren', 'messbar']"
yawning,['gähnen']
reprocessing,"['aufbereitung', 'aufarbeitung']"
sick,"['kranke', 'kranken', 'krank', 'kranker']"
lure,"['anlocken', 'lockt', 'köder', 'locken']"
call,"['aufruf', 'anrufen', 'rufen', 'nennen', 'anruf']"
lawful,"['rechtmäßig', 'rechtmäßige']"
blackmailer,['erpresser']
swan,['schwan']
damnation,"['verdammnis', 'verdammen']"
parentage,['abstammung']
recuperation,['erholung']
deposition,"['abscheidung', 'ablagerung']"
tripping,['stolpern']
orbit,['umlaufbahn']
rebirth,['wiedergeburt']
immigrant,"['immigranten', 'einwanderer', 'zuwanderer']"
dilute,"['verdünnung', 'verdünnt', 'verdünnen', 'verwässert', 'verwässern']"
tarragon,['estragon']
duo,['duett']
refuge,"['zufluchtsort', 'zuflucht']"
analogue,"['analogen', 'analoge', 'analoger', 'analog']"
reluctantly,['widerwillig']
deterrence,"['abschreckung', 'abschreckende']"
drift,['treiben']
payable,['fällig']
armed,"['bewaffnete', 'bewaffnet', 'bewaffneten']"
election,"['wahl', 'wahlen']"
catharsis,['katharsis']
mosque,"['moscheen', 'moschee']"
butt,"['hintern', 'arsch']"
smooth,"['glatten', 'glätten', 'sanft', 'glatt']"
unpaid,"['unentgeltlich', 'unbezahlte', 'unbezahlten']"
tenacity,"['hartnäckigkeit', 'zähigkeit']"
sang,"['gesungen', 'sangen']"
courtroom,"['gerichtssaal', 'saal', 'gericht', 'sitzungssaal']"
motorbike,"['motorräder', 'motorrad']"
passage,"['durchgang', 'überfahrt', 'durchfahrt']"
feudal,['feudalen']
megaphone,['megaphon']
barefoot,['barfuß']
european,"['europäische', 'europäisch', 'europäischen', 'europäisches', 'europäischer']"
skating,['eiskunstlauf']
flatness,['ebenheit']
painter,"['maler', 'malerin']"
hypersensitivity,['überempfindlichkeit']
grandfather,"['großvaters', 'opa', 'großvater']"
tolerate,"['toleriert', 'dulden', 'tolerieren']"
combinatorial,['kombinatorische']
snout,['schnauze']
word,"['wortes', 'wort']"
ruin,"['ruine', 'ruinieren', 'verderben']"
holiness,['heiligkeit']
derogation,"['ausnahmeregelung', 'ausnahme', 'ausnahmegenehmigung', 'abweichung']"
insignificance,['bedeutungslosigkeit']
wheelbase,['radstand']
stuck,['geklebt']
pretence,['vorwand']
overthrown,['gestürzt']
carefree,['sorglos']
excess,"['übersteigen', 'überschuss', 'überschreitung']"
hyphenation,['silbentrennung']
institutionalization,['institutionalisierung']
content,"['inhalt', 'inhalten', 'inhalte', 'gehalt']"
chef,"['küchenchef', 'chefkoch', 'köchin', 'koch']"
credibility,"['glaubwürdig', 'glaubwürdigkeit']"
watershed,"['wendepunkt', 'wasserscheide']"
resentment,"['unmut', 'abneigung', 'groll']"
climatologist,['klimatologe']
puppy,"['welpen', 'welpe', 'hündchen']"
inland,"['binnenschifffahrt', 'landesinneren', 'binnenschiffahrt']"
azimuth,['azimut']
stamp,"['stempel', 'briefmarke', 'briefmarken']"
marital,['familienstand']
depict,"['darstellen', 'abbilden']"
cutlery,['besteck']
forest,"['wald', 'forstwirtschaft', 'forst', 'wälder']"
headgear,['kopfbedeckungen']
arachnologist,['arachnologe']
metropolis,"['großstadt', 'metropole', 'metropolen']"
infestation,"['verseuchung', 'befall']"
westward,['westen']
rage,"['wütend', 'zorn', 'wut']"
defenseless,"['schutzlos', 'wehrlos']"
classy,"['stilvoll', 'fesch']"
save,"['speichern', 'sparen', 'retten', 'speichere']"
determinism,['determinismus']
estuary,['mündung']
receives,"['empfängt', 'erhält']"
sponge,['schwamm']
tonsure,['tonsur']
solidity,['festigkeit']
humidity,"['feuchtigkeit', 'feuchte', 'luftfeuchtigkeit']"
seaplane,['wasserflugzeug']
anchoring,"['verankern', 'verankerung']"
iconography,['ikonographie']
motherhood,['mutterschaft']
propene,['propen']
gravitation,['schwerkraft']
