word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
Kommendatarabt,"['K', 'omm', 'end', 'atar', 'ab', 't']",6,"['K', 'omm', 'end', 'atar', 'abt']",5,"['▁Komm', 'end', 'atar', 'ab', 't']",5,5.333333333333333,False,5,5.5,False,6,False,4,14,0
Ventilsteuerung,"['Vent', 'il', 'ste', 'uer', 'ung']",5,"['Vent', 'il', 'steuerung']",3,"['▁Vent', 'il', 'ste', 'uer', 'ung']",5,4.333333333333333,False,4,4.0,False,4,False,6,15,0
Fahrradmarke,"['F', 'ah', 'rr', 'ad', 'mar', 'ke']",6,"['F', 'ahr', 'rad', 'mark', 'e']",5,"['▁Fahr', 'rad', 'mar', 'ke']",4,5.0,False,5,5.5,False,6,False,4,12,0
Thermalwasservorbruch,"['Th', 'ermal', 'w', 'ass', 'erv', 'or', 'br', 'uch']",8,"['Thermal', 'wass', 'erv', 'orb', 'ruch']",5,"['▁Th', 'erm', 'al', 'w', 'asser', 'vor', 'bru', 'ch']",8,7.0,False,7,6.5,False,7,False,4,21,0
Behindertensport,"['Behind', 'ert', 'ens', 'port']",4,"['Behind', 'ert', 'ens', 'port']",4,"['▁Be', 'hind', 'ert', 'ens', 'port']",5,4.333333333333333,False,4,4.0,True,4,False,5,16,0
Tischglocke,"['T', 'isch', 'g', 'lock', 'e']",5,"['T', 'isch', 'gl', 'ocke']",4,"['▁T', 'isch', 'g', 'lock', 'e']",5,4.666666666666667,False,5,4.5,False,5,False,4,11,0
Bergarbeitersiedlung,"['B', 'erg', 'arbeit', 'ers', 'ied', 'lung']",6,"['Ber', 'gar', 'beit', 'ers', 'ied', 'lung']",6,"['▁Ber', 'gar', 'beit', 'ers', 'ied', 'lung']",6,6.0,True,6,6.0,True,6,False,4,20,0
Kupfermine,"['K', 'up', 'fer', 'mine']",4,"['K', 'up', 'fer', 'mine']",4,"['▁K', 'up', 'fer', 'mine']",4,4.0,True,4,4.0,True,4,False,4,10,0
Doppelvergaser,"['D', 'oppel', 'ver', 'g', 'aser']",5,"['Do', 'ppel', 'verg', 'aser']",4,"['▁Do', 'ppel', 'ver', 'gas', 'er']",5,4.666666666666667,False,5,4.5,False,5,False,5,14,0
Präbende,"['Pr', 'Ã¤', 'b', 'ende']",4,"['Pr', 'ä', 'b', 'ende']",4,"['▁Pr', 'ä', 'ben', 'de']",4,4.0,True,4,4.0,True,4,False,4,8,0
