word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
위층,"위층 기단은 아래층과 마찬가지로 모서리마다 기둥 모양을 새기고, 면의 가운데에는 기둥 2개를 조각하였다.",13,4,"['ìľĦ', 'ì¸µ']",2,0
초헌,진찬 ― 강시 ― 참신 ― 초헌 등의 절차는 모두 가제(家祭)와 같다.,12,4,"['ì´Ī', 'íĹĮ']",2,0
정크,"그 외에도 인민해방군은 정크 선박 20척, 포 1문, 기관총 10정, 그리고 다른 화기 194정을 노획했다.",15,5,"['ìłķ', 'íģ¬']",2,0
악셀,이 소설은 악셀(Axel)의 시점으로 쓰인 1인칭 주인공 시점이다.,8,5,"['ìķħ', 'ìħĢ']",2,0
육안,"그 지점에서, 미세 혈흔을 어둠 속에서 발광시켜 육안 확인을 가능하게 하는, 루미놀 약을 이용한 검증을 실시했다.",16,4,"['ìľ¡', 'ìķĪ']",2,0
막간,인기 배우였던 이애리수도 막간 가수로 활동하다가 자연스럽게 음반을 취입하였다.,9,5,"['ë§ī', 'ê°Ħ']",2,0
대진,32강전 32강전 대진 추첨은 2021년 2월 21일 19:30 (프랑스 본토 겨울 표준시UTC+1 기준)에 외로스포르(프랑스)에서 생중계되었다.,15,4,"['ëĮĢ', 'ì§Ħ']",2,0
엽전,"엽전 고양이 (小判猫, こばんねこ） 에도를 섬기는 은밀 집단 「닌자 고양이」의 두령.「힘내라 고에몬 외전 사라진 황금 담뱃대」로부터의 게스트 출연.",18,4,"['ìĹ½', 'ìłĦ']",2,0
힌두,마하바라타의 등장인물 인도 신화의 종족 불교의 신 힌두 신 힌두 악신 풍양신 수호의 신 정령 괴물 야크샤 왕국,18,5,"['íŀĮ', 'ëĳĲ']",2,0
음극,"이 때, 산화가 일어나는 전극을 산화전극 또는 음극(anode), 환원이 일어나는 전극을 환원전극 또는 양극(cathode)이라고 한다.",15,4,"['ìĿĮ', 'ê·¹']",2,0
셰일,러시아-사우디아라비아 간 유가전쟁으로 미 증시가 급락했으며 특히 미국 내 셰일 오일 사업자에게 큰 충격을 가져왔다.,15,5,"['ìħ°', 'ìĿ¼']",2,0
귀로,방송 프로그램 청춘진행시 (2009~2019) 33고사관 (2011) 신편집부고사 (2013) 상애천사천년 (2015) 일곡삼생 (2018) 여심리사 (2021) 귀로 (2022) 군자맹 (2023) 신생 (2023),20,6,"['ê·Ģ', 'ë¡ľ']",2,0
오너,"주요 인물 김준면 : 이유찬 역 (아역 남기원) - 넥스트인 CEO, 천재 프로그래머 하연수 : 김보라 역 - 취업준비생, 알파고급 암기력 오창석 : 민태주 역 - 넥스트인 부사장, 유찬의 공동창업자 김예원 : 민태라 역 - 큐레이터, 갤러리 오너, 태주의 동생",40,5,"['ìĺ¤', 'ëĦĪ']",2,0
외박,외박(外泊)은 병사들이 군복무기간중 재영하는 군부대에서 1박 2일로 나오는 일이다.,9,6,"['ìĻ¸', 'ë°ķ']",2,0
누룩,"술은 누룩과 곡물을 섞어 발효시켜 만드는데 누룩 대신 엿기름을 사용하면 단맛이 나는 식혜가 되는데 다른 이름으로 단술, 감주 등이 있다.",20,6,"['ëĪĦ', 'ë£©']",2,0
풀빛,"시선집 《풀잎》(민음사, 1974) 《붉은 강》(풀빛, 1984) 《우리가 물이 되어》(1986) 《그대는 깊디 깊은 강》(미래사, 1991)",14,4,"['íĴĢ', 'ë¹Ľ']",2,0
비스킷,오스트레일리아의 후식 뉴질랜드의 후식 코코넛 요리 곡물 요리 비스킷 오스트레일리아 뉴질랜드 군단,12,5,"['ë¹ĦìĬ¤', 'íĤ·']",2,0
침구,"1437년 여름에 침구(針灸)를 전문으로 하는 업종(業種)을 둘 것을 건의하여 창설(創設)하였고, 가을에 중추원사(中樞院使)로 승진하였다.",13,4,"['ì¹¨', 'êµ¬']",2,0
화공,"원래는 화공 집안인 카노파 출신인 카노 에이쿄(狩野永恭)이라 하였는데, 레이제이가에 무단으로 「레이제이」의 가명(家名)과 돌림자인 「為」를 사용해서 레이제이 타메치카(冷泉為恭)라고 자칭하였다.",18,6,"['íĻĶ', 'ê³µ']",2,0
곡절,"노래의 유래와 확산의 곡절 1964년 12월 또는 1965년 1월, 동경에술좌가 공연한 노연(労演)주최 무대 작품으로 스미이 스에의 『다리 없는 강』을 공연했다.",20,5,"['ê³¡', 'ìłĪ']",2,0
사쿄,"아버지는 다카쿠지 몬세키 가신 츠자키 사쿄, 오빠는 다카쿠지 몬세키 제다이부 츠자키 모토노리이다.",12,5,"['ìĤ¬', 'ì¿Ħ']",2,0
종편,"김재영 충남대학교 언론정보학과 교수는 ""종편 채널은 가히 ‘미디어계의 4대강 사업’이다. 정치논리를 빼곤 추진 동기가 석연치 않고, 긍정적 효과는 찾기 힘들고 폐해만 예견된다""라고 비판하였다.",23,5,"['ì¢ħ', 'íİ¸']",2,0
주정,"진리(Правда)와 오류(Ошибка): 진리는 주정(主情)적이거나, 고정된 무언가가 아니며, 실천 없이 예견할 수 있는 것이 아니다.",14,4,"['ì£¼', 'ìłķ']",2,0
막료,"그의 막료 중 한 사람이었던 설랑은 이 사실을 자신의 친구이자 진해군 번진의 장수인 유호(劉浩)에게 알렸고, 그에게 수하 장병들에게 조금이라도 주의할 것을 명령하라고 경고하였는데, 유호는 “우리가 반란만 일으킨다면, 오직 죽음을 면할 수 있을 뿐이다!” 라고 말했다.",35,4,"['ë§ī', 'ë£Į']",2,0
할매,"홍조의 사람들 이용녀: 용 할매 역 - 앵초를 살려준 인물, 무당.",11,4,"['íķł', 'ë§¤']",2,0
배드,영화 더 배드 배치 (2016년) 누디티 리콰이어드 (2003년) 무서운 영화 (2000년),11,6,"['ë°°', 'ëĵľ']",2,0
외손,이때 간원이 민씨의 출신이 성종의 외손 집안이니 선발에서 제외하라고 간하였지만 선조가 윤허하지 않았다.,13,4,"['ìĻ¸', 'ìĨĲ']",2,0
극대,극대 그래프 이론()은 그래프의 크기에 관련된 각종 불변량들 사이의 부등식 및 이러한 부등식을 포화시키는 그래프들을 찾는다.,16,5,"['ê·¹', 'ëĮĢ']",2,0
환불,"또한 영주시외버스터미널에서 구입한 표를 풍기IC터미널에서 환불 및 교환이 불가하고, 또 그 반대의 경우에도 마찬가지이며, 그러한 승차권으로 상호 터미널에서 승차할 수 없다.",21,5,"['íĻĺ', 'ë¶Ī']",2,0
정론,"반면 분위기를 읽지 않은 발언이나 자신만을 예외로 놓는 발언, 내용이 없는 정론 등을 반복해 자주 듣는 사람을 화나게 한다.",19,4,"['ìłķ', 'ë¡ł']",2,0
조우,그녀는 외삼촌의 은혜를 추념하여 조준(趙俊)으로 하여금 고관에 현임되도록 하고 조준의 형 조우(趙虞)의 딸 조찬(趙粲)으로 하여금 후궁에 들어와 부인(夫人)이 되게 하였다.,20,5,"['ì¡°', 'ìļ°']",2,0
정종,"이름은 정(貞), 어머니는 신명순성왕후 유씨(神明王后劉氏)이며, 태자 태, 정종 요, 광종 소의 친동생이다.",12,4,"['ìłķ', 'ì¢ħ']",2,0
