word,typo_tokens,splitted_typo_tokens,typo_type,same_token_num,same_token_num2,freq,freq_quantile,word_len,typo_word_len
sure,sre,"['s', 're']",deletion,True,True,4,0,4,3
align,aliegn,"['ali', 'e', 'gn']",insertion,True,True,9,0,5,6
mania,maniua,"['ma', 'ni', 'ua']",insertion,False,True,4,0,5,6
squeeze,squeehe,"['s', 'quee', 'he']",substitution,False,True,4,0,7,7
toast,toazst,"['toa', 'z', 'st']",insertion,False,True,10,0,5,6
dispatcher,disvatcher,"['dis', 'vat', 'c', 'h', 'er']",substitution,False,True,10,0,10,10
placer,plcer,"['pl', 'cer']",deletion,False,False,7,0,6,5
ssp,ssjp,"['ss', 'jp']",insertion,False,False,5,0,3,4
dojo,dzjo,"['dz', 'jo']",substitution,False,False,5,0,4,4
invalid,inalid,"['in', 'ali', 'd']",deletion,True,True,4,0,7,6
embedding,emhbedding,"['em', 'h', 'b', 'edd', 'ing']",insertion,True,True,6,0,9,10
mitt,mtt,"['m', 'tt']",deletion,True,True,4,0,4,3
lux,lu,"['l', 'u']",deletion,True,True,5,0,3,2
complete,codmplete,"['c', 'od', 'mpl', 'e', 'te']",insertion,True,True,8,0,8,9
collect,cojllect,"['c', 'o', 'jl', 'le', 'ct']",insertion,True,True,9,0,7,8
scalar,scafar,"['sc', 'afa', 'r']",substitution,True,True,4,0,6,6
prod,prov,"['pro', 'v']",substitution,True,True,9,0,4,4
more,morre,"['mor', 're']",insertion,True,True,5,0,4,5
duct,doct,"['do', 'ct']",substitution,False,True,10,0,4,4
lash,lasfh,"['las', 'fh']",insertion,False,True,6,0,4,5
ointment,ontment,"['ont', 'ment']",deletion,False,True,4,0,8,7
hen,han,"['h', 'an']",substitution,True,True,6,0,3,3
inline,iinline,"['ii', 'nl', 'i', 'ne']",insertion,True,True,7,0,6,7
asks,askfs,"['ask', 'fs']",insertion,True,True,7,0,4,5
decimal,decial,"['de', 'cial']",deletion,True,True,4,0,7,6
upper,uppr,"['upp', 'r']",deletion,True,True,10,0,5,4
facebook,fucebook,"['fu', 'ceb', 'o', 'ok']",substitution,True,True,6,0,8,8
tra,trq,"['tr', 'q']",substitution,True,True,4,0,3,3
charging,chargng,"['c', 'har', 'gn', 'g']",deletion,False,True,8,0,8,7
ccc,cca,"['cc', 'a']",substitution,False,True,6,0,3,3
solver,sodlver,"['so', 'dl', 'ver']",insertion,False,True,9,0,6,7
your,yeur,"['y', 'eur']",substitution,True,True,4,0,4,4
rang,raog,"['ra', 'og']",substitution,True,True,7,0,4,4
jours,jourcs,"['jour', 'cs']",insertion,True,True,10,0,5,6
secondary,secondxry,"['se', 'con', 'dx', 'ry']",substitution,True,True,9,0,9,9
mise,mist,"['mi', 'st']",substitution,True,True,4,0,4,4
meteor,meteo,"['met', 'eo']",deletion,True,True,6,0,6,5
tres,taes,"['t', 'aes']",substitution,True,True,6,0,4,4
posta,pfosta,"['pf', 'osta']",insertion,False,True,5,0,5,6
peg,per,"['pe', 'r']",substitution,False,True,8,0,3,3
guess,guesd,"['gue', 'sd']",substitution,True,True,6,0,5,5
stub,snub,"['sn', 'ub']",substitution,True,True,9,0,4,4
write,wrte,"['wr', 'te']",deletion,True,True,7,0,5,4
thermal,themal,"['t', 'hem', 'al']",deletion,True,True,7,0,7,6
tester,teter,"['t', 'eter']",deletion,False,True,10,0,6,5
react,readt,"['re', 'adt']",substitution,True,True,5,0,5,5
safe,sae,"['s', 'ae']",deletion,True,True,6,0,4,3
ounce,oudce,"['oud', 'ce']",substitution,False,True,10,0,5,5
xxx,xx,"['x', 'x']",deletion,False,True,4,0,3,2
automatic,automtic,"['au', 'to', 'mt', 'i', 'c']",deletion,True,True,4,0,9,8
