word,tokens,token_num,freq,freq_quantile,label
externus,"['▁extern', 'us']",2,4.0,0.0,realword
fling,"['▁fl', 'ing']",2,5.0,0.0,realword
presiding,"['▁pres', 'iding']",2,4.0,0.0,realword
ferrule,"['▁fer', 'rule']",2,4.0,0.0,realword
hyperactivity,"['▁hyper', 'activity']",2,5.0,0.0,realword
decodes,"['▁dec', 'odes']",2,4.0,0.0,realword
mistook,"['▁mist', 'ook']",2,4.0,0.0,realword
cadaver,"['▁cada', 'ver']",2,5.0,0.0,realword
attic,"['▁att', 'ic']",2,5.0,0.0,realword
flee,"['▁fle', 'e']",2,4.0,0.0,realword
magnetite,"['▁magnet', 'ite']",2,4.0,0.0,realword
codice,"['▁cod', 'ice']",2,4.0,0.0,realword
mustang,"['▁must', 'ang']",2,5.0,0.0,realword
documenta,"['▁document', 'a']",2,5.0,0.0,realword
imposing,"['▁impos', 'ing']",2,5.0,0.0,realword
dobro,"['▁do', 'bro']",2,5.0,0.0,realword
funky,"['▁fun', 'ky']",2,4.0,0.0,realword
grinder,"['▁gr', 'inder']",2,4.0,0.0,realword
minivan,"['▁min', 'ivan']",2,4.0,0.0,realword
idealization,"['▁ideal', 'ization']",2,5.0,0.0,realword
glauca,"['▁gla', 'uca']",2,4.0,0.0,realword
moai,"['▁mo', 'ai']",2,4.0,0.0,realword
machi,"['▁mach', 'i']",2,5.0,0.0,realword
overproduction,"['▁over', 'production']",2,4.0,0.0,realword
landform,"['▁land', 'form']",2,5.0,0.0,realword
rapier,"['▁rap', 'ier']",2,4.0,0.0,realword
preach,"['▁pre', 'ach']",2,4.0,0.0,realword
armatus,"['▁arm', 'atus']",2,4.0,0.0,realword
doings,"['▁do', 'ings']",2,4.0,0.0,realword
kidnap,"['▁kid', 'nap']",2,4.0,0.0,realword
libation,"['▁lib', 'ation']",2,4.0,0.0,realword
tipi,"['▁tip', 'i']",2,4.0,0.0,realword
locomotor,"['▁locomot', 'or']",2,4.0,0.0,realword
scrum,"['▁sc', 'rum']",2,4.0,0.0,realword
masse,"['▁mas', 'se']",2,4.0,0.0,realword
knockdown,"['▁knock', 'down']",2,5.0,0.0,realword
wingsuit,"['▁wings', 'uit']",2,5.0,0.0,realword
chantry,"['▁ch', 'antry']",2,4.0,0.0,realword
backswing,"['▁back', 'swing']",2,4.0,0.0,realword
shellfish,"['▁shell', 'fish']",2,4.0,0.0,realword
reigning,"['▁reign', 'ing']",2,4.0,0.0,realword
ageing,"['▁age', 'ing']",2,5.0,0.0,realword
rotary,"['▁rot', 'ary']",2,5.0,0.0,realword
outlier,"['▁out', 'lier']",2,4.0,0.0,realword
coincident,"['▁coinc', 'ident']",2,4.0,0.0,realword
tanner,"['▁t', 'anner']",2,5.0,0.0,realword
upcoming,"['▁up', 'coming']",2,5.0,0.0,realword
populaires,"['▁popul', 'aires']",2,4.0,0.0,realword
lama,"['▁l', 'ama']",2,5.0,0.0,realword
soot,"['▁so', 'ot']",2,4.0,0.0,realword
lain,"['▁la', 'in']",2,4.0,0.0,realword
subtext,"['▁sub', 'text']",2,5.0,0.0,realword
ceste,"['▁c', 'este']",2,5.0,0.0,realword
shaking,"['▁sh', 'aking']",2,5.0,0.0,realword
czar,"['▁cz', 'ar']",2,5.0,0.0,realword
romana,"['▁rom', 'ana']",2,4.0,0.0,realword
foliot,"['▁fol', 'iot']",2,4.0,0.0,realword
damaging,"['▁dam', 'aging']",2,5.0,0.0,realword
benjamin,"['▁ben', 'jamin']",2,4.0,0.0,realword
paradis,"['▁parad', 'is']",2,4.0,0.0,realword
ochre,"['▁och', 're']",2,5.0,0.0,realword
militum,"['▁milit', 'um']",2,4.0,0.0,realword
tiller,"['▁till', 'er']",2,5.0,0.0,realword
complies,"['▁comp', 'lies']",2,5.0,0.0,realword
quieter,"['▁qui', 'eter']",2,5.0,0.0,realword
woodsball,"['▁woods', 'ball']",2,5.0,0.0,realword
desist,"['▁des', 'ist']",2,4.0,0.0,realword
irregularis,"['▁irregular', 'is']",2,4.0,0.0,realword
haunt,"['▁ha', 'unt']",2,5.0,0.0,realword
utc,"['▁ut', 'c']",2,4.0,0.0,realword
acumen,"['▁ac', 'umen']",2,5.0,0.0,realword
vilification,"['▁vil', 'ification']",2,4.0,0.0,realword
francor,"['▁fran', 'cor']",2,5.0,0.0,realword
pasty,"['▁past', 'y']",2,4.0,0.0,realword
dfbr,"['▁df', 'br']",2,5.0,0.0,realword
refiner,"['▁ref', 'iner']",2,5.0,0.0,realword
dipole,"['▁di', 'pole']",2,4.0,0.0,realword
