word,selected_sentence,sentence_length,original_frequency,tokens,token_num
people,"Demographics As of the census of 2000, there were 364 people, 87 households, and 80 families residing in the CDP.",20,12815,['▁people'],1
year,"On 1 July 2015, Méndez signed a four-year deal with neighbouring Granada CF after suffering relegation with Almería.",18,11940,['▁year'],1
film,"Fox and the 1985 film Back to the Future during his ""nonsense"" conference room meeting.",15,11356,['▁film'],1
time,He has also employed his wife as his part-time constituency secretary.,11,10655,['▁time'],1
season,Alonso entered the 2009 season ranked as the number one overall prospect in the Reds organization by Baseball America.,19,8079,['▁season'],1
player,"In 2017, Durkin made Team USA and won MLL Defensive Player of the Year for the Launch.",17,8036,['▁player'],1
team,"Revolution Racing came 2nd overall, which means they will collaborate with a Malaysian team and compete in the world finals.",20,7999,['▁team'],1
part,The subtitles and everything else included in the video are part of its concept.,14,7277,['▁part'],1
game,"In the next game, Clayton Kershaw was dominant, striking out 11 in a two-hit shutout of the Detroit Tigers.",19,6822,['▁game'],1
member,"Since 1975, he was a member of the Bavarian Academy of Arts and Sciences, Munich, Germany.",16,6635,['▁member'],1
school,The board claimed that Hrudka had been a factor in the North Central Association downgrading the school's rating.,18,6453,['▁school'],1
album,"The band held a democratic vote, and they decided to include the song in their album repertoire.",17,6119,['▁album'],1
work,"Unfortunately, these three sources are exceedingly difficult to work with.",10,5974,['▁work'],1
series,Zahn's character is based on series consultant Davis Rogan and shares his first name.,14,5950,['▁series'],1
family,"Melitaea trivia, the lesser spotted fritillary, is a butterfly of the family Nymphalidae, part of the sub-family Nymphalinae.",18,5907,['▁family'],1
area,"The new square is a single tier area, including the re-creation of an ancient border which once divided Nottingham.",19,5677,['▁area'],1
name,"A corridor name, ""Non-corridor projects"", is below the corridor names.",10,5554,['▁name'],1
group,"According to the group, the IDF did not respond to its request for more information on the strike.",18,5303,['▁group'],1
state,"Before the mineral rushes, most Free State and Transvaal Boers were subsistence farmers.",13,5297,['▁state'],1
number,"There are 1,340 recoveries, bringing the total number of recoveries to 4,410,499.",12,5115,['▁number'],1
city,"Its queen cast a spell over the city, for whatever she says becomes reality.",14,5059,['▁city'],1
life,"Early life Evans was educated at St Gregory's College, Campbelltown, where he represented 1993 Australian Schoolboys.",16,4886,['▁life'],1
station,"In that time, there was another station named Luoma, located about a kilometer more towards Helsinki.",16,4840,['▁station'],1
company,"And, Butler wrote ""Wonder What You'll Do When I'm Gone"" for Waylon Jennings, putting the company on the map.",19,4749,['▁company'],1
men,Final classification References Men's Road Race UCI Road World Championships – Men's road race,14,4742,['▁men'],1
song,"The band held a democratic vote, and they decided to include the song in their album repertoire.",17,4618,['▁song'],1
football,players English Football League players English Football League representative players,10,4589,['▁football'],1
career,"Gavriel has been successful in Bahrain, Cyprus, Tunisia, among other countries during his career, winning championships with several local teams.",20,4456,['▁career'],1
place,2014 The 2014 Ōdō Tournament took place between September 15 and 28 and featured sixteen wrestlers.,16,4427,['▁place'],1
death,"The musician played his final concert in July 2023, approximately one month before his death.",15,4098,['▁death'],1
government,Frank Ackerman favours a high level of government intervention to provide recycling services.,13,3900,['▁government'],1
population,"ASPC-Yuma provides housing to an average population of 2,279 convicted male felons.",12,3884,['▁population'],1
system,In the Pinyin system of Chinese romanization ì is an i with a falling tone.,15,3872,['▁system'],1
day,"One day while playing together, She is knocked down by a prince who takes her home to nurse her.",19,3868,['▁day'],1
music,"In November 2002, Kubálek was recognized by the Czech Music Council with a UNESCO honorary award.",16,3807,['▁music'],1
club,Out of favour midfielder Arnaud Mendy was released by the club on 27 December.,14,3799,['▁club'],1
book,"He published a book on how immigrants needed to be ""americanized"" into a single uniform culture.",16,3784,['▁book'],1
century,Many personal names of a pre-conquest character appear in charters that date from the 11th to the 13th century.,19,3761,['▁century'],1
history,"These immigrants began the history of Western Australia as a British colony, then as a state of federal Australia.",19,3738,['▁history'],1
village,There is at present no public transport regularly to or from the village.,13,3728,['▁village'],1
end,"At the end of 2015, it was announced that Azzopardi would replace Wendy Kingston as news presenter for Weekend Today.",20,3649,['▁end'],1
building,After Lithuanian Independence the building was returned to Lithuanian Jewish community and synagogue listed as protected building.,17,3603,['▁building'],1
district,Geography Zagornye Kletya is located 19 km northwest of Sharan (the district's administrative centre) by road.,16,3572,['▁district'],1
town,"During the occupation, the Germans also established and operated a Nazi prison in the town.",15,3495,['▁town'],1
service,"It has 1050 inpatient beds in 47 service units, a 58-bed intensive care unit and a 17-bed emergency unit.",19,3495,['▁service'],1
age,"The senior Holt was the youngest person ever to be popularly elected to the U.S. Senate, at age 29.",19,3488,['▁age'],1
home,"One day while playing together, She is knocked down by a prince who takes her home to nurse her.",19,3485,['▁home'],1
band,"The band held a democratic vote, and they decided to include the song in their album repertoire.",17,3440,['▁band'],1
line,Geography Khao Kala is a line of low mountains shaped like an inverted coconut shell.,15,3409,['▁line'],1
television,"Central Television used the original version, but quickly decided to revise the ident with many variations linked to their branding.",20,3282,['▁television'],1
election,Later career Clark was blocked by Ruth Davidson from standing at the 2021 Scottish Parliament election.,16,3250,['▁election'],1
country,"Billboard Hot Country Singles & Tracks for the week of November 18, 1995.",13,3133,['▁country'],1
son,Zamindar wants to get his son Vinod married to Vedachellam's daughter Rasathi (Sukanya).,13,3089,['▁son'],1
woman,"1897: The National American Woman Suffrage Association begins publishing the National Suffrage Bulletin, edited by Carrie Chapman Catt.",18,2982,['▁woman'],1
record,"He finished the year with a 10–5 win–loss record, an ERA of 2.57 and 121 strikeouts in 128 innings.",19,2930,['▁record'],1
event,And in 1991 the most famous event happened: between representatives of both martial arts.,14,2895,['▁event'],1
footballer,Sandro Carlos Sotilli (born 18 August 1973) is a Brazilian retired footballer.,12,2867,['▁footballer'],1
world,"Revolution Racing came 2nd overall, which means they will collaborate with a Malaysian team and compete in the world finals.",20,2862,['▁world'],1
title,"The title and theme music of this segment comes from the 1981 song ""Who Can It Be Now?""",18,2860,['▁title'],1
order,Julia convinces Dodee to keep what they saw a secret in order to protect the children.,16,2836,['▁order'],1
community,"McWhorter is an unincorporated community in southern Douglas County, Georgia, United States.",12,2820,['▁community'],1
church,"The church suffered from a fire, and the structures here were razed in 1927.",14,2776,['▁church'],1
case,This case dragged former Director General of Regional Autonomy Oentarto Sindung Mawardi and a number of regional heads to prison.,20,2757,['▁case'],1
law,He was a Visiting Professor of Law at Georgetown University from 1962 to 1967.,14,2638,['▁law'],1
role,The role of Sona is played by TV actor Hamid Rana and Chandi (Sheeba Hassan).,15,2607,['▁role'],1
student,Submission must be made to the Office of Student Awards.,10,2571,['▁student'],1
program,"The program ended on December 31, 2020, but many free courses on Coursera remain available through auditing.",17,2552,['▁program'],1
point,"At one point, Jungkook opens the door to the Omelas, as he reunites with the other members.",17,2550,['▁point'],1
show,"The tour was described by The Guardian as ""an all-round aesthetic explosion and gargantuan visual show"".",16,2531,['▁show'],1
production,Production electric cars Soul EV Subcompact crossover sport utility vehicles Cars introduced in 2014,14,2502,['▁production'],1
site,History Early settlement The area around Baraboo was the site of a Kickapoo village as early as 1665.,18,2496,['▁site'],1
center,It was a modification center for fleet aircraft before they were sent to the fleet.,15,2490,['▁center'],1
house,This house is marked on a 1790 map of Dedham.,10,2467,['▁house'],1
side,It was certainly uncommon for a minister to reveal a poetic side that included talk of lovemaking.,17,2449,['▁side'],1
father,His father was a laborer and his mother was a school crossing guard.,13,2427,['▁father'],1
race,"They had a similar year in 2008, winning once at the spring Martinsville race but improving to eighth in points.",20,2421,['▁race'],1
use,"The band was named to make use of the fame of its most well-known member, singer Valery Kipelov.",18,2402,['▁use'],1
version,"Outside France, Giono's best-known work is probably the short story The Man who Planted Trees (and 1987 film version).",19,2318,['▁version'],1
art,Kagawa Prefectural Higashiyama Kaii Setouchi Art Museum () is an art museum dedicated to Japanese painting master Kaii Higashiyama.,19,2318,['▁art'],1
water,Hold eyelids open and flush the area with water for at least thirty minutes if eyes are affected.,18,2314,['▁water'],1
position,Fred Lorenzen would qualify for the pole position by virtue of driving up to during his solo qualifying session.,19,2303,['▁position'],1
war,As a prisoner of war in the Soviet Union he later came into British internment.,15,2290,['▁war'],1
politician,"The campaign was the idea of Conservative politician Rory Stewart, MP for Penrith and The Border.",16,2271,['▁politician'],1
director,"From 1923, under the second Yamamoto and the Kiyoura administrations, he served as Assistant Director-General of the Cabinet Legislation Bureau.",20,2270,['▁director'],1
match,"During the match, home fans snatched a Thai flag, stepped and sat on it.",14,2268,['▁match'],1
episode,"The white teddy bears at the end of the episode have been read as a reference to ""White Bear"".",19,2263,['▁episode'],1
track,Personnel Track numbers refer to CD and digital releases of the album.,12,2257,['▁track'],1
character,Many personal names of a pre-conquest character appear in charters that date from the 11th to the 13th century.,19,2250,['▁character'],1
period,The iconic trading post and tavern was closed and fenced off just before the peak Christmas period.,17,2250,['▁period'],1
education,"Education There are two institutes of higher education in Padang, i.e.",11,2213,['▁education'],1
party,"Logic drives off, and the video ends with the party scene once again.",13,2205,['▁party'],1
development,"Research and development for the new plane will be conducted in Moscow, and it will be assembled in Shanghai.",19,2200,['▁development'],1
power,Further power efficiency can be gained utilizing deterministic sleep periods for client devices.,13,2183,['▁power'],1
field,Seven of the team's sixteen games were decided by a field goal or less.,14,2165,['▁field'],1
way,One way traditional gender roles are perpetuated in Venezuelan society is through the Miss Universe Pageant.,16,2154,['▁way'],1
list,"List |} Key Notes References All entries, addresses and coordinates are based on data from Historic Scotland.",17,2152,['▁list'],1
land,"Out of the forested land, all of the forested land area is covered with heavy forests.",16,2151,['▁land'],1
video,Music video A music video was made for the song's 1982 reissue.,12,2115,['▁video'],1
region,"Hajdúság is a historical and geographical region in Hungary, located in the Great Hungarian Plain around Debrecen.",17,2108,['▁region'],1
story,"The app includes a story mode, which will be unfolded chapter by chapter in subsequent updates.",16,2102,['▁story'],1
artist,I'll Be Lightning is the 2007 debut album by New Zealand artist Liam Finn.,14,2084,['▁artist'],1
form,"Culturally and religiously conservative, many went on to form the core of the revolution's demonstrators and ""martyrs"".",17,2046,['▁form'],1
level,Frank Ackerman favours a high level of government intervention to provide recycling services.,13,2040,['▁level'],1
round,Third round leader Doug Sanders shot 73 (+3) on Sunday and finished two strokes back in a tie for third.,20,2020,['▁round'],1
male,"ASPC-Yuma provides housing to an average population of 2,279 convicted male felons.",12,2009,['▁male'],1
body,"Billie runs and eventually kills her in fear, burying the body in the backyard.",14,2001,['▁body'],1
study,A study on the anatomy and phylogenetic relationships of Paliguana whitei is published by Ford et al.,17,1990,['▁study'],1
