word,typo_tokens,splitted_typo_tokens,typo_type,same_token_num,same_token_num2,freq,freq_quantile,word_len,typo_word_len
Adult,Adul,"['Ad', 'ul']",deletion,False,True,5,0,5,4
Nickname,Nicknaöe,"['Nick', 'n', 'a', 'ö', 'e']",substitution,False,True,4,0,8,8
rot,rt,"['r', 't']",deletion,True,True,6,0,3,2
online,onine,"['o', 'nine']",deletion,True,True,4,0,6,5
Electro,Electo,"['Ele', 'c', 'to']",deletion,False,False,4,0,7,6
Ich,Inh,"['In', 'h']",substitution,True,True,5,0,3,3
het,he,"['h', 'e']",deletion,True,True,5,0,3,2
Ordinate,Ordinwate,"['Or', 'din', 'w', 'ate']",insertion,False,False,5,0,8,9
state,stat,"['sta', 't']",deletion,True,True,5,0,5,4
Extension,Extkension,"['E', 'xt', 'ke', 'ns', 'ion']",insertion,False,True,6,0,9,10
Time,Tive,"['T', 'ive']",substitution,True,True,6,0,4,4
Spiral,Spira,"['Sp', 'ira']",deletion,False,False,4,0,6,5
Namespace,Namespaae,"['Names', 'pa', 'a', 'e']",substitution,False,True,5,0,9,9
Push,Pusah,"['Pu', 'sah']",insertion,False,True,4,0,4,5
Rover,Riover,"['Ri', 'over']",insertion,False,False,4,0,5,6
temperatur,temperatr,"['t', 'e', 'mp', 'era', 'tr']",deletion,False,False,4,0,10,9
Ratio,Ratino,"['R', 'at', 'ino']",insertion,False,True,5,0,5,6
Jupiter,Juapiter,"['J', 'ua', 'pi', 'ter']",insertion,False,False,5,0,7,8
Barrel,Barkel,"['B', 'ar', 'kel']",substitution,False,False,5,0,6,6
Storyboard,Storfyboard,"['Stor', 'fy', 'board']",insertion,False,True,5,0,10,11
Page,Pge,"['P', 'ge']",deletion,True,True,6,0,4,3
finden,finen,"['fin', 'en']",deletion,False,False,5,0,6,5
Slots,Sldots,"['S', 'ld', 'ots']",insertion,False,True,4,0,5,6
MMA,MA,"['M', 'A']",deletion,False,False,5,0,3,2
Scheduling,Schewduling,"['Sch', 'e', 'w', 'd', 'uling']",insertion,False,False,5,0,10,11
Feed,Fed,"['Fe', 'd']",deletion,False,True,6,0,4,3
EPS,ES,"['E', 'S']",deletion,False,True,4,0,3,2
Pack,Pxck,"['Px', 'ck']",substitution,True,True,4,0,4,4
inner,ixner,"['ix', 'ner']",substitution,True,True,6,0,5,5
situ,sitau,"['sit', 'au']",insertion,False,False,4,0,4,5
Wire,Wir,"['W', 'ir']",deletion,False,True,6,0,4,3
Span,San,"['S', 'an']",deletion,True,True,6,0,4,3
Chart,Csart,"['Cs', 'art']",substitution,True,True,5,0,5,5
Music,Musuc,"['Mus', 'uc']",substitution,True,True,4,0,5,5
MeV,MV,"['M', 'V']",deletion,False,False,4,0,3,2
Keeper,Keper,"['Kep', 'er']",deletion,False,True,6,0,6,5
Script,Scbipt,"['Sc', 'bi', 'pt']",substitution,True,True,6,0,6,6
Posting,Postiüg,"['Po', 'sti', 'ü', 'g']",substitution,False,True,4,0,7,7
typen,typeon,"['ty', 'pe', 'on']",insertion,False,False,4,0,5,6
positions,poxsitions,"['p', 'o', 'xs', 'itions']",insertion,True,True,4,0,9,10
Dealer,Dealez,"['D', 'ea', 'lez']",substitution,False,True,5,0,6,6
Cast,Caslt,"['Cas', 'lt']",insertion,True,True,6,0,4,5
Make,Mke,"['Mk', 'e']",deletion,True,True,6,0,4,3
Instrumentation,Instrummentation,"['Ins', 'tru', 'mm', 'ent', 'ation']",insertion,False,False,6,0,15,16
Hab,Ha,"['H', 'a']",deletion,False,False,5,0,3,2
Location,Locaution,"['L', 'oca', 'u', 'tion']",insertion,True,True,4,0,8,9
Wellness,Wellnes,"['Wel', 'l', 'ne', 's']",deletion,False,False,4,0,8,7
nacht,ngacht,"['nga', 'cht']",insertion,False,False,5,0,5,6
Die,De,"['D', 'e']",deletion,True,True,4,0,3,2
Commerce,Comerce,"['Com', 'erce']",deletion,False,True,4,0,8,7
post,pot,"['p', 'ot']",deletion,True,True,4,0,4,3
Polit,Plolit,"['Pl', 'olit']",insertion,True,True,5,0,5,6
Mach,Msch,"['M', 'sch']",substitution,False,False,5,0,4,4
City,Cety,"['C', 'ety']",substitution,True,True,5,0,4,4
Input,Inpuxt,"['In', 'pu', 'xt']",insertion,True,True,6,0,5,6
Offline,Ofline,"['Of', 'li', 'ne']",deletion,False,True,6,0,7,6
queen,quden,"['qu', 'den']",substitution,True,True,4,0,5,5
Blind,Buind,"['Bu', 'ind']",substitution,False,False,4,0,5,5
Down,Dow,"['D', 'ow']",deletion,True,True,4,0,4,3
meer,mee,"['m', 'ee']",deletion,True,True,4,0,4,3
Cross,Czoss,"['Cz', 'oss']",substitution,True,True,4,0,5,5
MPa,MP,"['M', 'P']",deletion,False,False,5,0,3,2
Starting,Startinyg,"['Star', 'tin', 'yg']",insertion,True,True,4,0,8,9
Mods,Modk,"['Mo', 'dk']",substitution,False,True,5,0,4,4
Ultra,Ultoa,"['Ul', 'toa']",substitution,False,True,6,0,5,5
Output,Outut,"['Out', 'ut']",deletion,True,True,6,0,6,5
autor,alutor,"['alu', 'to', 'r']",insertion,True,True,6,0,5,6
Adventure,Adventeure,"['Adv', 'e', 'n', 'teur', 'e']",insertion,False,True,6,0,9,10
Ambient,Ambiont,"['Amb', 'i', 'o', 'nt']",substitution,False,False,4,0,7,7
Finder,Foinder,"['F', 'oi', 'n', 'der']",insertion,False,True,6,0,6,7
Mob,Mopb,"['Mo', 'pb']",insertion,False,True,6,0,3,4
Loader,Loade,"['Lo', 'ade']",deletion,False,True,4,0,6,5
Bridge,Brige,"['Bri', 'ge']",deletion,True,True,4,0,6,5
Effect,Effecat,"['Ef', 'fe', 'c', 'at']",insertion,True,True,5,0,6,7
Nimbus,Nimbub,"['Nim', 'bu', 'b']",substitution,False,False,5,0,6,6
wegen,weßen,"['we', 'ßen']",substitution,False,False,6,0,5,5
Titan,Titakn,"['T', 'it', 'akn']",insertion,False,True,4,0,5,6
SOS,SdS,"['Sd', 'S']",substitution,False,False,6,0,3,3
Selen,Selcen,"['Se', 'l', 'cen']",insertion,False,False,5,0,5,6
Magnitude,Magnituge,"['M', 'agni', 't', 'ug', 'e']",substitution,False,True,6,0,9,9
Joint,Jooint,"['J', 'oo', 'int']",insertion,False,True,5,0,5,6
frei,fri,"['fr', 'i']",deletion,False,True,4,0,4,3
Solar,Silar,"['Sil', 'ar']",substitution,False,True,5,0,5,5
ppt,pput,"['ppu', 't']",insertion,False,True,4,0,3,4
else,elqe,"['el', 'qe']",substitution,True,True,4,0,4,4
orten,oren,"['ore', 'n']",deletion,False,False,5,0,5,4
Determination,Deterination,"['D', 'eter', 'in', 'ati', 'on']",deletion,False,False,4,0,13,12
Bike,Bik,"['Bi', 'k']",deletion,False,False,6,0,4,3
geld,gueld,"['gu', 'eld']",insertion,False,False,4,0,4,5
Halloween,Halloweeß,"['Ha', 'l', 'lo', 'wee', 'ß']",substitution,False,False,4,0,9,9
Dock,Dopk,"['Do', 'pk']",substitution,False,True,6,0,4,4
flächen,flälhen,"['f', 'lä', 'l', 'hen']",substitution,False,False,5,0,7,7
Saat,Sat,"['S', 'at']",deletion,False,False,6,0,4,3
Meier,Mecier,"['M', 'ec', 'ier']",insertion,False,False,4,0,5,6
Base,Bae,"['Ba', 'e']",deletion,True,True,6,0,4,3
Checkpoint,Chjeckpoint,"['Ch', 'je', 'c', 'kp', 'oint']",insertion,False,True,6,0,10,11
acres,ares,"['are', 's']",deletion,False,False,6,0,5,4
Profession,Professin,"['Pr', 'o', 'f', 'ess', 'in']",deletion,False,False,4,0,10,9
Camping,Campisg,"['Camp', 'is', 'g']",substitution,False,False,4,0,7,7
Board,Bard,"['Ba', 'rd']",deletion,True,True,6,0,5,4
Triple,Tricle,"['Tr', 'ic', 'le']",substitution,False,True,4,0,6,6
Quer,Queö,"['Que', 'ö']",substitution,False,False,5,0,4,4
Sense,Sens,"['Sen', 's']",deletion,False,True,6,0,5,4
Hell,Hel,"['H', 'el']",deletion,True,True,4,0,4,3
Mehr,Meghr,"['Meg', 'hr']",insertion,False,False,6,0,4,5
Gate,Gae,"['G', 'ae']",deletion,True,True,6,0,4,3
Joystick,Joystvck,"['Jo', 'yst', 'vc', 'k']",substitution,False,False,6,0,8,8
After,Afer,"['Af', 'er']",deletion,True,True,4,0,5,4
Grazie,Grazi,"['Gr', 'azi']",deletion,False,False,4,0,6,5
Visual,Vieual,"['Vie', 'ual']",substitution,True,True,6,0,6,6
Ups,Upw,"['Up', 'w']",substitution,False,True,4,0,3,3
for,fmr,"['fm', 'r']",substitution,True,True,4,0,3,3
techn,tchn,"['tc', 'hn']",deletion,True,True,5,0,5,4
Superior,Supeior,"['Su', 'pe', 'io', 'r']",deletion,False,False,6,0,8,7
Papa,Pacpa,"['Pac', 'pa']",insertion,False,False,4,0,4,5
international,internationail,"['inte', 'rna', 'tio', 'nail']",insertion,True,True,4,0,13,14
Kenn,Knn,"['K', 'nn']",deletion,True,True,6,0,4,3
stern,stpern,"['st', 'p', 'ern']",insertion,False,False,4,0,5,6
der,dhr,"['dh', 'r']",substitution,True,True,4,0,3,3
Turbo,Turbn,"['Turb', 'n']",substitution,False,False,6,0,5,5
Aloe,Aldoe,"['Ald', 'oe']",insertion,False,False,4,0,4,5
Still,Stigll,"['S', 'ti', 'gll']",insertion,True,True,4,0,5,6
Rosa,Roa,"['Ro', 'a']",deletion,False,False,4,0,4,3
voor,vooa,"['vo', 'oa']",substitution,True,True,4,0,4,4
Centers,Cejnters,"['C', 'e', 'jn', 'te', 'rs']",insertion,False,False,6,0,7,8
