word,tokens,token_num,freq,freq_quantile,label
성소,"['성', '소']",2,6.0,0.0,realword
해동,"['해', '동']",2,4.0,0.0,realword
중보,"['중', '보']",2,5.0,0.0,realword
나한,"['나', '한']",2,5.0,0.0,realword
서도,"['서', '도']",2,5.0,0.0,realword
일세,"['일', '세']",2,6.0,0.0,realword
다트,"['다', '트']",2,4.0,0.0,realword
아만,"['아', '만']",2,4.0,0.0,realword
연타,"['연', '타']",2,5.0,0.0,realword
강주,"['강', '주']",2,4.0,0.0,realword
개강,"['개', '강']",2,4.0,0.0,realword
원우,"['원', '우']",2,6.0,0.0,realword
일군,"['일', '군']",2,5.0,0.0,realword
한강,"['한', '강']",2,6.0,0.0,realword
천서,"['천', '서']",2,4.0,0.0,realword
박대,"['박', '대']",2,6.0,0.0,realword
대내,"['대', '내']",2,4.0,0.0,realword
개산,"['개', '산']",2,5.0,0.0,realword
우하,"['우', '하']",2,5.0,0.0,realword
명자,"['명', '자']",2,6.0,0.0,realword
면도,"['면', '도']",2,5.0,0.0,realword
아부,"['아', '부']",2,5.0,0.0,realword
중역,"['중', '역']",2,6.0,0.0,realword
다자,"['다', '자']",2,5.0,0.0,realword
종지,"['종', '지']",2,6.0,0.0,realword
면식,"['면', '식']",2,6.0,0.0,realword
내상,"['내', '상']",2,5.0,0.0,realword
종보,"['종', '보']",2,4.0,0.0,realword
천왕,"['천', '왕']",2,6.0,0.0,realword
수전,"['수', '전']",2,6.0,0.0,realword
중천,"['중', '천']",2,6.0,0.0,realword
자구,"['자', '구']",2,4.0,0.0,realword
무아,"['무', '아']",2,4.0,0.0,realword
하세,"['하', '세']",2,4.0,0.0,realword
신왕,"['신', '왕']",2,6.0,0.0,realword
주원,"['주', '원']",2,6.0,0.0,realword
대방,"['대', '방']",2,6.0,0.0,realword
오문,"['오', '문']",2,5.0,0.0,realword
기방,"['기', '방']",2,4.0,0.0,realword
마제,"['마', '제']",2,5.0,0.0,realword
장년,"['장', '년']",2,6.0,0.0,realword
종국,"['종', '국']",2,4.0,0.0,realword
개학,"['개', '학']",2,6.0,0.0,realword
호인,"['호', '인']",2,6.0,0.0,realword
호일,"['호', '일']",2,5.0,0.0,realword
문민,"['문', '민']",2,6.0,0.0,realword
어명,"['어', '명']",2,6.0,0.0,realword
선식,"['선', '식']",2,6.0,0.0,realword
조대,"['조', '대']",2,4.0,0.0,realword
현인,"['현', '인']",2,6.0,0.0,realword
문해,"['문', '해']",2,4.0,0.0,realword
모조,"['모', '조']",2,5.0,0.0,realword
안대,"['안', '대']",2,5.0,0.0,realword
백중,"['백', '중']",2,5.0,0.0,realword
경하,"['경', '하']",2,6.0,0.0,realword
만장,"['만', '장']",2,4.0,0.0,realword
모공,"['모', '공']",2,6.0,0.0,realword
연연,"['연', '연']",2,5.0,0.0,realword
주신,"['주', '신']",2,5.0,0.0,realword
의기,"['의', '기']",2,5.0,0.0,realword
하교,"['하', '교']",2,5.0,0.0,realword
연차,"['연', '차']",2,6.0,0.0,realword
한로,"['한', '로']",2,5.0,0.0,realword
단상,"['단', '상']",2,6.0,0.0,realword
동선,"['동', '선']",2,6.0,0.0,realword
자조,"['자', '조']",2,4.0,0.0,realword
성호,"['성', '호']",2,4.0,0.0,realword
선스,"['선', '스']",2,5.0,0.0,realword
식전,"['식', '전']",2,6.0,0.0,realword
이명,"['이', '명']",2,6.0,0.0,realword
바드,"['바', '드']",2,4.0,0.0,realword
시식,"['시', '식']",2,4.0,0.0,realword
군화,"['군', '화']",2,4.0,0.0,realword
사어,"['사', '어']",2,6.0,0.0,realword
제화,"['제', '화']",2,5.0,0.0,realword
고미,"['고', '미']",2,5.0,0.0,realword
들개,"['들', '개']",2,6.0,0.0,realword
