word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
Westernserie,"1981 spielte er in Bret Maverick, der Neuauflage der Westernserie Maverick, neben James Garner die Rolle des Elijah Crow.",19,5,"['Western', 'serie']",2,0
Elfter,David Ludwig konnte nur Elfter werden und erreichte nicht die letzte Runde.,12,5,"['El', 'fter']",2,0
Romanserie,Six Million Dollar Man (Tie-in-Romanserie) 3 High Crystal (1974) Deutsch: Die Straße der Götter.,14,4,"['Romans', 'erie']",2,0
Preisbildung,"Kostenrechnungs-Regeln und -Richtlinien und ihre Auswirkung auf die Preisbildung, Düsseldorf 1942.",11,4,"['Preis', 'bildung']",2,0
Chartarchiv,Die Datenbank von chartsurfer.de verfügt über ein Chartarchiv ab dem 15.,11,5,"['Chart', 'archiv']",2,0
Versmaß,"Strophe 29 verwendet das Versmaß Ljóðaháttr, das für die Heldendichtung eher untypisch ist.",13,4,"['Vers', 'maß']",2,0
Razorback,"Ein Glanzpunkt des Spiels war der 51-Yard-Punt-Return-Touchdown von Razorback Joe Adams im zweiten Viertel, der Arkansas früh in Führung brachte.",20,5,"['Razor', 'back']",2,0
Originalspiel,"Neben einigen neuen psychischen Fähigkeiten kehren viele seiner Kräfte aus dem Originalspiel zurück, darunter Pyrokinese, Levitation und Telekinese.",18,4,"['Original', 'spiel']",2,0
Moratorium,"Bankschließung Die BaFin verhängte am 18. August 2010 ein Moratorium, also ein Veräußerungs- und Zahlungsverbot gegen die noa bank.",19,5,"['Mor', 'atorium']",2,0
Webcomic,Webcomic. Autor vom 14. August 2000 bis Mai 2002. http://www.megatokyo.com/.,10,5,"['Web', 'comic']",2,0
Busgesellschaft,Kalamata ist gut per Fernbusnetz der KTEL-Busgesellschaft Messeniens zu erreichen.,10,4,"['Bus', 'gesellschaft']",2,0
Nutz,"Hierbei unterscheidet man in ständig wirkende Eigenlasten und nicht ständig wirkende Nutz- und Sonderlasten, die man in verschiedenen Lastfällen zusammenstellt.",20,5,"['N', 'utz']",2,0
Textstelle,"Unsicher ist die Identität der Frau namens Hróðrglöð, die nur in dieser Textstelle erscheint.",14,5,"['Text', 'stelle']",2,0
documenta,Arnold Bodes umfangreicher Nachlass befindet sich im documenta archiv Kassel.,10,4,"['document', 'a']",2,0
Formierung,Cripps trat bereits früh für die Formierung einer Einheitsfront gegen die anwachsende Bedrohung des Faschismus ein.,16,5,"['Form', 'ierung']",2,0
Firmung,"Sie läutet zur Sakramentenspendung bei Taufe, Erstkommunion, Firmung und Hochzeit.",10,4,"['Firm', 'ung']",2,0
Islamwissenschaft,1989 wurde er in Nijmegen zum Professor für Arabistik und Islamwissenschaft berufen.,12,5,"['Islam', 'wissenschaft']",2,0
Niedergericht,"Das Tanzhaus in Andelsbuch, in dem jahrhundertelang dreimal jährlich das Niedergericht gehalten wurde, wurde zugunsten des Bahnbaues (Bregenzerwaldbahn) abgerissen.",19,4,"['Nieder', 'gericht']",2,0
Unterdimension,"Die instrumentell-qualifikatorische Unterdimension meint die Fähigkeit, neue Geräte auch bedienen zu können.",12,4,"['Unter', 'dimension']",2,0
Charity,Global Family Charity Resort e. V. ist eine touristische Hilfsorganisation.,10,5,"['Char', 'ity']",2,0
