word,selected_sentence,sentence_length,original_frequency,tokens,token_num,freq_quantile
Ballistik,"Sie mussten Arithmetik, Sprachen, Geometrie und Ballistik erlernen, ihre Söhne ins Ausland schicken und vieles mehr.",16,4,"['▁Ball', 'istik']",2,0
Huben,die Dörfer Mořina mit 30 Huben und Mořinka mit 18 Huben Land dem Prager Slawenkloster.,15,5,"['▁Hub', 'en']",2,0
Duden,Im Duden und in allgemein gültigen deutschen Wörterbüchern wird dieser Baum nach der deutschen Rechtschreibung Hängebirke geschrieben.,17,5,"['▁D', 'uden']",2,0
Speedloader,"Für Revolver gibt es Systeme, die als „Speedloader“ und „(Half) Moon Clips“ bezeichnet werden.",14,5,"['▁Speed', 'loader']",2,0
Krach,Schließlich kann mit reichlich Krach und Ablenkung das Häuschen mit dem LKW abtransportiert werden.,14,5,"['▁K', 'rach']",2,0
Filmset,Die Filmcrew lebte während der Dreharbeiten am Filmset im Kutschenhaus.,10,5,"['▁Film', 'set']",2,0
Ratio,"Die „Gold-Platin-Ratio“ gibt an, wie viele Einheiten Platin benötigt werden, um eine Einheit Gold zu kaufen.",16,5,"['▁Rat', 'io']",2,0
Öko,"2020 wurde ein neuer Hofladen an der Einfahrt des Hofes mit eigenen, regionalen Öko-Produkten und einem Bio-Vollsortiment eröffnet.",18,5,"['▁Ö', 'ko']",2,0
Schulleitung,"Der Verein gab sich zunächst den Namen „Orthodoxia“, musste sich aber auf Anordnung der Schulleitung umbenennen in den Schülerverein „Sophrosyne“.",20,4,"['▁Schul', 'leitung']",2,0
FIV,Für die Interaktion zwischen FIV gp95 und CD134 wird CXCR4 als essentieller Korezeptor benötigt.,14,4,"['▁F', 'IV']",2,0
Stimm,Der Kongress tagte öffentlich und die Vertreter der vier Stände besaßen gleiches Stimm- und Rederecht.,15,5,"['▁St', 'imm']",2,0
backen,"Durch den Wegfall von 't' und 'n' wurden zwei Besonderheiten des Afrikaans begünstigt: Die wichtigste Personenendung des Niederländischen (-t) und die Endung des Infinitivs (-en) fallen weg: bak = „backen“, „backe, bäckst, bäckt, backen, backt“, „backe!, backt!“ braai = „braten“, „brate, brätst…“, „brate!, bratet!“",44,5,"['▁back', 'en']",2,0
Superior,The Charles Hotel München ist ein 5-Sterne-Superior-Hotel im Stadtteil Maxvorstadt in München (Sophienstraße 28).,14,5,"['▁Super', 'ior']",2,0
Wissenschaftlichkeit,"MaReCuM ist einer der Pioniere für mehr Wissenschaftlichkeit im Medizinstudium, etwa mit der Junior Scientific Masterclass oder der Forschungsarbeit.",19,5,"['▁Wissenschaft', 'lichkeit']",2,0
Slots,"Viele PCs verfügen über eine Kombination von unterschiedlichen Steckplätzen, beispielsweise mehrere PCI-Slots und einen AGP-Slot.",15,4,"['▁Sl', 'ots']",2,0
Anis,"Die Fahrzeuge sollten in vier Farbtönen verkehren: Fuchsienrot, Anis, Orange und Blau.",12,4,"['▁An', 'is']",2,0
Rechtsverkehr,"Die Webanwendung e-Curia ermöglicht den elektronischen Rechtsverkehr mit den drei Gerichten, aus denen sich der Gerichtshof der Europäischen Union zusammensetzt.",20,5,"['▁Rechts', 'verkehr']",2,0
Hausrecht,So kam es erst 1561 zum Streit zwischen der Bürgerschaft und dem Stiftskapitel über das „Hausrecht“ im Dom.,18,4,"['▁Haus', 'recht']",2,0
Artikelserie,"Zudem erschien in seinen Zeitungen auch eine Artikelserie von Hermann Göring, die aber aufgrund von Protesten schnell wieder verschwand.",19,4,"['▁Artikel', 'serie']",2,0
weich,"Der Geriefte Weich-Täubling hat isoliert stehende Stacheln, die deutlich über 1 µm lang werden.",14,4,"['▁we', 'ich']",2,0
