word,splitted_tokens,same_token_num,same_token_num2,freq,freq_quantile,word_len
Chat,"['Ch', 'at']",False,True,4,0,4
Erst,"['Er', 'st']",False,False,4,0,4
kunst,"['k', 'unst']",False,False,6,0,5
Starting,"['S', 't', 'art', 'ing']",True,True,4,0,8
Nimbus,"['Nim', 'bus']",False,False,5,0,6
Moder,"['Mode', 'r']",False,True,6,0,5
Transition,"['Tra', 'n', 'sit', 'i', 'on']",False,True,4,0,10
Ultra,"['Ultr', 'a']",False,True,6,0,5
Input,"['In', 'put']",True,True,6,0,5
Lead,"['L', 'ead']",False,True,4,0,4
Mods,"['Mo', 'ds']",False,True,5,0,4
Slot,"['Sl', 'ot']",False,True,5,0,4
international,"['inte', 'rna', 'tio', 'nal']",True,True,4,0,13
Cross,"['C', 'ross']",True,True,4,0,5
Extension,"['Ext', 'ens', 'ion']",False,True,6,0,9
para,"['par', 'a']",True,True,6,0,4
Copyright,"['Co', 'pyr', 'i', 'gh', 't']",False,True,5,0,9
autor,"['auto', 'r']",True,True,6,0,5
Jupiter,"['J', 'up', 'i', 'ter']",False,False,5,0,7
finden,"['f', 'inden']",False,False,5,0,6
City,"['Ci', 'ty']",True,True,5,0,4
Offline,"['O', 'f', 'fl', 'ine']",False,True,6,0,7
voor,"['v', 'oor']",True,True,4,0,4
Memo,"['Me', 'mo']",False,True,5,0,4
Aloe,"['Al', 'oe']",False,False,4,0,4
Commission,"['Comm', 'i', 'ss', 'io', 'n']",True,True,6,0,10
Blockchain,"['B', 'l', 'ock', 'chain']",False,True,4,0,10
Race,"['Rac', 'e']",True,True,4,0,4
Workout,"['Wor', 'ko', 'u', 't']",False,False,4,0,7
rund,"['ru', 'nd']",False,False,6,0,4
Commissioner,"['Commission', 'er']",False,False,4,0,12
acht,"['ach', 't']",True,True,5,0,4
Paper,"['P', 'aper']",False,True,5,0,5
Sach,"['S', 'ach']",False,False,6,0,4
Retro,"['Ret', 'ro']",False,False,4,0,5
Metro,"['Me', 'tro']",True,True,4,0,5
Strat,"['Str', 'at']",False,False,5,0,5
Suggestion,"['Su', 'gge', 'st', 'ion']",False,False,5,0,10
Page,"['Pag', 'e']",True,True,6,0,4
Councillor,"['Cou', 'n', 'ci', 'llo', 'r']",False,False,4,0,10
Mango,"['Mang', 'o']",False,False,5,0,5
Triple,"['Tr', 'i', 'ple']",False,True,4,0,6
motor,"['mot', 'or']",True,True,4,0,5
Spinner,"['Sp', 'in', 'ner']",False,True,6,0,7
Titan,"['T', 'itan']",False,True,4,0,5
Keeper,"['Keep', 'er']",False,True,6,0,6
Nickname,"['Ni', 'ck', 'na', 'm', 'e']",False,True,4,0,8
Insider,"['I', 'n', 'si', 'der']",False,False,5,0,7
Script,"['Sc', 'rip', 't']",True,True,6,0,6
Camping,"['C', 'am', 'pin', 'g']",False,False,4,0,7
Output,"['Out', 'p', 'ut']",True,True,6,0,6
inner,"['in', 'ner']",True,True,6,0,5
Gate,"['G', 'ate']",True,True,6,0,4
Feed,"['Fe', 'ed']",False,True,6,0,4
Duck,"['Du', 'ck']",False,False,4,0,4
Base,"['Bas', 'e']",True,True,6,0,4
Visual,"['Vis', 'ual']",True,True,6,0,6
Halloween,"['Hal', 'low', 'e', 'e', 'n']",False,False,4,0,9
national,"['nat', 'ion', 'al']",True,True,4,0,8
Arche,"['Ar', 'che']",False,False,4,0,5
Scheduling,"['S', 'ched', 'u', 'l', 'ing']",False,False,5,0,10
Centers,"['Ce', 'nt', 'ers']",False,False,6,0,7
Referee,"['Ref', 'e', 'ree']",False,False,6,0,7
name,"['na', 'me']",True,True,6,0,4
Sense,"['Sen', 'se']",False,True,6,0,5
Halo,"['H', 'alo']",False,False,4,0,4
Hell,"['Hel', 'l']",True,True,4,0,4
Horizontal,"['Ho', 'r', 'iz', 'onta', 'l']",False,True,6,0,10
Joint,"['Jo', 'int']",False,True,5,0,5
Flipper,"['F', 'lipper']",False,False,4,0,7
Countdown,"['Co', 'un', 'td', 'own']",False,False,6,0,9
Binder,"['B', 'i', 'nder']",False,True,5,0,6
Blind,"['B', 'lind']",False,False,4,0,5
Initial,"['Ini', 'ti', 'a', 'l']",True,True,4,0,7
Profession,"['Prof', 'ession']",False,False,4,0,10
Oval,"['Ov', 'al']",False,False,6,0,4
Posting,"['Post', 'ing']",False,True,4,0,7
Automation,"['A', 'ut', 'o', 'mation']",False,True,4,0,10
Channel,"['Cha', 'n', 'n', 'el']",True,True,6,0,7
Altern,"['Al', 'ter', 'n']",True,True,4,0,6
Girl,"['Gi', 'rl']",True,True,4,0,4
Quarter,"['Qu', 'arter']",False,True,4,0,7
Labour,"['L', 'ab', 'our']",True,True,4,0,6
Electro,"['E', 'lec', 'tr', 'o']",False,False,4,0,7
Charge,"['Cha', 'r', 'ge']",False,True,6,0,6
Barrel,"['B', 'ar', 'rel']",False,False,5,0,6
Rover,"['Ro', 'ver']",False,False,4,0,5
Ante,"['A', 'nte']",False,False,4,0,4
osten,"['os', 'ten']",False,True,5,0,5
Convention,"['Conven', 'ti', 'on']",True,True,4,0,10
Decoder,"['De', 'code', 'r']",False,True,6,0,7
techn,"['tech', 'n']",True,True,5,0,5
Determination,"['D', 'eterm', 'ination']",False,False,4,0,13
Namespace,"['Names', 'p', 'a', 'c', 'e']",False,True,5,0,9
Pull,"['P', 'ull']",False,True,4,0,4
Flare,"['F', 'lare']",False,False,5,0,5
Arts,"['Ar', 'ts']",False,False,5,0,4
Slots,"['Slot', 's']",False,True,4,0,5
Superior,"['S', 'u', 'pe', 'ri', 'or']",False,False,6,0,8
nacht,"['nach', 't']",False,False,5,0,5
temperatur,"['tem', 'p', 'er', 'atu', 'r']",False,False,4,0,10
Bass,"['Ba', 'ss']",False,False,5,0,4
pann,"['pa', 'nn']",False,False,4,0,4
anti,"['ant', 'i']",True,True,4,0,4
Memory,"['Mem', 'ory']",True,True,4,0,6
Atlant,"['Atl', 'an', 't']",False,False,6,0,6
Polit,"['Po', 'lit']",True,True,5,0,5
gegen,"['ge', 'gen']",False,False,5,0,5
Adventure,"['A', 'dv', 'ent', 'ure']",False,True,6,0,9
Normal,"['Nor', 'm', 'al']",True,True,4,0,6
GPUs,"['GPU', 's']",False,False,5,0,4
welt,"['we', 'lt']",False,False,4,0,4
Papa,"['Pa', 'pa']",False,False,4,0,4
Wire,"['Wi', 're']",False,True,6,0,4
Tape,"['Ta', 'pe']",False,False,6,0,4
chop,"['cho', 'p']",False,False,4,0,4
Bios,"['Bi', 'os']",False,False,6,0,4
Abstract,"['Ab', 'str', 'a', 'c', 't']",True,True,4,0,8
Observation,"['Obs', 'ervation']",False,False,5,0,11
Surf,"['S', 'urf']",False,False,4,0,4
District,"['Di', 'stri', 'c', 't']",True,True,6,0,8
Cast,"['Ca', 'st']",True,True,6,0,4
situ,"['s', 'itu']",False,False,4,0,4
AIDS,"['A', 'IDS']",False,False,4,0,4
Commerce,"['Comm', 'erce']",False,True,4,0,8
After,"['A', 'fter']",True,True,4,0,5
Checkpoint,"['Ch', 'eck', 'p', 'oin', 't']",False,True,6,0,10
spielen,"['spi', 'elen']",False,False,5,0,7
gesch,"['ges', 'ch']",True,True,4,0,5
stern,"['ste', 'rn']",False,False,4,0,5
Este,"['Es', 'te']",True,True,5,0,4
Personendaten,"['Pers', 'onen', 'daten']",False,False,5,0,13
state,"['stat', 'e']",True,True,5,0,5
Latin,"['L', 'atin']",True,True,4,0,5
Tran,"['Tr', 'an']",False,False,4,0,4
Selen,"['Se', 'len']",False,False,5,0,5
Chapter,"['Ch', 'apte', 'r']",True,True,4,0,7
Sure,"['S', 'ure']",True,True,4,0,4
Alien,"['Ali', 'en']",False,False,6,0,5
Setup,"['Set', 'up']",False,True,6,0,5
Pick,"['Pi', 'ck']",True,True,11,1,4
Eigen,"['E', 'igen']",False,True,8,1,5
Lemma,"['Lem', 'ma']",True,True,8,1,5
gleichen,"['gle', 'ichen']",False,False,10,1,8
Fond,"['Fon', 'd']",False,False,10,1,4
Kita,"['Kit', 'a']",False,False,7,1,4
Audit,"['Audi', 't']",False,True,12,1,5
