word,tokens,token_num,freq,freq_quantile,label
환성,"['환', '성']",2,5.0,0.0,realword
밧심,"['밧', '심']",2,4.0,0.0,realword
도외,"['도', '외']",2,4.0,0.0,realword
금세기,"['금', '세기']",2,6.0,0.0,realword
빈객,"['빈', '객']",2,6.0,0.0,realword
대야,"['대', '야']",2,5.0,0.0,realword
자당,"['자', '당']",2,4.0,0.0,realword
돈대,"['돈', '대']",2,4.0,0.0,realword
눈매,"['눈', '매']",2,4.0,0.0,realword
범퍼,"['범', '퍼']",2,5.0,0.0,realword
세사,"['세', '사']",2,6.0,0.0,realword
총열,"['총', '열']",2,6.0,0.0,realword
피지컬,"['피', '지컬']",2,6.0,0.0,realword
혼신,"['혼', '신']",2,5.0,0.0,realword
신안,"['신', '안']",2,6.0,0.0,realword
먹칠,"['먹', '칠']",2,5.0,0.0,realword
경제인,"['경제', '인']",2,4.0,0.0,realword
여종,"['여', '종']",2,5.0,0.0,realword
참담,"['참', '담']",2,6.0,0.0,realword
캐럴,"['캐', '럴']",2,5.0,0.0,realword
방송학,"['방송', '학']",2,4.0,0.0,realword
용궁,"['용', '궁']",2,5.0,0.0,realword
천대,"['천', '대']",2,6.0,0.0,realword
액화,"['액', '화']",2,5.0,0.0,realword
해귀,"['해', '귀']",2,4.0,0.0,realword
수연,"['수', '연']",2,6.0,0.0,realword
중의,"['중', '의']",2,6.0,0.0,realword
족자,"['족', '자']",2,6.0,0.0,realword
추시,"['추', '시']",2,4.0,0.0,realword
양민,"['양', '민']",2,6.0,0.0,realword
화계,"['화', '계']",2,4.0,0.0,realword
어문,"['어', '문']",2,4.0,0.0,realword
증좌,"['증', '좌']",2,5.0,0.0,realword
일의,"['일', '의']",2,4.0,0.0,realword
미디,"['미', '디']",2,5.0,0.0,realword
도농,"['도', '농']",2,4.0,0.0,realword
내화,"['내', '화']",2,4.0,0.0,realword
발인,"['발', '인']",2,5.0,0.0,realword
맏딸,"['맏', '딸']",2,4.0,0.0,realword
고락,"['고', '락']",2,5.0,0.0,realword
부회,"['부', '회']",2,5.0,0.0,realword
시오야,"['시오', '야']",2,4.0,0.0,realword
덕목,"['덕', '목']",2,5.0,0.0,realword
농기,"['농', '기']",2,4.0,0.0,realword
채화,"['채', '화']",2,4.0,0.0,realword
배리어,"['배', '리어']",2,4.0,0.0,realword
의촉,"['의', '촉']",2,4.0,0.0,realword
승복,"['승', '복']",2,6.0,0.0,realword
원앙,"['원', '앙']",2,5.0,0.0,realword
갈치,"['갈', '치']",2,4.0,0.0,realword
보험금,"['보험', '금']",2,4.0,0.0,realword
주발,"['주', '발']",2,4.0,0.0,realword
벤젠,"['벤', '젠']",2,4.0,0.0,realword
체증,"['체', '증']",2,4.0,0.0,realword
직거래,"['직', '거래']",2,6.0,0.0,realword
좌장,"['좌', '장']",2,6.0,0.0,realword
철구,"['철', '구']",2,5.0,0.0,realword
관학,"['관', '학']",2,4.0,0.0,realword
카페리,"['카페', '리']",2,6.0,0.0,realword
견씨,"['견', '씨']",2,6.0,0.0,realword
색애,"['색', '애']",2,6.0,0.0,realword
검약,"['검', '약']",2,4.0,0.0,realword
구심,"['구', '심']",2,4.0,0.0,realword
세계대전,"['세계', '대전']",2,5.0,0.0,realword
출강,"['출', '강']",2,4.0,0.0,realword
난치,"['난', '치']",2,4.0,0.0,realword
셀피,"['셀', '피']",2,4.0,0.0,realword
뇨고,"['뇨', '고']",2,4.0,0.0,realword
정법,"['정', '법']",2,4.0,0.0,realword
개발비,"['개발', '비']",2,4.0,0.0,realword
베옷,"['베', '옷']",2,4.0,0.0,realword
판수,"['판', '수']",2,5.0,0.0,realword
깃카,"['깃', '카']",2,6.0,0.0,realword
불미,"['불', '미']",2,4.0,0.0,realword
