word,tokens_babel_9b,token_num_babel_9b,tokens_gemma_12b,token_num_gemma_12b,tokens_llama_2_7b,token_num_llama_2_7b,avg_token_num,same_token_num,avg_token_num_rounded,avg_token_num2,same_token_num2,avg_token_num2_rounded,any_token_num_is_1,freq,word_len,freq_quantile
Insektenlarve,"['In', 'sek', 'ten', 'lar', 've']",5,"['In', 'sekten', 'lar', 've']",4,"['▁In', 'se', 'kten', 'lar', 've']",5,4.666666666666667,False,5,4.5,False,5,False,4,13,0
Kristallwasser,"['Krist', 'all', 'w', 'asser']",4,"['Krist', 'all', 'wasser']",3,"['▁Krist', 'all', 'w', 'asser']",4,3.6666666666666665,False,4,3.5,False,4,False,6,14,0
Gleichgewichtstemperatur,"['G', 'leich', 'gew', 'icht', 'stem', 'per', 'atur']",7,"['G', 'leich', 'gewicht', 'stem', 'per', 'atur']",6,"['▁G', 'leich', 'gew', 'icht', 'st', 'em', 'per', 'atur']",8,7.0,False,7,6.5,False,7,False,4,24,0
Verhandlungsrunde,"['Ver', 'hand', 'lung', 'sr', 'unde']",5,"['Ver', 'hand', 'lungs', 'runde']",4,"['▁Ver', 'hand', 'l', 'ungs', 'ru', 'nde']",6,5.0,False,5,4.5,False,5,False,5,17,0
Nebenrückenlinie,"['N', 'eb', 'en', 'r', 'Ã¼cken', 'lin', 'ie']",7,"['Neben', 'r', 'ücken', 'linie']",4,"['▁Neben', 'r', 'ücken', 'lin', 'ie']",5,5.333333333333333,False,5,5.5,False,6,False,4,16,0
Doppelmonarchie,"['D', 'oppel', 'mon', 'arch', 'ie']",5,"['Do', 'ppel', 'mon', 'archie']",4,"['▁Do', 'ppel', 'mon', 'arch', 'ie']",5,4.666666666666667,False,5,4.5,False,5,False,5,15,0
Reichsgrenze,"['Re', 'ich', 'sg', 'ren', 'ze']",5,"['Re', 'ich', 'sg', 'ren', 'ze']",5,"['▁Reichs', 'gr', 'enze']",3,4.333333333333333,False,4,5.0,True,5,False,5,12,0
Teilungsvertrag,"['Te', 'il', 'ungs', 'ver', 'trag']",5,"['Te', 'il', 'ungsver', 'trag']",4,"['▁Teil', 'ungs', 'vert', 'rag']",4,4.333333333333333,False,4,4.5,False,5,False,6,15,0
Grenzfall,"['G', 'ren', 'z', 'fall']",4,"['G', 'renz', 'fall']",3,"['▁Gren', 'z', 'fall']",3,3.333333333333333,False,3,3.5,False,4,False,5,9,0
Managementberatung,"['Management', 'ber', 'at', 'ung']",4,"['Management', 'berat', 'ung']",3,"['▁Management', 'ber', 'at', 'ung']",4,3.6666666666666665,False,4,3.5,False,4,False,5,18,0
Verkehrszentrale,"['Ver', 'kehr', 'sz', 'ent', 'rale']",5,"['Ver', 'kehr', 'sz', 'entrale']",4,"['▁Verkehr', 'sz', 'ent', 'rale']",4,4.333333333333333,False,4,4.5,False,5,False,6,16,0
Schulversuch,"['Sch', 'ul', 'vers', 'uch']",4,"['Sch', 'ul', 'vers', 'uch']",4,"['▁Schul', 'vers', 'uch']",3,3.6666666666666665,False,4,4.0,True,4,False,4,12,0
Hauptzutat,"['H', 'aupt', 'z', 'ut', 'at']",5,"['Haupt', 'zut', 'at']",3,"['▁Haupt', 'z', 'utat']",3,3.6666666666666665,False,4,4.0,False,4,False,4,10,0
Bürgerprotest,"['B', 'Ã¼rger', 'pro', 'test']",4,"['B', 'ür', 'ger', 'pro', 'test']",5,"['▁Bürger', 'pro', 'test']",3,4.0,False,4,4.5,False,5,False,6,13,0
Stadtpräfektur,"['St', 'adt', 'pr', 'Ã¤', 'f', 'ekt', 'ur']",7,"['Stadt', 'prä', 'f', 'ekt', 'ur']",5,"['▁Stadt', 'pr', 'ä', 'fe', 'ktur']",5,5.666666666666667,False,6,6.0,False,6,False,6,14,0
Mittelbronzezeit,"['M', 'ittel', 'bron', 'ze', 'zeit']",5,"['M', 'ittel', 'bron', 'ze', 'zeit']",5,"['▁Mittel', 'br', 'on', 'ze', 'zeit']",5,5.0,True,5,5.0,True,5,False,6,16,0
Erzherzogtum,"['Er', 'z', 'her', 'z', 'og', 't', 'um']",7,"['E', 'rz', 'her', 'z', 'og', 'tum']",6,"['▁Erz', 'her', 'z', 'og', 't', 'um']",6,6.333333333333333,False,6,6.5,False,7,False,6,12,0
